epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,3184,12,491,129,0.8681865828092243,0.9148936170212766,0.20806451612903226,0.33902759526938236,0.0037546933667083854,0.602154911381162,3816,620,0.5,0.9020524647745165,0.6632151017117163,0.09352672628604482,0.29460093511280905
5,train,1,3257,31,483,137,0.868474923234391,0.8154761904761905,0.22096774193548388,0.3477157360406091,0.009428223844282239,0.6057697590456008,3908,620,0.5,0.9047224511419827,0.6591849781267103,0.09038479673883089,0.2879637723599984
5,train,2,3629,189,406,214,0.8659305993690851,0.5310173697270472,0.34516129032258064,0.41837732160312807,0.04950235725510738,0.6478294665337366,4438,620,0.5,0.8587163520843543,0.5137603196669809,0.09596190977491836,0.30233902977918853
5,train,3,2875,8,528,92,0.846988295746503,0.92,0.14838709677419354,0.25555555555555554,0.002774887270204648,0.5728061047519944,3503,620,0.5,0.8925721414744945,0.6652120956151711,0.10452036994565259,0.3255858569499912
5,train,4,3020,36,491,129,0.8566376496191512,0.7818181818181819,0.20806451612903226,0.3286624203821656,0.011780104712041885,0.5981422057084952,3676,620,0.5,0.9121453301807126,0.6595552272998952,0.09417161981926456,0.29606181099947104
5,train,5,3500,245,466,154,0.8371134020618557,0.38596491228070173,0.24838709677419354,0.30225711481844947,0.06542056074766354,0.591483268013265,4365,620,0.5,0.8442073302037125,0.44683290702468825,0.10080187702147943,0.3165984492526057
5,train,6,3102,115,436,184,0.8563982277821215,0.6153846153846154,0.2967741935483871,0.40043525571273125,0.03574759092322039,0.6305133013125833,3837,620,0.5,0.8311665847764398,0.5469857085367439,0.10464729823981633,0.3382459320392478
5,train,7,2884,6,531,89,0.847008547008547,0.9368421052631579,0.1435483870967742,0.24895104895104894,0.0020761245674740486,0.5707361312646501,3510,620,0.5,0.8729992186627972,0.618797795904388,0.10893919753965604,0.33866132589310016
5,train,8,3439,193,455,165,0.8476011288805269,0.46089385474860334,0.2661290322580645,0.3374233128834356,0.053138766519823785,0.6064951328691204,4252,620,0.5,0.8368765098763677,0.42223402491929624,0.10270961867745795,0.32499787684456505
5,train,9,3358,80,417,172,0.8765830643158679,0.6825396825396826,0.2920203735144312,0.4090368608799049,0.02326934264107039,0.6343755154366804,4027,589,0.5,0.8976771151546039,0.597355123802727,0.08617940138307718,0.2768847811450272
