split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,3171,25,193,427,0.9428721174004193,0.9446902654867256,0.6887096774193548,0.7966417910447762,0.007822277847309137,0.8404436997860228,3816,620,0.5,0.9771639953167265,0.9129606608551852,0.044530087777719725,0.1508081825505436
train,fixed,1,3178,110,178,442,0.9263050153531218,0.8007246376811594,0.7129032258064516,0.7542662116040956,0.03345498783454988,0.8397241189859508,3908,620,0.5,0.9654932893807395,0.8434085223941864,0.051557654610386014,0.1708272749331662
train,fixed,2,3729,89,157,463,0.9445696259576386,0.8387681159420289,0.7467741935483871,0.7901023890784983,0.023310633839706652,0.8617317798543402,4438,620,0.5,0.9767096436235827,0.871251313273287,0.04107106836363585,0.1373659832234571
train,fixed,3,2823,60,212,408,0.9223522694833001,0.8717948717948718,0.6580645161290323,0.75,0.02081165452653486,0.8186264308012488,3503,620,0.5,0.9669380014098218,0.8822302089436949,0.05515327960370574,0.183279428061784
train,fixed,4,3012,44,209,411,0.9311751904243744,0.9032967032967033,0.6629032258064517,0.7646511627906977,0.014397905759162303,0.8242526600236446,3676,620,0.5,0.9763305396047965,0.8363309181485346,0.05117102255692294,0.1680484920583604
train,fixed,5,3671,74,194,426,0.938602520045819,0.852,0.6870967741935484,0.7607142857142857,0.019759679572763686,0.8336685473103924,4365,620,0.5,0.9737611438907791,0.8904665015140888,0.042815006314140834,0.14339528504334995
train,fixed,6,3141,76,234,386,0.9192077143601772,0.8354978354978355,0.6225806451612903,0.7134935304990758,0.023624494870997825,0.7994780751451462,3837,620,0.5,0.9478325829514577,0.8257432297619347,0.06301397689272177,0.21150814964087994
train,fixed,7,2795,95,200,420,0.915954415954416,0.8155339805825242,0.6774193548387096,0.7400881057268722,0.0328719723183391,0.8222736912601853,3510,620,0.5,0.9581482308293336,0.8497142129326846,0.06048093591897142,0.19805172954013248
train,fixed,8,3565,67,215,405,0.9336782690498588,0.8580508474576272,0.6532258064516129,0.7417582417582418,0.018447136563876653,0.8173893349438681,4252,620,0.5,0.9629756110558476,0.8676919838162812,0.04839067390441386,0.16475433534105827
train,fixed,9,3359,79,214,375,0.9272411224236404,0.8259911894273128,0.6366723259762309,0.7190795781399808,0.02297847585805701,0.806846925059087,4027,589,0.5,0.9700550424645749,0.8615512859019223,0.048540002017184405,0.15822806475606405
train,val_f1,0,3108,88,114,506,0.9470649895178197,0.8518518518518519,0.8161290322580645,0.8336079077429983,0.02753441802252816,0.8942973071177682,3816,620,0.27,0.9771639953167265,0.9129606608551852,0.044530087777719725,0.1508081825505436
train,val_f1,1,3128,160,96,524,0.9344933469805528,0.7660818713450293,0.8451612903225807,0.803680981595092,0.04866180048661801,0.8982497449179814,3908,620,0.27,0.9654932893807395,0.8434085223941864,0.051557654610386014,0.1708272749331662
train,val_f1,2,3657,161,97,523,0.9418657052726453,0.7646198830409356,0.8435483870967742,0.8021472392638037,0.04216867469879518,0.9006898561989896,4438,620,0.27,0.9767096436235827,0.871251313273287,0.04107106836363585,0.1373659832234571
train,val_f1,3,2767,116,110,510,0.9354838709677419,0.8146964856230032,0.8225806451612904,0.8186195826645265,0.04023586541796739,0.8911723898716615,3503,620,0.27,0.9669380014098218,0.8822302089436949,0.05515327960370574,0.183279428061784
train,val_f1,4,2952,104,112,508,0.941240478781284,0.8300653594771242,0.8193548387096774,0.8246753246753247,0.034031413612565446,0.892661712548556,3676,620,0.27,0.9763305396047965,0.8363309181485346,0.05117102255692294,0.1680484920583604
train,val_f1,5,3599,146,116,504,0.9399770904925544,0.7753846153846153,0.8129032258064516,0.7937007874015748,0.038985313751668894,0.8869589560273914,4365,620,0.27,0.9737611438907791,0.8904665015140888,0.042815006314140834,0.14339528504334995
train,val_f1,6,3050,167,180,440,0.90956476413865,0.7248764415156508,0.7096774193548387,0.7171964140179299,0.051911718992850485,0.8288828501809942,3837,620,0.27,0.9478325829514577,0.8257432297619347,0.06301397689272177,0.21150814964087994
train,val_f1,7,2675,215,108,512,0.9079772079772079,0.7042640990371389,0.8258064516129032,0.7602078693392724,0.07439446366782007,0.8757059939725416,3510,620,0.27,0.9581482308293336,0.8497142129326846,0.06048093591897142,0.19805172954013248
