epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4591435949405497,,,,5.851787499011607e-09,7.542886493183687e-08,,0.0,6452080,20,6452080,6452080,0,35.8442935529165,35.83710591075942,6.071861918084323,0.004111321177333593,5.181664,38833,10,10,
2,0.41270429795493574,,,,6.142670816444706e-09,7.882985642027052e-08,,0.0,6452080,20,6452080,6452080,0,32.37465503602289,32.36947171879001,3.72007025196217,0.0034671970643103123,5.181664,38833,10,10,
3,0.3783769199270496,,,,6.22416873596876e-09,7.977470062314751e-08,,0.0,6452080,20,6452080,6452080,0,32.22938173916191,32.223703196505085,3.696933499071747,0.003235564101487398,5.181664,38833,10,10,
4,0.3612708494271699,,,,5.981633854901247e-09,7.649287425692819e-08,,0.0,6452080,20,6452080,6452080,0,32.12175890500657,32.11588705750182,3.7115972507745028,0.003552003065124154,5.181664,38833,10,10,
5,0.3447760526590589,0.2636218037531554,0.9001468428781204,0.5588235294117647,5.985705708866362e-09,7.630860210383617e-08,0.0,0.0,6452080,20,6452080,6452080,0,31.879972046008334,31.87488885782659,3.6409467570483685,0.0032928918953984976,5.181664,38833,10,10,
6,0.3350572003037673,,,,6.167216515251539e-09,7.834097459635814e-08,,0.0,6452080,20,6452080,6452080,0,31.700297456001863,31.694717997917905,3.5815134840086102,0.0033074691891670227,5.181664,38833,10,10,
7,0.327573416594919,,,,6.065906443808444e-09,7.6816746741315e-08,,0.0,6452080,20,6452080,6452080,0,31.793345358921215,31.788236824562773,3.5980773740448058,0.003401579102501273,5.181664,38833,10,10,
8,0.30871905289311374,,,,6.068696656313932e-09,7.657335743260774e-08,,0.0,6452080,20,6452080,6452080,0,32.06342149688862,32.05833260691725,3.683654042892158,0.0033085790928453207,5.181664,38833,10,10,
9,0.30566469208513036,,,,6.0014619940318426e-09,7.551922465154348e-08,,0.0,6452080,20,6452080,6452080,0,31.980700695887208,31.975038403645158,3.6492006280459464,0.0034355148673057556,5.181664,38833,10,10,
10,0.29921117140059894,0.2180655392941041,0.918942731277533,0.6960352422907489,6.1065299483686886e-09,7.657756384560344e-08,0.0,0.0,6452080,20,6452080,6452080,0,32.10793041414581,32.1019963757135,3.669297190848738,0.0035098108928650618,5.181664,38833,10,10,
11,0.2986086425896648,,,,6.276319464149083e-09,7.846369243225126e-08,,0.0,6452080,20,6452080,6452080,0,29.54268984706141,29.537409924902022,3.3896990560460836,0.0034775349777191877,5.181664,38833,10,10,
12,0.2878942142587289,,,,6.3185350285266395e-09,7.870242058061194e-08,,0.0,6452080,20,6452080,6452080,0,30.16620102711022,30.16125666582957,3.4787109659519047,0.0032199430279433727,5.181664,38833,10,10,
13,0.27486116490179613,,,,6.2889551344369465e-09,7.800405654734277e-08,,0.0,6452080,20,6452080,6452080,0,30.05456736800261,30.048915303545073,3.522478774189949,0.003234991105273366,5.181664,38833,10,10,
14,0.2702168363392294,,,,6.297892873874389e-09,7.787467382058821e-08,,0.0,6452080,20,6452080,6452080,0,30.53766126697883,30.532273043645546,3.53822658280842,0.003510225098580122,5.181664,38833,10,10,
15,0.2708650015910524,0.1962411839699098,0.9254038179148312,0.7466755319148937,6.30864116502039e-09,7.765846277152377e-08,0.0,0.0,6452080,20,6452080,6452080,0,30.469319007825106,30.463251244975254,3.826051709940657,0.0035387040115892887,5.181664,38833,10,10,
16,0.2738840050278634,,,,6.3284217866055315e-09,7.765852672036999e-08,,0.0,6452080,20,6452080,6452080,0,30.005652304040268,30.00066502788104,3.4563564469572157,0.00322579313069582,5.181664,38833,10,10,
17,0.25987309529205616,,,,6.262102836274153e-09,7.653638789406614e-08,,0.0,6452080,20,6452080,6452080,0,29.70767052192241,29.702509281458333,3.393723862944171,0.0033750778529793024,5.181664,38833,10,10,
18,0.2645692412227052,,,,6.309671896076452e-09,7.682902491978894e-08,,0.0,6452080,20,6452080,6452080,0,29.73608448705636,29.73046185914427,3.3757177439983934,0.003237996017560363,5.181664,38833,10,10,
19,0.2569222560609251,,,,6.303020327891318e-09,7.648949207350597e-08,,0.0,6452080,20,6452080,6452080,0,29.486784239998087,29.481633856892586,3.493848049081862,0.0033737230114638805,5.181664,38833,10,10,
20,0.2583394175936534,0.18696736281479953,0.9272638277043563,0.7540549486924859,6.196529511726112e-09,7.497403231582211e-08,0.0,0.0,6452080,20,6452080,6452080,0,29.255440753884614,29.25037329387851,3.4417430248577148,0.0031220540404319763,5.181664,38833,10,10,
21,0.2472219703625395,,,,6.3498890590096835e-09,7.651436817468493e-08,,0.0,6452080,20,6452080,6452080,0,25.941294643096626,25.934850819641724,3.098105234093964,0.0033821931574493647,5.181664,38833,10,10,
22,0.24703965048323848,,,,6.264752716589328e-09,7.522049827457522e-08,,0.0,6452080,20,6452080,6452080,0,23.673459363169968,23.668273187009618,2.7532767951488495,0.003409417811781168,5.181664,38833,10,10,
23,0.24959191881723314,,,,6.507872463146214e-09,7.784996114423848e-08,,0.0,6452080,20,6452080,6452080,0,23.59097741288133,23.585324067622423,2.7244936439674348,0.003583284094929695,5.181664,38833,10,10,
24,0.25733225252691155,,,,6.258863649577506e-09,7.463773954441422e-08,,0.0,6452080,20,6452080,6452080,0,23.49007746204734,23.484705238835886,2.6546738911420107,0.0033402801491320133,5.181664,38833,10,10,
25,0.24351913795142816,0.1765107349737517,0.9302985805188448,0.7541436464088398,6.4274239264250355e-09,7.638575993951235e-08,0.0,0.0,6452080,20,6452080,6452080,0,22.68263168190606,22.677768545690924,2.677593430969864,0.0032498619984835386,5.181664,38833,10,10,
26,0.2498720552890968,,,,6.359639037611942e-09,7.527496848069859e-08,,0.0,6452080,20,6452080,6452080,0,23.191860822029412,23.186693366849795,2.709897215012461,0.003399946028366685,5.181664,38833,10,10,
27,0.2371718039016752,,,,6.426272403103894e-09,7.579758687370486e-08,,0.0,6452080,20,6452080,6452080,0,23.64878349308856,23.643751550931484,2.7002856710460037,0.0032876268960535526,5.181664,38833,10,10,
28,0.22585785119632065,,,,6.3330864996657965e-09,7.439274440912413e-08,,0.0,6452080,20,6452080,6452080,0,23.400927503826097,23.396012600976974,2.6504131639376283,0.0032356290612369776,5.181664,38833,10,10,
29,0.2398678331707958,,,,6.389703877118791e-09,7.48253867755011e-08,,0.0,6452080,20,6452080,6452080,0,23.700368191115558,23.69475033506751,2.744193345075473,0.0033371259924024343,5.181664,38833,10,10,
30,0.21743651481413168,0.1800606824845937,0.9269701419481156,0.7646687697160883,6.354930803809111e-09,7.412122471350813e-08,0.0,0.0,6452080,20,6452080,6452080,0,22.633778437040746,22.628732196986675,2.7058661479968578,0.0032370288390666246,5.181664,38833,10,10,
31,0.24783479205785844,,,,6.545599617879816e-09,7.60973719593494e-08,,0.0,6452080,20,6452080,6452080,0,23.37396201584488,23.368458884302527,2.7339174111839384,0.003651574021205306,5.181664,38833,10,10,
32,0.23355834251707494,,,,6.3676481865115875e-09,7.372706534169993e-08,,0.0,6452080,20,6452080,6452080,0,23.69337145681493,23.68796067754738,2.704588779946789,0.00357415690086782,5.181664,38833,10,10,
33,0.23623096515908246,,,,6.547948849799923e-09,7.556867842595238e-08,,0.0,6452080,20,6452080,6452080,0,23.28967944602482,23.28471418796107,2.595313492929563,0.003250580048188567,5.181664,38833,10,10,
34,0.21344571144854693,,,,6.561075238664671e-09,7.537838797588847e-08,,0.0,6452080,20,6452080,6452080,0,23.57675176206976,23.57167929294519,2.707828542916104,0.0032807679381221533,5.181664,38833,10,10,
