split,node,engines,windows,positive,positive_fraction
train,0,20,3854,620,0.16087182148417228
train,1,20,4176,620,0.14846743295019157
train,2,20,4397,620,0.14100523083920855
train,3,20,3988,620,0.15546639919759278
train,4,20,3130,620,0.19808306709265175
train,5,20,4333,620,0.143087929840757
train,6,20,4127,620,0.15023019142234068
train,7,20,3645,620,0.1700960219478738
train,8,20,3809,620,0.16277238120241533
train,9,19,3374,589,0.17457024303497332
validation,0,5,1196,155,0.12959866220735786
validation,1,5,1094,155,0.1416819012797075
validation,2,5,826,155,0.18765133171912832
validation,3,5,746,155,0.20777479892761394
validation,4,5,1130,155,0.13716814159292035
validation,5,5,1176,155,0.13180272108843538
validation,6,5,1061,155,0.1460885956644675
validation,7,5,904,155,0.17146017699115043
validation,8,5,957,155,0.1619644723092999
validation,9,5,1125,155,0.13777777777777778
test,0,23,3376,62,0.018364928909952605
test,1,23,2592,90,0.034722222222222224
test,2,23,2822,63,0.02232459248759745
test,3,23,3492,128,0.03665521191294387
test,4,23,2509,46,0.018333997608609008
test,5,23,3556,76,0.021372328458942633
test,6,23,3366,35,0.010398098633392751
test,7,23,2085,139,0.06666666666666667
test,8,22,2771,96,0.03464453265968964
test,9,22,2847,129,0.045310853530031614
