split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2914,101,137,483,0.934525447042641,0.827054794520548,0.7790322580645161,0.8023255813953488,0.033499170812603646,0.8727665436259562,3635,620,0.5,0.9695420745733698,0.8870254529440894,0.048934249276179384,0.16354435489051278
train,fixed,1,2985,111,165,455,0.9257265877287406,0.803886925795053,0.7338709677419355,0.7672849915682968,0.035852713178294575,0.8490091272818205,3716,620,0.5,0.968081603734267,0.8616541946797321,0.0528284974617576,0.17036580361051615
train,fixed,2,3280,75,167,453,0.9391194968553459,0.8579545454545454,0.7306451612903225,0.789198606271777,0.022354694485842028,0.8541452334022402,3975,620,0.5,0.9681818181818183,0.8884410155434778,0.046386050404885824,0.15884277803308777
train,fixed,3,2917,47,153,467,0.9441964285714286,0.9085603112840467,0.7532258064516129,0.8236331569664903,0.015856950067476384,0.8686844281920683,3584,620,0.5,0.9828860302120065,0.9314301557319624,0.03907921288223605,0.13221794151489571
train,fixed,4,3284,50,172,448,0.9438543247344461,0.8995983935742972,0.7225806451612903,0.8014311270125224,0.014997000599880024,0.853791822280705,3954,620,0.5,0.9769075217214622,0.9116409948937766,0.042126296042102516,0.14213817215865696
train,fixed,5,3351,75,134,486,0.9483440434997529,0.8663101604278075,0.7838709677419354,0.8230313293818797,0.021891418563922942,0.8809897745890063,4046,620,0.5,0.9731102762555787,0.8968931637630043,0.04084389754623395,0.1440119701936682
train,fixed,6,3116,26,206,414,0.9383306751727805,0.9409090909090909,0.667741935483871,0.7811320754716982,0.008274984086569064,0.829733475698651,3762,620,0.5,0.9645926161680458,0.9003235451040303,0.04690427002453908,0.1655679880016413
train,fixed,7,3388,110,154,466,0.935891209324915,0.8090277777777778,0.7516129032258064,0.7792642140468228,0.031446540880503145,0.8600831811726517,4118,620,0.5,0.9689576071118983,0.877989674278483,0.04598366869986947,0.15589338652708573
train,fixed,8,3073,125,186,434,0.9185437401781037,0.776386404293381,0.7,0.7362171331636981,0.03908692933083177,0.8304565353345841,3818,620,0.5,0.949976295668664,0.8101574917176451,0.05777859474211226,0.19777163963448063
train,fixed,9,2793,151,132,457,0.9198981035946787,0.7516447368421053,0.7758913412563667,0.7635756056808688,0.051290760869565216,0.8623002901934007,3533,589,0.5,0.9668180685760686,0.8418333404164983,0.05695838242539635,0.17924076548738552
train,val_f1,0,2823,192,87,533,0.9232462173314994,0.7351724137931035,0.8596774193548387,0.7925650557620818,0.06368159203980099,0.8979979136575189,3635,620,0.34,0.9695420745733698,0.8870254529440894,0.048934249276179384,0.16354435489051278
train,val_f1,1,2911,185,94,526,0.9249192680301399,0.739803094233474,0.8483870967741935,0.7903831705484599,0.05975452196382429,0.8943162874051847,3716,620,0.34,0.968081603734267,0.8616541946797321,0.0528284974617576,0.17036580361051615
train,val_f1,2,3233,122,131,489,0.9363522012578617,0.8003273322422259,0.7887096774193548,0.7944760357432982,0.03636363636363636,0.8761730205278593,3975,620,0.34,0.9681818181818183,0.8884410155434778,0.046386050404885824,0.15884277803308777
train,val_f1,3,2892,72,97,523,0.9528459821428571,0.8789915966386554,0.8435483870967742,0.8609053497942387,0.024291497975708502,0.9096284445605328,3584,620,0.34,0.9828860302120065,0.9314301557319624,0.03907921288223605,0.13221794151489571
train,val_f1,4,3247,87,128,492,0.9456246838644411,0.8497409326424871,0.7935483870967742,0.8206839032527106,0.026094781043791242,0.8837268030264915,3954,620,0.34,0.9769075217214622,0.9116409948937766,0.042126296042102516,0.14213817215865696
train,val_f1,5,3319,107,105,515,0.9476025704399407,0.8279742765273312,0.8306451612903226,0.8293075684380032,0.03123175715119673,0.8997067020695629,4046,620,0.34,0.9731102762555787,0.8968931637630043,0.04084389754623395,0.1440119701936682
train,val_f1,6,3089,53,159,461,0.9436469962785752,0.896887159533074,0.7435483870967742,0.8130511463844797,0.016868236791852325,0.8633400751524609,3762,620,0.34,0.9645926161680458,0.9003235451040303,0.04690427002453908,0.1655679880016413
train,val_f1,7,3326,172,119,501,0.9293346284604177,0.7444279346210996,0.8080645161290323,0.7749419953596288,0.049170954831332186,0.8794467806488501,4118,620,0.34,0.9689576071118983,0.877989674278483,0.04598366869986947,0.15589338652708573
train,val_f1,8,3003,195,128,492,0.9154007333682557,0.7161572052401747,0.7935483870967742,0.7528691660290742,0.06097560975609756,0.8662863886703382,3818,620,0.34,0.949976295668664,0.8101574917176451,0.05777859474211226,0.19777163963448063
train,val_f1,9,2735,209,95,494,0.9139541466176054,0.7027027027027027,0.8387096774193549,0.7647058823529411,0.07099184782608696,0.883858914796634,3533,589,0.34,0.9668180685760686,0.8418333404164983,0.05695838242539635,0.17924076548738552
train,val_fpr02,0,2991,24,247,373,0.9254470426409904,0.9395465994962217,0.6016129032258064,0.7335299901671584,0.007960199004975124,0.7968263521104156,3635,620,0.81,0.9695420745733698,0.8870254529440894,0.048934249276179384,0.16354435489051278
