epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4642294028106746,,,,0.0007927351398393512,0.010214056819677353,,1.2897663116455078,6452080,20,6452080,6452080,0,35.94984665280208,35.93977845599875,5.870697247097269,0.007386656943708658,0.5261664,39332,10,10,0.8726779962499653
2,0.42823691344377784,,,,0.002286966424435377,0.029393145814538002,,3.0769054889678955,6452080,20,6452080,6452080,0,32.74357106909156,32.73691862844862,3.7792244779411703,0.004972543101757765,0.5261664,39332,10,10,0.8726779962499653
3,0.3753060004583604,,,,0.002449851483106613,0.03139050677418709,,2.2956552505493164,6452080,20,6452080,6452080,0,32.435465323971584,32.427640434354544,3.712324199033901,0.005226651905104518,0.5261664,39332,10,10,0.8726779962499653
4,0.37632968519458615,,,,0.0026319136377424,0.0336642861366272,,2.255418539047241,6452080,20,6452080,6452080,0,32.56047098594718,32.55368457525037,3.7460081710014492,0.005041630007326603,0.5261664,39332,10,10,0.8726779962499653
5,0.3462050514682037,0.30369093499882643,0.873095924248662,0.47420042643923244,0.002738955896347761,0.03490941599011421,0.03233333333333333,2.4851646423339844,6452080,20,6452080,6452080,0,31.951932488009334,31.94503002706915,3.6314736080821604,0.005107406061142683,0.5261664,39332,10,10,0.8726779962499653
6,0.3467803161671027,,,,0.0030947523191571236,0.0393357016146183,,2.3346238136291504,6452080,20,6452080,6452080,0,32.06194669799879,32.05494532035664,3.6261173030361533,0.005076170898973942,0.5261664,39332,10,10,0.8726779962499653
7,0.3311973765680215,,,,0.0033492303919047117,0.042442623525857925,,2.5413408279418945,6452080,20,6452080,6452080,0,31.892347056185827,31.884595583193004,3.630848079919815,0.005530128953978419,0.5261664,39332,10,10,0.8726779962499653
8,0.3149520411763851,,,,0.003514643060043454,0.04437588155269623,,2.9592392444610596,6452080,20,6452080,6452080,0,32.16330680716783,32.1567417033948,3.6826672591269016,0.004894220968708396,0.5261664,39332,10,10,0.8726779962499653
9,0.31053658400860085,,,,0.0037885953206568956,0.04769203066825867,,3.071995735168457,6452080,20,6452080,6452080,0,32.431177445920184,32.42480664164759,3.8824621168896556,0.004696166142821312,0.5261664,39332,10,10,0.8726779962499653
10,0.30214686085555953,0.2697741777850588,0.8864759160148209,0.5940375414059624,0.004023435525596142,0.05048118531703949,0.03333333333333333,2.979555130004883,6452080,20,6452080,6452080,0,32.277747358893976,32.27108640759252,3.726454086834565,0.0048522320576012135,0.5261664,39332,10,10,0.8726779962499653
11,0.29723394627857946,,,,0.004257867578417063,0.05326751619577408,,2.993867874145508,6452080,20,6452080,6452080,0,30.18204413005151,30.174871682189405,3.4470434738323092,0.005076284054666758,0.5261664,39332,10,10,0.8726779962499653
12,0.2871232588565487,,,,0.004587417468428612,0.05719800293445587,,2.9534823894500732,6452080,20,6452080,6452080,0,30.29468189086765,30.28769443370402,3.506526370998472,0.005295010982081294,0.5261664,39332,10,10,0.8726779962499653
13,0.2856541171997763,,,,0.0047258054837584496,0.05875691398978233,,3.1959002017974854,6452080,20,6452080,6452080,0,30.510603104019538,30.504116251133382,3.5371347130276263,0.004732209024950862,0.5261664,39332,10,10,0.8726779962499653
14,0.2805062540509186,,,,0.004777390044182539,0.05919893458485603,,3.045058250427246,6452080,20,6452080,6452080,0,30.60450746398419,30.59773989301175,3.4393773288466036,0.005031164037063718,0.5261664,39332,10,10,0.8726779962499653
15,0.27072060383704444,0.22942126923624695,0.9109715932482503,0.6951004582305252,0.005015946924686432,0.061944689601659775,0.04777777777777778,3.2519853115081787,6452080,20,6452080,6452080,0,30.214396763127297,30.20849245111458,3.4543198850005865,0.004323408007621765,0.5261664,39332,10,10,0.8726779962499653
16,0.2757478315790483,,,,0.0050238450057804585,0.06184757128357887,,3.1493935585021973,6452080,20,6452080,6452080,0,30.378565384075046,30.37196389446035,3.5055810641497374,0.004905834095552564,0.5261664,39332,10,10,0.8726779962499653
