split,node,engines,windows,positive,positive_fraction
train,0,20,3816,620,0.16247379454926625
train,1,20,3908,620,0.1586489252814739
train,2,20,4438,620,0.13970256872465076
train,3,20,3503,620,0.17699115044247787
train,4,20,3676,620,0.16866158868335146
train,5,20,4365,620,0.1420389461626575
train,6,20,3837,620,0.16158457127964557
train,7,20,3510,620,0.17663817663817663
train,8,20,4252,620,0.1458137347130762
train,9,19,4027,589,0.1462627265954805
validation,0,5,987,155,0.15704154002026344
validation,1,5,837,155,0.18518518518518517
validation,2,5,1058,155,0.14650283553875237
validation,3,5,748,155,0.2072192513368984
validation,4,5,1136,155,0.136443661971831
validation,5,5,880,155,0.17613636363636365
validation,6,5,1087,155,0.14259429622815087
validation,7,5,1406,155,0.11024182076813656
validation,8,5,605,155,0.256198347107438
validation,9,5,972,155,0.15946502057613168
test,0,23,2781,46,0.01654081265731751
test,1,23,2495,78,0.0312625250501002
test,2,23,1960,108,0.05510204081632653
test,3,23,3507,156,0.04448246364414029
test,4,23,3731,81,0.021709997319753416
test,5,23,3040,38,0.0125
test,6,23,3236,62,0.019159456118665017
test,7,23,3215,110,0.03421461897356143
test,8,22,2373,109,0.04593341761483354
test,9,22,3078,76,0.024691358024691357
