split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,3025,209,63,557,0.9294239750908148,0.7271540469973891,0.8983870967741936,0.8037518037518038,0.06462585034013606,0.9168806232170288,3854,620,0.5,0.9773405549903248,0.8865517977311717,0.04824433761934692,0.15983329328069826
train,fixed,1,3384,172,165,455,0.9193007662835249,0.7256778309409888,0.7338709677419355,0.7297514033680834,0.048368953880764905,0.8427510069305852,4176,620,0.5,0.9554115715374288,0.7341208048900163,0.058213839384721376,0.18842281962444893
train,fixed,2,3658,119,70,550,0.9570161473732091,0.8221225710014948,0.8870967741935484,0.8533747090768037,0.03150648662960021,0.927795143781974,4397,620,0.5,0.9826509347749963,0.8984449933783425,0.0362505330223879,0.1287302173265329
train,fixed,3,3226,142,95,525,0.9405717151454364,0.7871064467766117,0.8467741935483871,0.8158508158508159,0.042161520190023755,0.9023063366791817,3988,620,0.5,0.9736164853267949,0.8934398048621714,0.043434181050862344,0.14942253494764193
train,fixed,4,2465,45,175,445,0.9297124600638977,0.9081632653061225,0.717741935483871,0.8018018018018018,0.017928286852589643,0.8499068243156407,3130,620,0.5,0.9693027888446216,0.9124610085878708,0.05262324838093509,0.18176756298347232
train,fixed,5,3461,252,45,575,0.9314562658666051,0.6952841596130592,0.9274193548387096,0.7947477539737388,0.06786964718556424,0.9297748538265727,4333,620,0.5,0.9846137807007637,0.9288323573960141,0.04837961923938238,0.16194369098499758
train,fixed,6,3352,155,102,518,0.9377271625878362,0.7696879643387816,0.8354838709677419,0.8012374323279196,0.04419731964642144,0.8956432756606603,4127,620,0.5,0.9804087677180202,0.9153609601369196,0.043433007090643815,0.13830628070498105
train,fixed,7,2963,62,97,523,0.9563786008230453,0.8940170940170941,0.8435483870967742,0.8680497925311204,0.020495867768595043,0.9115262596640896,3645,620,0.5,0.9821455611836843,0.9366801430738031,0.03447254782577854,0.12331584667867544
train,fixed,8,3067,122,164,456,0.9249146757679181,0.7889273356401384,0.7354838709677419,0.7612687813021702,0.03825650674192537,0.8486136821129082,3809,620,0.5,0.9610202409492307,0.8440088509456414,0.05536658721367106,0.18403354427642557
train,fixed,9,2707,78,139,450,0.9356846473029046,0.8522727272727273,0.7640067911714771,0.8057296329453895,0.02800718132854578,0.8679998049214657,3374,589,0.5,0.9674523657844445,0.8462051284428626,0.05037012697292446,0.17139359524535097
