epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4712871240727631,,,,0.001928761601448059,0.024861540645360947,,0.0,0,0,0,0,0,36.42171939602122,36.41771727101877,7.1853037311229855,0.0016796519048511982,0.0,38141,0,10,1.0
2,0.4310567222724946,,,,0.004260541405528784,0.054772261530160904,,0.0,0,0,0,0,0,32.15886016306467,32.155132981715724,3.538096895907074,0.0016283749137073755,0.0,38141,0,10,1.0
3,0.41204469741541916,,,,0.005477879662066698,0.0703437477350235,,0.0,0,0,0,0,0,32.07016479107551,32.06713870121166,3.630582904908806,0.0013247958850115538,0.0,38141,0,10,1.0
4,0.3772909641275947,,,,0.006794824730604887,0.087064728140831,,0.0,0,0,0,0,0,31.69896828290075,31.69578425353393,3.427201027981937,0.0014386281836777925,0.0,38141,0,10,1.0
5,0.36154553520998894,0.35412939223788936,0.8381773173191528,0.4333868378812199,0.007775482255965471,0.09944291412830353,0.07111111111111111,0.0,0,0,0,0,0,31.597213160945103,31.593089229194447,3.494214558042586,0.0014546618331223726,0.0,38141,0,10,1.0
6,0.3611195400291996,,,,0.008812862448394299,0.11253513395786285,,0.0,0,0,0,0,0,31.241093415999785,31.236998451408,3.335428762016818,0.0014898350927978754,0.0,38141,0,10,1.0
7,0.3341305503812909,,,,0.010019298642873764,0.1275855302810669,,0.0,0,0,0,0,0,31.58295463793911,31.579703555908054,3.4421480889432132,0.001434199046343565,0.0,38141,0,10,1.0
8,0.3246338845219391,,,,0.011028795503079891,0.14010658860206604,,0.0,0,0,0,0,0,31.581927857128903,31.578685753745958,3.5083382360171527,0.00144607899710536,0.0,38141,0,10,1.0
9,0.31026380581010177,,,,0.012097985483705997,0.15339434146881104,,0.0,0,0,0,0,0,31.906888348050416,31.903760701417923,3.4378283189143986,0.0013653670903295279,0.0,38141,0,10,1.0
10,0.30162649232569744,0.3216491794029225,0.8475291097460347,0.5007505253677574,0.013109871186316013,0.1658601015806198,0.0753888888888889,0.0,0,0,0,0,0,31.975695251952857,31.972540326183662,3.487669032998383,0.001430354081094265,0.0,38141,0,10,1.0
11,0.29970504378208407,,,,0.014166975393891335,0.1788731962442398,,0.0,0,0,0,0,0,28.93073195195757,28.927566340193152,3.2460356049705297,0.001390622928738594,0.0,38141,0,10,1.0
12,0.2738845384029599,,,,0.015494725666940212,0.19509722292423248,,0.0,0,0,0,0,0,30.035378537140787,30.032263532979414,3.3419625270180404,0.0013980900403112173,0.0,38141,0,10,1.0
13,0.2763244403012143,,,,0.016561800613999367,0.20812168717384338,,0.0,0,0,0,0,0,30.000499785877764,29.99749363376759,3.252514989115298,0.0013288138434290886,0.0,38141,0,10,1.0
14,0.27101841182863506,,,,0.01769287884235382,0.22181634604930878,,0.0,0,0,0,0,0,30.11246504308656,30.108705908060074,3.2018334481399506,0.0013433259446173906,0.0,38141,0,10,1.0
15,0.26204506006230643,0.3164104000177132,0.8579811130466672,0.5657415194841604,0.018736718222498894,0.234378382563591,0.09116666666666666,0.0,0,0,0,0,0,30.153149551944807,30.14969603973441,3.260917575797066,0.0014764179941266775,0.0,38141,0,10,1.0
16,0.257613512598187,,,,0.01993851363658905,0.24877434968948364,,0.0,0,0,0,0,0,29.357793676899746,29.35436741122976,3.3019490940496325,0.0014208608772605658,0.0,38141,0,10,1.0
