split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2993,22,21,599,0.9881705639614855,0.964573268921095,0.9661290322580646,0.9653505237711523,0.007296849087893864,0.9794160915850854,3635,620,0.5,0.9987679880169047,0.9945747458132497,0.010672943930316236,0.040450381312875754
train,fixed,1,3077,19,53,567,0.9806243272335845,0.9675767918088737,0.9145161290322581,0.9402985074626866,0.006136950904392765,0.9541895890639327,3716,620,0.5,0.9967575227140119,0.9866514817836703,0.015401730942808937,0.055308431020260104
train,fixed,2,3346,9,23,597,0.9919496855345912,0.9851485148514851,0.9629032258064516,0.9738988580750407,0.002682563338301043,0.9801103312340753,3975,620,0.5,0.9991250420652853,0.9961612920571687,0.0069170847170834816,0.028424872751528038
train,fixed,3,2946,18,34,586,0.9854910714285714,0.9701986754966887,0.9451612903225807,0.9575163398692811,0.006072874493927126,0.9695442079143268,3584,620,0.5,0.9988752122241086,0.9946734530995611,0.011182661809797533,0.03748031796640191
train,fixed,4,3306,28,9,611,0.9906423874557411,0.9561815336463224,0.9854838709677419,0.9706115965051628,0.008398320335932814,0.9885427753159046,3954,620,0.5,0.9995825028542679,0.9979923911042233,0.007104510610842328,0.027471421554492847
train,fixed,5,3422,4,8,612,0.9970341077607514,0.9935064935064936,0.9870967741935484,0.9902912621359223,0.0011675423234092236,0.9929646159350696,4046,620,0.5,0.9998794795020997,0.9993489847302639,0.0034579562179506453,0.015134327448906491
train,fixed,6,3131,11,76,544,0.9768740031897927,0.9801801801801802,0.8774193548387097,0.9259574468085107,0.003500954805856143,0.9369592000164269,3762,620,0.5,0.9967798402496868,0.9863604082464421,0.0174312936359656,0.05745794090808906
train,fixed,7,3485,13,25,595,0.9907722195240408,0.9786184210526315,0.9596774193548387,0.9690553745928339,0.0037164093767867354,0.977980504989026,4118,620,0.5,0.9995163134694479,0.9972831200922327,0.006674578297349098,0.02385724801896648
train,fixed,8,3155,43,58,562,0.9735463593504453,0.9289256198347108,0.9064516129032258,0.9175510204081633,0.01344590368980613,0.9465028546067098,3818,620,0.5,0.9949176904920414,0.976612278429374,0.020443308340446966,0.06836636684167738
train,fixed,9,2922,22,61,528,0.9765072176620436,0.96,0.8964346349745331,0.9271290605794557,0.007472826086956522,0.9444809044437883,3533,589,0.5,0.9964141045988042,0.985844012308809,0.01612519316550949,0.057156978946317945
train,val_f1,0,2919,96,7,613,0.9716643741403026,0.8645980253878702,0.9887096774193549,0.9224981188863808,0.031840796019900496,0.9784344406997272,3635,620,0.22,0.9987679880169047,0.9945747458132497,0.010672943930316236,0.040450381312875754
train,val_f1,1,3030,66,26,594,0.9752421959095802,0.9,0.9580645161290322,0.928125,0.02131782945736434,0.9683733433358339,3716,620,0.22,0.9967575227140119,0.9866514817836703,0.015401730942808937,0.055308431020260104
train,val_f1,2,3310,45,9,611,0.9864150943396226,0.9314024390243902,0.9854838709677419,0.957680250783699,0.013412816691505217,0.9860355271381184,3975,620,0.22,0.9991250420652853,0.9961612920571687,0.0069170847170834816,0.028424872751528038
train,val_f1,3,2923,41,16,604,0.9840959821428571,0.9364341085271318,0.9741935483870968,0.9549407114624506,0.013832658569500675,0.9801804449087981,3584,620,0.22,0.9988752122241086,0.9946734530995611,0.011182661809797533,0.03748031796640191
train,val_f1,4,3255,79,2,618,0.9795144157814871,0.8866571018651362,0.9967741935483871,0.9384965831435079,0.023695260947810437,0.9865394663002883,3954,620,0.22,0.9995825028542679,0.9979923911042233,0.007104510610842328,0.027471421554492847
train,val_f1,5,3407,19,4,616,0.9943153732081068,0.9700787401574803,0.9935483870967742,0.9816733067729083,0.005545826036193812,0.9940012805302902,4046,620,0.22,0.9998794795020997,0.9993489847302639,0.0034579562179506453,0.015134327448906491
train,val_f1,6,3097,45,45,575,0.9760765550239234,0.9274193548387096,0.9274193548387096,0.9274193548387096,0.014322087842138766,0.9565486334982854,3762,620,0.22,0.9967798402496868,0.9863604082464421,0.0174312936359656,0.05745794090808906
train,val_f1,7,3464,34,8,612,0.9898008742107819,0.9473684210526315,0.9870967741935484,0.966824644549763,0.009719839908519153,0.9886884671425147,4118,620,0.22,0.9995163134694479,0.9972831200922327,0.006674578297349098,0.02385724801896648
train,val_f1,8,3065,133,25,595,0.9586170770036668,0.8173076923076923,0.9596774193548387,0.8827893175074184,0.041588492808005,0.9590444632734169,3818,620,0.22,0.9949176904920414,0.976612278429374,0.020443308340446966,0.06836636684167738
train,val_f1,9,2870,74,19,570,0.9736767619586754,0.8850931677018633,0.967741935483871,0.9245742092457421,0.025135869565217392,0.9713030329593269,3533,589,0.22,0.9964141045988042,0.985844012308809,0.01612519316550949,0.057156978946317945
train,val_fpr02,0,3015,0,620,0,0.8294360385144429,0.0,0.0,0.0,0.0,0.5,3635,620,1.000001,0.9987679880169047,0.9945747458132497,0.010672943930316236,0.040450381312875754
train,val_fpr02,1,3096,0,620,0,0.8331539289558665,0.0,0.0,0.0,0.0,0.5,3716,620,1.000001,0.9967575227140119,0.9866514817836703,0.015401730942808937,0.055308431020260104
train,val_fpr02,2,3355,0,620,0,0.8440251572327044,0.0,0.0,0.0,0.0,0.5,3975,620,1.000001,0.9991250420652853,0.9961612920571687,0.0069170847170834816,0.028424872751528038
train,val_fpr02,3,2964,0,620,0,0.8270089285714286,0.0,0.0,0.0,0.0,0.5,3584,620,1.000001,0.9988752122241086,0.9946734530995611,0.011182661809797533,0.03748031796640191
train,val_fpr02,4,3334,0,620,0,0.8431967627718766,0.0,0.0,0.0,0.0,0.5,3954,620,1.000001,0.9995825028542679,0.9979923911042233,0.007104510610842328,0.027471421554492847
train,val_fpr02,5,3426,0,620,0,0.8467622343054869,0.0,0.0,0.0,0.0,0.5,4046,620,1.000001,0.9998794795020997,0.9993489847302639,0.0034579562179506453,0.015134327448906491
train,val_fpr02,6,3142,0,620,0,0.8351940457203615,0.0,0.0,0.0,0.0,0.5,3762,620,1.000001,0.9967798402496868,0.9863604082464421,0.0174312936359656,0.05745794090808906
train,val_fpr02,7,3498,0,620,0,0.8494414764448761,0.0,0.0,0.0,0.0,0.5,4118,620,1.000001,0.9995163134694479,0.9972831200922327,0.006674578297349098,0.02385724801896648
train,val_fpr02,8,3198,0,620,0,0.8376113148245155,0.0,0.0,0.0,0.0,0.5,3818,620,1.000001,0.9949176904920414,0.976612278429374,0.020443308340446966,0.06836636684167738
train,val_fpr02,9,2944,0,589,0,0.8332861590716105,0.0,0.0,0.0,0.0,0.5,3533,589,1.000001,0.9964141045988042,0.985844012308809,0.01612519316550949,0.057156978946317945
validation,fixed,0,940,179,13,142,0.8492935635792779,0.4423676012461059,0.9161290322580645,0.5966386554621849,0.15996425379803395,0.8780823892300154,1274,155,0.5,0.9375594568883507,0.6182586626290824,0.1217931008157495,0.460716534278169
validation,fixed,1,816,114,51,104,0.847926267281106,0.47706422018348627,0.6709677419354839,0.5576407506702413,0.12258064516129032,0.7741935483870968,1085,155,0.5,0.8654734651404787,0.6862619212843999,0.11771123042413416,0.45441462158574
validation,fixed,2,795,59,49,106,0.8929633300297324,0.6424242424242425,0.6838709677419355,0.6625,0.06908665105386416,0.8073921583440357,1009,155,0.5,0.9318878900052883,0.7161721746520259,0.08743392662268706,0.35733830075949546
validation,fixed,3,808,27,101,54,0.8707070707070707,0.6666666666666666,0.34838709677419355,0.4576271186440678,0.032335329341317366,0.6580258837164381,990,155,0.5,0.9323469190650956,0.6888005124470804,0.10590152297807252,0.40388698222457553
validation,fixed,4,873,166,35,120,0.8316582914572864,0.4195804195804196,0.7741935483870968,0.54421768707483,0.15976900866217517,0.8072122698624609,1194,155,0.5,0.8901673445310317,0.47799898057150686,0.15493536108313663,0.8264193514067824
