epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,2597,599,121,499,0.8113207547169812,0.4544626593806922,0.8048387096774193,0.580908032596042,0.18742177722152692,0.8087084662279462,3816,620,0.5,0.9086282247971256,0.7088956381283409,0.12309839509136963,0.3870611925515729
5,train,1,3261,27,457,163,0.8761514841351075,0.8578947368421053,0.2629032258064516,0.4024691358024691,0.008211678832116789,0.6273457734871674,3908,620,0.5,0.8878679067577113,0.6270380871986021,0.09930289619843537,0.32429818064994914
5,train,2,3782,36,453,167,0.8898152320865255,0.8226600985221675,0.2693548387096774,0.40583232077764275,0.009429020429544265,0.6299629091400666,4438,620,0.5,0.8988593926899744,0.6304505955427779,0.08329195686235007,0.26572024922478565
5,train,3,2880,3,556,64,0.840422495004282,0.9552238805970149,0.1032258064516129,0.18631732168850074,0.001040582726326743,0.551092611862643,3503,620,0.5,0.8917497454488491,0.6641387965657084,0.11148822409018437,0.3497259660494503
5,train,4,3007,49,430,190,0.8696953210010882,0.7949790794979079,0.3064516129032258,0.44237485448195574,0.016034031413612565,0.6452087907448066,3676,620,0.5,0.8969721119743288,0.6470901033337406,0.09863968964825687,0.33048480277693076
5,train,5,3591,154,480,140,0.8547537227949599,0.47619047619047616,0.22580645161290322,0.3063457330415755,0.041121495327102804,0.5923424781429002,4365,620,0.5,0.8546914165123389,0.47142209228870524,0.09596088006453425,0.30307738675949164
5,train,6,3045,172,333,287,0.8683867604899661,0.6252723311546841,0.4629032258064516,0.5319740500463392,0.05346596207646876,0.7047186318649914,3837,620,0.5,0.8499443480702318,0.5784486784130565,0.10292209931089777,0.34113306456606707
5,train,7,2842,48,400,220,0.8723646723646724,0.8208955223880597,0.3548387096774194,0.4954954954954955,0.01660899653979239,0.6691148565688134,3510,620,0.5,0.8836689362652081,0.6576867461628013,0.10793563743069386,0.3575732299619351
5,train,8,3617,15,589,31,0.8579492003762935,0.6739130434782609,0.05,0.09309309309309309,0.004129955947136564,0.5229350220264317,4252,620,0.5,0.8371975806451613,0.4156683301808563,0.10435237457022059,0.3317644677781654
5,train,9,3307,131,355,234,0.8793146262726595,0.6410958904109589,0.39728353140916806,0.49056603773584906,0.03810354857475276,0.6795899914172077,4027,589,0.5,0.8982756389933342,0.5957713932039919,0.08637383411402319,0.2714971953419586
5,validation,0,690,142,19,136,0.8368794326241135,0.4892086330935252,0.8774193548387097,0.628175519630485,0.17067307692307693,0.8533731389578164,987,155,0.5,0.926923076923077,0.7262018970607995,0.12327374133362709,0.4002637144210933
5,validation,1,682,0,155,0,0.8148148148148148,0.0,0.0,0.0,0.0,0.5,837,155,0.5,0.9404786680541104,0.8033706766135709,0.12678868663299617,0.3899641352839279
5,validation,2,903,0,140,15,0.8676748582230623,1.0,0.0967741935483871,0.17647058823529413,0.0,0.5483870967741935,1058,155,0.5,0.9401993355481728,0.7177175443261499,0.08365089255203566,0.2519494140236561
5,validation,3,593,0,145,10,0.8061497326203209,1.0,0.06451612903225806,0.12121212121212122,0.0,0.532258064516129,748,155,0.5,0.8651797856715444,0.6336509391155244,0.14622350705296563,0.47249525227177586
5,validation,4,898,83,96,59,0.8424295774647887,0.4154929577464789,0.38064516129032255,0.39730639730639733,0.08460754332313965,0.6480188089835914,1136,155,0.5,0.8813192594784781,0.49919611166416133,0.09142824229227542,0.2809216386910608
5,validation,5,720,5,128,27,0.8488636363636364,0.84375,0.17419354838709677,0.2887700534759358,0.006896551724137931,0.5836484983314794,880,155,0.5,0.8178598442714127,0.5268750122933302,0.11788791112897017,0.374723424429706
5,validation,6,922,10,76,79,0.920883164673413,0.8876404494382022,0.5096774193548387,0.6475409836065574,0.01072961373390558,0.7494739028104666,1087,155,0.5,0.9615326041810882,0.8183489417809604,0.07357149150129695,0.2696997395135549
5,validation,7,981,270,52,103,0.7709815078236131,0.2761394101876676,0.6645161290322581,0.39015151515151514,0.2158273381294964,0.7243443954513809,1406,155,0.5,0.8675330703179392,0.5598052847721645,0.14112191575711622,0.4365083629870044
5,validation,8,450,0,155,0,0.743801652892562,0.0,0.0,0.0,0.0,0.5,605,155,0.5,0.9144946236559139,0.7738715701089924,0.21059981320235674,0.6580424180126009
