split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,3185,11,24,596,0.9908280922431866,0.9818780889621087,0.9612903225806452,0.9714751426242869,0.00344180225281602,0.9789242601639145,3816,620,0.5,0.9995054301748153,0.9975287297291822,0.007257002956234379,0.02586217738091877
train,fixed,1,3269,19,25,595,0.9887410440122825,0.9690553745928339,0.9596774193548387,0.9643435980551054,0.005778588807785888,0.9769494152735264,3908,620,0.5,0.9991493995761713,0.9958160677155059,0.00850365094287752,0.030794103295568608
train,fixed,2,3790,28,10,610,0.9914375844975214,0.9561128526645768,0.9838709677419355,0.9697933227344993,0.007333682556312206,0.9882686425928117,4438,620,0.5,0.9995420672873824,0.9973846951712809,0.0062805078487075715,0.022587989532086045
train,fixed,3,2871,12,33,587,0.987153868113046,0.9799666110183639,0.9467741935483871,0.963084495488105,0.004162330905306972,0.9713059313215401,3503,620,0.5,0.9990534053908898,0.9957811082910872,0.009595330994945361,0.034365425001655396
train,fixed,4,3053,3,18,602,0.9942872687704026,0.9950413223140496,0.9709677419354839,0.9828571428571429,0.000981675392670157,0.9849930332714069,3676,620,0.5,0.9998775544671509,0.999396223857896,0.004381742028560058,0.016437841953641712
train,fixed,5,3691,54,81,539,0.9690721649484536,0.9089376053962901,0.8693548387096774,0.8887056883759274,0.014419225634178905,0.9274678065377493,4365,620,0.5,0.9908527499030966,0.9601483488760222,0.023363223210918105,0.08032332901212008
train,fixed,6,3207,10,30,590,0.9895751889497003,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.003108486167236556,0.974252208529285,3837,620,0.5,0.9992404263639736,0.9963237544106178,0.007950184561298618,0.028458576405491386
train,fixed,7,2824,66,4,616,0.98005698005698,0.9032258064516129,0.9935483870967742,0.946236559139785,0.022837370242214532,0.9853555084272798,3510,620,0.5,0.9992220113851993,0.9964807647961822,0.01450334711030063,0.04871069597348554
train,fixed,8,3626,6,93,527,0.9767168391345249,0.9887429643527205,0.85,0.9141370338248048,0.0016519823788546256,0.9241740088105727,4252,620,0.5,0.9964788794941026,0.9849684898650942,0.017234726132454872,0.06258046903691625
train,fixed,9,3415,23,17,572,0.9900670474298485,0.9613445378151261,0.9711375212224108,0.9662162162162162,0.006689936009307737,0.9822237926065516,4027,589,0.5,0.9993106111560498,0.9963782938720224,0.007021169207197822,0.025286107303040702
train,val_f1,0,3132,64,2,618,0.9827044025157232,0.906158357771261,0.9967741935483871,0.9493087557603687,0.02002503128911139,0.9883745811296378,3816,620,0.06999999999999999,0.9995054301748153,0.9975287297291822,0.007257002956234379,0.02586217738091877
train,val_f1,1,3182,106,3,617,0.9721084953940634,0.8533886583679114,0.9951612903225806,0.9188384214445272,0.03223844282238443,0.981461423750098,3908,620,0.06999999999999999,0.9991493995761713,0.9958160677155059,0.00850365094287752,0.030794103295568608
train,val_f1,2,3677,141,1,619,0.96800360522758,0.8144736842105263,0.9983870967741936,0.8971014492753623,0.03693033001571503,0.9807283833792393,4438,620,0.06999999999999999,0.9995420672873824,0.9973846951712809,0.0062805078487075715,0.022587989532086045
train,val_f1,3,2756,127,0,620,0.9637453611190409,0.8299866131191432,1.0,0.9070958302852963,0.044051335414498786,0.9779743322927505,3503,620,0.06999999999999999,0.9990534053908898,0.9957811082910872,0.009595330994945361,0.034365425001655396
train,val_f1,4,2981,75,0,620,0.9795973884657236,0.8920863309352518,1.0,0.9429657794676806,0.02454188481675393,0.9877290575916231,3676,620,0.06999999999999999,0.9998775544671509,0.999396223857896,0.004381742028560058,0.016437841953641712
train,val_f1,5,3465,280,26,594,0.9298969072164949,0.6796338672768879,0.9580645161290322,0.7951807228915663,0.07476635514018691,0.9416490804944226,4365,620,0.06999999999999999,0.9908527499030966,0.9601483488760222,0.023363223210918105,0.08032332901212008
train,val_f1,6,3120,97,3,617,0.9739379723742507,0.8641456582633054,0.9951612903225806,0.9250374812593704,0.030152315822194593,0.982504487250193,3837,620,0.06999999999999999,0.9992404263639736,0.9963237544106178,0.007950184561298618,0.028458576405491386
train,val_f1,7,2670,220,0,620,0.9373219373219374,0.7380952380952381,1.0,0.8493150684931506,0.07612456747404844,0.9619377162629759,3510,620,0.06999999999999999,0.9992220113851993,0.9964807647961822,0.01450334711030063,0.04871069597348554
train,val_f1,8,3477,155,14,606,0.9602539981185324,0.7963206307490145,0.9774193548387097,0.8776249094858798,0.04267621145374449,0.9673715716924827,4252,620,0.06999999999999999,0.9964788794941026,0.9849684898650942,0.017234726132454872,0.06258046903691625
train,val_f1,9,3310,128,2,587,0.9677179041470076,0.820979020979021,0.9966044142614601,0.9003067484662577,0.03723094822571262,0.9796867330178738,4027,589,0.06999999999999999,0.9993106111560498,0.9963782938720224,0.007021169207197822,0.025286107303040702
train,val_fpr02,0,3196,0,620,0,0.8375262054507338,0.0,0.0,0.0,0.0,0.5,3816,620,1.000001,0.9995054301748153,0.9975287297291822,0.007257002956234379,0.02586217738091877
train,val_fpr02,1,3288,0,620,0,0.8413510747185261,0.0,0.0,0.0,0.0,0.5,3908,620,1.000001,0.9991493995761713,0.9958160677155059,0.00850365094287752,0.030794103295568608
train,val_fpr02,2,3818,0,620,0,0.8602974312753493,0.0,0.0,0.0,0.0,0.5,4438,620,1.000001,0.9995420672873824,0.9973846951712809,0.0062805078487075715,0.022587989532086045
train,val_fpr02,3,2883,0,620,0,0.8230088495575221,0.0,0.0,0.0,0.0,0.5,3503,620,1.000001,0.9990534053908898,0.9957811082910872,0.009595330994945361,0.034365425001655396
train,val_fpr02,4,3056,0,620,0,0.8313384113166485,0.0,0.0,0.0,0.0,0.5,3676,620,1.000001,0.9998775544671509,0.999396223857896,0.004381742028560058,0.016437841953641712
train,val_fpr02,5,3745,0,620,0,0.8579610538373424,0.0,0.0,0.0,0.0,0.5,4365,620,1.000001,0.9908527499030966,0.9601483488760222,0.023363223210918105,0.08032332901212008
train,val_fpr02,6,3217,0,620,0,0.8384154287203545,0.0,0.0,0.0,0.0,0.5,3837,620,1.000001,0.9992404263639736,0.9963237544106178,0.007950184561298618,0.028458576405491386
train,val_fpr02,7,2890,0,620,0,0.8233618233618234,0.0,0.0,0.0,0.0,0.5,3510,620,1.000001,0.9992220113851993,0.9964807647961822,0.01450334711030063,0.04871069597348554
train,val_fpr02,8,3632,0,620,0,0.8541862652869238,0.0,0.0,0.0,0.0,0.5,4252,620,1.000001,0.9964788794941026,0.9849684898650942,0.017234726132454872,0.06258046903691625
train,val_fpr02,9,3438,0,589,0,0.8537372734045195,0.0,0.0,0.0,0.0,0.5,4027,589,1.000001,0.9993106111560498,0.9963782938720224,0.007021169207197822,0.025286107303040702
validation,fixed,0,763,69,83,72,0.8459979736575481,0.5106382978723404,0.4645161290322581,0.4864864864864865,0.0829326923076923,0.6907917183622829,987,155,0.5,0.8938120347394541,0.5466199921735513,0.12946718221238523,0.5890810504946978
validation,fixed,1,681,1,91,64,0.8900836320191159,0.9846153846153847,0.4129032258064516,0.5818181818181818,0.001466275659824047,0.7057184750733138,837,155,0.5,0.8914483019581874,0.7687342507324327,0.09825959123237311,0.5383084463127646
validation,fixed,2,793,110,49,106,0.8497164461247637,0.49074074074074076,0.6838709677419355,0.5714285714285714,0.12181616832779624,0.7810273997070696,1058,155,0.5,0.8856428392812488,0.6760394544574923,0.1327639922214059,0.6660162858266815
validation,fixed,3,557,36,48,107,0.8877005347593583,0.7482517482517482,0.6903225806451613,0.7181208053691275,0.06070826306913996,0.8148071587880106,748,155,0.5,0.9152695425121037,0.8164467516640518,0.09760079325058182,0.4516899761439573
validation,fixed,4,778,203,36,119,0.789612676056338,0.3695652173913043,0.7677419354838709,0.4989517819706499,0.2069317023445464,0.7804051165696623,1136,155,0.5,0.876182960113117,0.39799786938597653,0.1803845227859943,0.8324754002382568
validation,fixed,5,710,15,70,85,0.9034090909090909,0.85,0.5483870967741935,0.6666666666666666,0.020689655172413793,0.7638487208008898,880,155,0.5,0.8229499443826473,0.6888092029080551,0.08639888007052958,0.49090299114242897
validation,fixed,6,898,34,81,74,0.8942042318307267,0.6851851851851852,0.4774193548387097,0.5627376425855514,0.03648068669527897,0.7204693340717154,1087,155,0.5,0.9187249065485256,0.6931313745813767,0.08845568198716243,0.3817047516897772
validation,fixed,7,815,436,34,121,0.6657183499288762,0.21723518850987433,0.7806451612903226,0.3398876404494382,0.34852118305355717,0.7160619891183827,1406,155,0.5,0.7826616126453676,0.26556882085184075,0.2948821745204052,1.326269712712042
validation,fixed,8,450,0,105,50,0.8264462809917356,1.0,0.3225806451612903,0.4878048780487805,0.0,0.6612903225806451,605,155,0.5,0.9371612903225807,0.8512161740785077,0.14033696033063128,0.5137203255042493
validation,fixed,9,771,46,93,62,0.8569958847736625,0.5740740740740741,0.4,0.4714828897338403,0.056303549571603426,0.6718482252141983,972,155,0.5,0.9139653334386229,0.6381457511624307,0.1258578289996701,0.5179072969733258
validation,val_f1,0,713,119,53,102,0.8257345491388045,0.46153846153846156,0.6580645161290323,0.5425531914893617,0.14302884615384615,0.7575178349875931,987,155,0.06999999999999999,0.8938120347394541,0.5466199921735513,0.12946718221238523,0.5890810504946978
validation,val_f1,1,652,30,66,89,0.8853046594982079,0.7478991596638656,0.5741935483870968,0.6496350364963503,0.04398826979472141,0.7651026392961877,837,155,0.06999999999999999,0.8914483019581874,0.7687342507324327,0.09825959123237311,0.5383084463127646
validation,val_f1,2,762,141,39,116,0.8298676748582231,0.45136186770428016,0.7483870967741936,0.5631067961165048,0.15614617940199335,0.7961204586861002,1058,155,0.06999999999999999,0.8856428392812488,0.6760394544574923,0.1327639922214059,0.6660162858266815
validation,val_f1,3,530,63,35,120,0.8689839572192514,0.6557377049180327,0.7741935483870968,0.7100591715976331,0.10623946037099494,0.833977044008051,748,155,0.06999999999999999,0.9152695425121037,0.8164467516640518,0.09760079325058182,0.4516899761439573
validation,val_f1,4,716,265,14,141,0.7544014084507042,0.3472906403940887,0.9096774193548387,0.5026737967914439,0.2701325178389399,0.8197724507579494,1136,155,0.06999999999999999,0.876182960113117,0.39799786938597653,0.1803845227859943,0.8324754002382568
validation,val_f1,5,633,92,47,108,0.8420454545454545,0.54,0.6967741935483871,0.6084507042253521,0.12689655172413794,0.7849388209121246,880,155,0.06999999999999999,0.8229499443826473,0.6888092029080551,0.08639888007052958,0.49090299114242897
validation,val_f1,6,859,73,50,105,0.8868445262189513,0.5898876404494382,0.6774193548387096,0.6306306306306306,0.07832618025751073,0.7995465872905995,1087,155,0.06999999999999999,0.9187249065485256,0.6931313745813767,0.08845568198716243,0.3817047516897772
validation,val_f1,7,723,528,26,129,0.6059743954480796,0.1963470319634703,0.832258064516129,0.31773399014778325,0.42206235011990406,0.7050978571981125,1406,155,0.06999999999999999,0.7826616126453676,0.26556882085184075,0.2948821745204052,1.326269712712042
validation,val_f1,8,421,29,54,101,0.8628099173553719,0.7769230769230769,0.6516129032258065,0.7087719298245614,0.06444444444444444,0.793584229390681,605,155,0.06999999999999999,0.9371612903225807,0.8512161740785077,0.14033696033063128,0.5137203255042493
validation,val_f1,9,745,72,71,84,0.852880658436214,0.5384615384615384,0.5419354838709678,0.5401929260450161,0.08812729498164015,0.7269040944446639,972,155,0.06999999999999999,0.9139653334386229,0.6381457511624307,0.1258578289996701,0.5179072969733258
validation,val_fpr02,0,832,0,155,0,0.8429584599797366,0.0,0.0,0.0,0.0,0.5,987,155,1.000001,0.8938120347394541,0.5466199921735513,0.12946718221238523,0.5890810504946978
validation,val_fpr02,1,682,0,155,0,0.8148148148148148,0.0,0.0,0.0,0.0,0.5,837,155,1.000001,0.8914483019581874,0.7687342507324327,0.09825959123237311,0.5383084463127646
validation,val_fpr02,2,903,0,155,0,0.8534971644612477,0.0,0.0,0.0,0.0,0.5,1058,155,1.000001,0.8856428392812488,0.6760394544574923,0.1327639922214059,0.6660162858266815
validation,val_fpr02,3,593,0,155,0,0.7927807486631016,0.0,0.0,0.0,0.0,0.5,748,155,1.000001,0.9152695425121037,0.8164467516640518,0.09760079325058182,0.4516899761439573
validation,val_fpr02,4,981,0,155,0,0.863556338028169,0.0,0.0,0.0,0.0,0.5,1136,155,1.000001,0.876182960113117,0.39799786938597653,0.1803845227859943,0.8324754002382568
validation,val_fpr02,5,725,0,155,0,0.8238636363636364,0.0,0.0,0.0,0.0,0.5,880,155,1.000001,0.8229499443826473,0.6888092029080551,0.08639888007052958,0.49090299114242897
validation,val_fpr02,6,932,0,155,0,0.8574057037718491,0.0,0.0,0.0,0.0,0.5,1087,155,1.000001,0.9187249065485256,0.6931313745813767,0.08845568198716243,0.3817047516897772
validation,val_fpr02,7,1251,0,155,0,0.8897581792318634,0.0,0.0,0.0,0.0,0.5,1406,155,1.000001,0.7826616126453676,0.26556882085184075,0.2948821745204052,1.326269712712042
