epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4591435949405497,,,,0.002310001291334629,0.02977794222533703,,0.0,0,0,0,0,0,35.93751140800305,35.933490785071626,6.292926555965096,0.0015805321745574474,0.0,38833,0,10,1.0
2,0.41723570843463814,,,,0.004871739540249109,0.06259655952453613,,0.0,0,0,0,0,0,32.394441277952865,32.39134354679845,3.7325220440980047,0.0014091669581830502,0.0,38833,0,10,1.0
3,0.39313604666748375,,,,0.005672083701938391,0.07280801981687546,,0.0,0,0,0,0,0,32.00225271494128,31.99824153026566,3.65657648188062,0.0014046551659703255,0.0,38833,0,10,1.0
4,0.34950942814974323,,,,0.006918981205672026,0.08857283741235733,,0.0,0,0,0,0,0,31.895414396887645,31.892146843019873,3.6284055549185723,0.001498526893556118,0.0,38833,0,10,1.0
5,0.34909364735495557,0.30604673780159636,0.8747919725893294,0.441728502837189,0.008033743128180504,0.1026705950498581,0.08805555555555555,0.0,0,0,0,0,0,31.81667018402368,31.813428902067244,3.6338033678475767,0.0012809690088033676,0.0,38833,0,10,1.0
6,0.335342360395184,,,,0.009109213948249817,0.11614042520523071,,0.0,0,0,0,0,0,31.608223400078714,31.604423971148208,3.5672646979801357,0.0014719278551638126,0.0,38833,0,10,1.0
7,0.31668005071745575,,,,0.010317204520106316,0.1311759650707245,,0.0,0,0,0,0,0,31.69340651598759,31.69012832408771,3.56933203805238,0.0014547919854521751,0.0,38833,0,10,1.0
8,0.3143970499290654,,,,0.011234070174396038,0.14245085418224335,,0.0,0,0,0,0,0,31.848458778113127,31.845278999535367,3.6762194288894534,0.0014192089438438416,0.0,38833,0,10,1.0
9,0.29906148649135766,,,,0.012532375752925873,0.1585342437028885,,0.0,0,0,0,0,0,31.99027932691388,31.98721486958675,3.618313573068008,0.0013861688785254955,0.0,38833,0,10,1.0
10,0.29082055489101566,0.26309575396046847,0.8999510523739599,0.6429070580013976,0.013896518386900425,0.1752781718969345,0.09605555555555556,0.0,0,0,0,0,0,32.17073995899409,32.167834140127525,3.6860852690879256,0.001303232042118907,0.0,38833,0,10,1.0
11,0.28212874846610503,,,,0.014942471869289875,0.18796490132808685,,0.0,0,0,0,0,0,29.27402593009174,29.270477031590417,3.3595924959518015,0.0015012531075626612,0.0,38833,0,10,1.0
12,0.2904637145656468,,,,0.01589307188987732,0.19953353703022003,,0.0,0,0,0,0,0,30.351812737993896,30.347970897564664,3.4652417979668826,0.0014454477932304144,0.0,38833,0,10,1.0
13,0.266710575662748,,,,0.017261259257793427,0.2161061316728592,,0.0,0,0,0,0,0,30.16621075500734,30.162920277332887,3.5416904790326953,0.0014544259756803513,0.0,38833,0,10,1.0
14,0.26715664398169314,,,,0.01831914484500885,0.22870108485221863,,0.0,0,0,0,0,0,30.415518862893805,30.412320722825825,3.5485542989335954,0.0013565139379352331,0.0,38833,0,10,1.0
15,0.25530776741107386,0.2588934576075968,0.8954478707782673,0.6624525916561315,0.019634434953331947,0.2445186972618103,0.09066666666666667,0.0,0,0,0,0,0,30.114021795103326,30.11112405010499,3.5549763469025493,0.0012391400523483753,0.0,38833,0,10,1.0
16,0.2513019957524316,,,,0.020681800320744514,0.2568744122982025,,0.0,0,0,0,0,0,30.526151350000873,30.52294838312082,3.7248558960855007,0.001340431859716773,0.0,38833,0,10,1.0
17,0.2457384074961939,,,,0.021796710789203644,0.27010488510131836,,0.0,0,0,0,0,0,29.610590509837493,29.607370927464217,3.3525839070789516,0.0014050488825887442,0.0,38833,0,10,1.0
18,0.23852278156872586,,,,0.022947654128074646,0.28364112973213196,,0.0,0,0,0,0,0,29.646533793071285,29.64331463770941,3.378609084058553,0.0014571701176464558,0.0,38833,0,10,1.0
19,0.22990642268899894,,,,0.02412591315805912,0.2974662780761719,,0.0,0,0,0,0,0,29.62742475885898,29.6242285980843,3.427273880923167,0.0013678630348294973,0.0,38833,0,10,1.0
20,0.22835309546962215,0.2470330683577769,0.9086637298091043,0.6909572706194104,0.025211621075868607,0.3100980222225189,0.06572222222222222,0.0,0,0,0,0,0,29.58987943897955,29.58685794682242,3.405884020961821,0.0012860640417784452,0.0,38833,0,10,1.0
21,0.21608564895031962,,,,0.02631000243127346,0.32267841696739197,,0.0,0,0,0,0,0,25.910515426890925,25.90518237510696,3.1125075758900493,0.0017446179408580065,0.0,38833,0,10,1.0
22,0.21931517780380494,,,,0.027337130159139633,0.3346232771873474,,0.0,0,0,0,0,0,22.510124081978574,22.5049263285473,2.5155426308047026,0.0016788691282272339,0.0,38833,0,10,1.0
23,0.21018341529618562,,,,0.028443077579140663,0.3472896218299866,,0.0,0,0,0,0,0,23.262706810841337,23.259292197646573,2.68804052984342,0.001478478079661727,0.0,38833,0,10,1.0
24,0.2028298803591791,,,,0.02957776002585888,0.3601835072040558,,0.0,0,0,0,0,0,23.13490966707468,23.131762598874047,2.620274313027039,0.0013335789553821087,0.0,38833,0,10,1.0
25,0.19836568615814174,0.27497794573199397,0.8987763093489965,0.6736111111111112,0.030661603435873985,0.37245893478393555,0.09966666666666667,0.0,0,0,0,0,0,22.857297465903684,22.85347490874119,2.660886937053874,0.001334198983386159,0.0,38833,0,10,1.0
26,0.2036284633333057,,,,0.03154855594038963,0.3823283016681671,,0.0,0,0,0,0,0,22.696734853088856,22.693517995765433,2.6120773409493268,0.0014764328952878714,0.0,38833,0,10,1.0
