epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,3234,0,614,6,0.8406850025947068,1.0,0.00967741935483871,0.019169329073482427,0.0,0.5048387096774194,3854,620,0.5,0.8819969776767013,0.5172118122682134,0.11175749263821412,0.3697352406912932
5,train,1,3382,174,369,251,0.8699712643678161,0.5905882352941176,0.40483870967741936,0.48038277511961724,0.048931383577052866,0.6779536630501832,4176,620,0.5,0.8544808411045393,0.5537188893587994,0.09354489467980083,0.30925851616409816
5,train,2,3633,144,340,280,0.8899249488287468,0.660377358490566,0.45161290322580644,0.5363984674329502,0.03812549642573471,0.7067437034000359,4397,620,0.5,0.9043356649329132,0.5814011225106326,0.08176124271129523,0.25838574867849906
5,train,3,3199,169,292,328,0.8844032096288866,0.6599597585513078,0.5290322580645161,0.5872873769024172,0.05017814726840855,0.7394270553980538,3988,620,0.5,0.9106083824994253,0.7003570159048639,0.08121083031496878,0.25948792971568196
5,train,4,2388,122,264,356,0.8766773162939298,0.7447698744769874,0.5741935483870968,0.6484517304189436,0.04860557768924303,0.762793985348927,3130,620,0.5,0.9221835239686416,0.7951327839163563,0.08706257344802686,0.3010684899238204
5,train,5,3581,132,289,331,0.9028386798984537,0.714902807775378,0.5338709677419354,0.6112650046168052,0.03555076757339079,0.7491601000842723,4333,620,0.5,0.932250679825895,0.6836381490270936,0.07102549576061624,0.22329748150187823
5,train,6,3406,101,333,287,0.8948388660043615,0.7396907216494846,0.4629032258064516,0.5694444444444444,0.02879954376960365,0.7170518410184239,4127,620,0.5,0.9017283405539153,0.6737769258006967,0.07884734675721836,0.2660204820588197
5,train,7,2950,75,454,166,0.8548696844993141,0.6887966804979253,0.267741935483871,0.38559814169570267,0.024793388429752067,0.6214742735270594,3645,620,0.5,0.8988659024260197,0.608035381368466,0.098878974841731,0.3082991661408147
5,train,8,3184,5,582,38,0.8458913100551326,0.8837209302325582,0.06129032258064516,0.11463046757164404,0.0015678896205707118,0.5298612164800373,3809,620,0.5,0.8415733519457005,0.4820480817899448,0.12159559253938285,0.39928423664791696
5,train,9,2785,0,589,0,0.8254297569650266,0.0,0.0,0.0,0.0,0.5,3374,589,0.5,0.8215628838703583,0.4150480530729077,0.12272545774303932,0.3910920019042527
5,validation,0,1041,0,155,0,0.8704013377926422,0.0,0.0,0.0,0.0,0.5,1196,155,0.5,0.9307737597223514,0.7697068409029229,0.09169475064705195,0.3252956957738629
5,validation,1,917,22,60,95,0.9250457038391224,0.811965811965812,0.6129032258064516,0.6985294117647058,0.023429179978700747,0.7947370229138755,1094,155,0.5,0.9676663574839397,0.8535419466635473,0.0630228378766363,0.22960037477242565
5,validation,2,671,0,124,31,0.8498789346246973,1.0,0.2,0.3333333333333333,0.0,0.6,826,155,0.5,0.9433873371472525,0.7955441050961186,0.10702424370027701,0.34030276456058484
5,validation,3,586,5,115,40,0.839142091152815,0.8888888888888888,0.25806451612903225,0.4,0.008460236886632826,0.6248021396211998,746,155,0.5,0.922929971071448,0.7739232936695529,0.11384390981103752,0.3483259445569554
5,validation,4,844,131,29,126,0.8584070796460177,0.490272373540856,0.8129032258064516,0.6116504854368932,0.13435897435897437,0.8392721257237385,1130,155,0.5,0.9231100082712986,0.7447578178987498,0.10355478073699896,0.3415142062286958
