split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,3218,16,25,595,0.9893617021276596,0.9738134206219312,0.9596774193548387,0.966693744922827,0.004947433518862091,0.9773649929179884,3854,620,0.5,0.9992100065832785,0.9960835350009594,0.008196036331979429,0.028850790863136418
train,fixed,1,3511,45,10,610,0.9868295019157088,0.9312977099236641,0.9838709677419355,0.9568627450980393,0.01265466816647919,0.9856081497877281,4176,620,0.5,0.9988860263434812,0.9946795868818286,0.009998824020337454,0.03700127239387854
train,fixed,2,3766,11,9,611,0.9954514441664771,0.9823151125401929,0.9854838709677419,0.9838969404186796,0.0029123643102991793,0.9912857533287214,4397,620,0.5,0.9998086892652472,0.9988412714969458,0.004652158945867971,0.018138022287568282
train,fixed,3,3358,10,14,606,0.9939819458375125,0.9837662337662337,0.9774193548387097,0.9805825242718447,0.0029691211401425177,0.9872251168492836,3988,620,0.5,0.999632690981534,0.9980393458707004,0.005071780099692612,0.01980818300506258
train,fixed,4,2507,3,31,589,0.9891373801916933,0.9949324324324325,0.95,0.971947194719472,0.001195219123505976,0.9744023904382471,3130,620,0.5,0.9996664953090862,0.9986844928091261,0.007607171209808696,0.02554459798776292
train,fixed,5,3713,0,101,519,0.9766905146549735,1.0,0.8370967741935483,0.9113257243195786,0.0,0.9185483870967741,4333,620,0.5,0.9996789831715942,0.9980788831979469,0.016412526239014055,0.05152344401359372
train,fixed,6,3493,14,14,606,0.9932154107099588,0.9774193548387097,0.9774193548387097,0.9774193548387097,0.003992015968063872,0.9867136694353229,4127,620,0.5,0.999642650183504,0.9981410207712113,0.0050953125427590324,0.01913812930638081
train,fixed,7,3019,6,46,574,0.9857338820301783,0.9896551724137931,0.9258064516129032,0.9566666666666667,0.0019834710743801653,0.9619114902692616,3645,620,0.5,0.9982831245001333,0.9931551621674363,0.011156732308903152,0.040430695026504794
train,fixed,8,3151,38,39,581,0.9797847203990548,0.938610662358643,0.9370967741935484,0.9378531073446328,0.01191596111633741,0.9625904065386055,3809,620,0.5,0.9968768650299923,0.9855152219424222,0.015140776174557734,0.05832179717426352
train,fixed,9,2760,25,15,574,0.98814463544754,0.9582637729549248,0.9745331069609507,0.9663299663299664,0.008976660682226212,0.9827782231393623,3374,589,0.5,0.9992154185196587,0.9965105425573575,0.008915006537035943,0.03384732847767186
