split,node,engines,windows,positive,positive_fraction
train,0,8,1131,248,0.2192749778956675
train,1,8,1408,248,0.1761363636363636
train,2,8,1337,248,0.1854899027673897
train,3,8,1247,248,0.1988773055332798
train,4,8,1181,248,0.2099915325994919
train,5,8,1083,248,0.2289935364727608
train,6,8,1191,248,0.2082283795130142
train,7,8,1199,248,0.2068390325271059
train,8,8,1385,248,0.1790613718411552
train,9,8,1519,248,0.1632653061224489
validation,0,2,340,62,0.1823529411764705
validation,1,2,328,62,0.1890243902439024
validation,2,2,349,62,0.1776504297994269
validation,3,2,265,62,0.2339622641509434
validation,4,2,255,62,0.2431372549019607
validation,5,2,277,62,0.223826714801444
validation,6,2,325,62,0.1907692307692307
validation,7,2,317,62,0.195583596214511
validation,8,2,404,62,0.1534653465346534
validation,9,2,190,62,0.3263157894736842
test,0,10,903,52,0.0575858250276854
test,1,10,991,57,0.0575176589303733
test,2,10,772,29,0.0375647668393782
test,3,9,737,31,0.0420624151967435
test,4,9,735,28,0.0380952380952381
test,5,9,865,24,0.0277456647398843
test,6,9,740,13,0.0175675675675675
test,7,9,786,13,0.0165394402035623
test,8,9,897,54,0.060200668896321
test,9,9,829,31,0.0373944511459589
