split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
test_all,fixed,0,843,8,1,51,0.9900332225913622,0.864406779661017,0.9807692307692308,0.918918918918919,0.0094007050528789,0.985684262858176,903,52,0.5,0.999548043026304,0.993184895588742,0.0080332647013703,0.0323261764917058
test_all,fixed,1,925,9,6,51,0.9848637739656912,0.85,0.8947368421052632,0.8717948717948718,0.0096359743040685,0.9425504339005972,991,57,0.5,0.9963935534768398,0.95800939311738,0.0107502974317575,0.03622747070745
test_all,fixed,2,740,3,8,21,0.9857512953367876,0.875,0.7241379310344828,0.7924528301886793,0.0040376850605652,0.8600501229869588,772,29,0.5,0.9967976980554138,0.9319791106975835,0.009604229250638,0.0297440392584464
test_all,fixed,3,703,3,0,31,0.9959294436906376,0.9117647058823528,1.0,0.953846153846154,0.0042492917847025,0.9978753541076488,737,31,0.5,0.9996801608334096,0.9929499552880106,0.0064952730705471,0.0263778921572561
test_all,fixed,4,707,0,10,18,0.9863945578231292,1.0,0.6428571428571429,0.782608695652174,0.0,0.8214285714285714,735,28,0.5,0.9975752677308548,0.9437303602482172,0.0115318566300351,0.0374988792219585
test_all,fixed,5,831,10,0,24,0.9884393063583816,0.7058823529411765,1.0,0.8275862068965517,0.0118906064209274,0.9940546967895364,865,24,0.5,0.9997027348394768,0.9907142857142855,0.006807039663063,0.0220828650525995
test_all,fixed,6,725,2,5,8,0.9905405405405404,0.8,0.6153846153846154,0.6956521739130435,0.0027510316368638,0.8063167918738758,740,13,0.5,0.99291080308962,0.81267094017094,0.0067973606578547,0.0246345300253001
test_all,fixed,7,757,16,1,12,0.9783715012722646,0.4285714285714285,0.9230769230769232,0.5853658536585366,0.0206985769728331,0.951189173052045,786,13,0.5,0.9976117026569808,0.926790450928382,0.0105284746941831,0.0342165776662974
test_all,fixed,8,843,0,13,41,0.9855072463768116,1.0,0.7592592592592593,0.8631578947368421,0.0,0.8796296296296297,897,54,0.5,0.9990114669829973,0.9885488869842298,0.0097391551923889,0.0319282879826706
test_all,fixed,9,798,0,8,23,0.9903498190591074,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,829,31,0.5,0.9994340690435768,0.986837355496568,0.0065032368240103,0.0211528085087178
