split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,876,7,2,246,0.9920424403183024,0.9723320158102767,0.9919354838709677,0.9820359281437125,0.007927519818799546,0.9920039820260841,1131,248,0.5,0.9996164103313484,0.9986345240183554,0.006281805128345001,0.022215179728729013
train,fixed,1,1158,2,3,245,0.9964488636363636,0.9919028340080972,0.9879032258064516,0.98989898989899,0.0017241379310344827,0.9930895439377085,1408,248,0.5,0.9999200500556173,0.9996297707966469,0.0028374432927735127,0.01019009357524238
train,fixed,2,1087,2,7,241,0.9932685115931189,0.9917695473251029,0.9717741935483871,0.9816700610997964,0.0018365472910927456,0.9849688231286472,1337,248,0.5,0.9998778103616813,0.9994770582700431,0.004234826117882311,0.014420216713074667
train,fixed,3,998,1,7,241,0.9935846030473136,0.9958677685950413,0.9717741935483871,0.9836734693877551,0.001001001001001001,0.9853865962736931,1247,248,0.5,0.999842584520004,0.9993787441558721,0.00458292820826794,0.016042801916840065
train,fixed,4,933,0,7,241,0.9940728196443692,1.0,0.9717741935483871,0.9856850715746421,0.0,0.9858870967741935,1181,248,0.5,0.9999438163399371,0.9997885510142056,0.004131212433567482,0.014338649559351024
train,fixed,5,826,9,7,241,0.9852262234533703,0.964,0.9717741935483871,0.9678714859437751,0.010778443113772455,0.9804978752173074,1083,248,0.5,0.9991790612323739,0.9972408216433666,0.01033971707480192,0.032186124106187874
train,fixed,6,942,1,8,240,0.9924433249370277,0.995850622406639,0.967741935483871,0.9815950920245399,0.0010604453870625664,0.9833407450484042,1191,248,0.5,0.999884548284473,0.9995646347577924,0.005285140773950178,0.017362350245774774
train,fixed,7,944,7,3,245,0.9916597164303587,0.9722222222222222,0.9879032258064516,0.98,0.007360672975814932,0.9902712764153183,1199,248,0.5,0.9997964790882262,0.9992274073108851,0.004959897375400733,0.016064741285173573
train,fixed,8,1136,1,12,236,0.9906137184115523,0.9957805907172996,0.9516129032258065,0.9731958762886598,0.0008795074758135445,0.9753666978749964,1385,248,0.5,0.9996347206854485,0.9983591286809232,0.0073002707277162624,0.02271757922119483
train,fixed,9,1271,0,11,237,0.9927583936800527,1.0,0.9556451612903226,0.977319587628866,0.0,0.9778225806451613,1519,248,0.5,0.999901652242329,0.9995092804828813,0.005047837343311909,0.01685477933996663
train,val_f1,0,881,2,14,234,0.9858532272325375,0.9915254237288136,0.9435483870967742,0.9669421487603306,0.0022650056625141564,0.97064169071713,1131,248,0.87,0.9996164103313484,0.9986345240183554,0.006281805128345001,0.022215179728729013
train,val_f1,1,1160,0,12,236,0.9914772727272727,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,1408,248,0.87,0.9999200500556173,0.9996297707966469,0.0028374432927735127,0.01019009357524238
train,val_f1,2,1089,0,21,227,0.9842931937172775,1.0,0.9153225806451613,0.9557894736842105,0.0,0.9576612903225806,1337,248,0.87,0.9998778103616813,0.9994770582700431,0.004234826117882311,0.014420216713074667
train,val_f1,3,999,0,20,228,0.9839615076182838,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,1247,248,0.87,0.999842584520004,0.9993787441558721,0.00458292820826794,0.016042801916840065
train,val_f1,4,933,0,17,231,0.9856054191363252,1.0,0.9314516129032258,0.964509394572025,0.0,0.9657258064516129,1181,248,0.87,0.9999438163399371,0.9997885510142056,0.004131212433567482,0.014338649559351024
train,val_f1,5,832,3,18,230,0.9806094182825484,0.9871244635193133,0.9274193548387096,0.9563409563409564,0.003592814371257485,0.9619132702337261,1083,248,0.87,0.9991790612323739,0.9972408216433666,0.01033971707480192,0.032186124106187874
train,val_f1,6,943,0,20,228,0.9832073887489504,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,1191,248,0.87,0.999884548284473,0.9995646347577924,0.005285140773950178,0.017362350245774774
train,val_f1,7,950,1,12,236,0.9891576313594662,0.9957805907172996,0.9516129032258065,0.9731958762886598,0.0010515247108307045,0.9752806892574879,1199,248,0.87,0.9997964790882262,0.9992274073108851,0.004959897375400733,0.016064741285173573
train,val_f1,8,1137,0,27,221,0.9805054151624548,1.0,0.8911290322580645,0.9424307036247335,0.0,0.9455645161290323,1385,248,0.87,0.9996347206854485,0.9983591286809232,0.0073002707277162624,0.02271757922119483
train,val_f1,9,1271,0,29,219,0.9809084924292297,1.0,0.8830645161290323,0.9379014989293362,0.0,0.9415322580645161,1519,248,0.87,0.999901652242329,0.9995092804828813,0.005047837343311909,0.01685477933996663
train,val_fpr02,0,876,7,2,246,0.9920424403183024,0.9723320158102767,0.9919354838709677,0.9820359281437125,0.007927519818799546,0.9920039820260841,1131,248,0.49,0.9996164103313484,0.9986345240183554,0.006281805128345001,0.022215179728729013
train,val_fpr02,1,1158,2,3,245,0.9964488636363636,0.9919028340080972,0.9879032258064516,0.98989898989899,0.0017241379310344827,0.9930895439377085,1408,248,0.49,0.9999200500556173,0.9996297707966469,0.0028374432927735127,0.01019009357524238
train,val_fpr02,2,1087,2,7,241,0.9932685115931189,0.9917695473251029,0.9717741935483871,0.9816700610997964,0.0018365472910927456,0.9849688231286472,1337,248,0.49,0.9998778103616813,0.9994770582700431,0.004234826117882311,0.014420216713074667
train,val_fpr02,3,998,1,7,241,0.9935846030473136,0.9958677685950413,0.9717741935483871,0.9836734693877551,0.001001001001001001,0.9853865962736931,1247,248,0.49,0.999842584520004,0.9993787441558721,0.00458292820826794,0.016042801916840065
train,val_fpr02,4,933,0,7,241,0.9940728196443692,1.0,0.9717741935483871,0.9856850715746421,0.0,0.9858870967741935,1181,248,0.49,0.9999438163399371,0.9997885510142056,0.004131212433567482,0.014338649559351024
train,val_fpr02,5,826,9,7,241,0.9852262234533703,0.964,0.9717741935483871,0.9678714859437751,0.010778443113772455,0.9804978752173074,1083,248,0.49,0.9991790612323739,0.9972408216433666,0.01033971707480192,0.032186124106187874
train,val_fpr02,6,942,1,8,240,0.9924433249370277,0.995850622406639,0.967741935483871,0.9815950920245399,0.0010604453870625664,0.9833407450484042,1191,248,0.49,0.999884548284473,0.9995646347577924,0.005285140773950178,0.017362350245774774
train,val_fpr02,7,944,7,3,245,0.9916597164303587,0.9722222222222222,0.9879032258064516,0.98,0.007360672975814932,0.9902712764153183,1199,248,0.49,0.9997964790882262,0.9992274073108851,0.004959897375400733,0.016064741285173573
train,val_fpr02,8,1135,2,12,236,0.9898916967509025,0.9915966386554622,0.9516129032258065,0.9711934156378601,0.001759014951627089,0.9749269441370897,1385,248,0.49,0.9996347206854485,0.9983591286809232,0.0073002707277162624,0.02271757922119483
train,val_fpr02,9,1271,0,11,237,0.9927583936800527,1.0,0.9556451612903226,0.977319587628866,0.0,0.9778225806451613,1519,248,0.49,0.999901652242329,0.9995092804828813,0.005047837343311909,0.01685477933996663
validation,fixed,0,278,0,9,53,0.9735294117647059,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,340,62,0.5,0.9998839637967046,0.9994959677419353,0.02284749102885814,0.0849868506721945
validation,fixed,1,254,12,0,62,0.9634146341463414,0.8378378378378378,1.0,0.9117647058823529,0.045112781954887216,0.9774436090225564,328,62,0.5,1.0,1.0,0.03297284518063441,0.1498827689155257
validation,fixed,2,283,4,0,62,0.9885386819484241,0.9393939393939394,1.0,0.96875,0.013937282229965157,0.9930313588850175,349,62,0.5,0.9993818140946387,0.9971429780723448,0.01016903024342874,0.05149516743852105
