epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.26647161159563126,,,,5.950967274515051e-09,7.535031443239859e-08,,0.0,0,0,0,0,0,3.9440336319999005,3.9407446549998895,3.9407446549998895,0.0009071879999282828,0.0,12434,0,10,1.0
2,0.12324894543330309,,,,6.148994202703761e-09,7.720731787230761e-08,,0.0,0,0,0,0,0,3.732791971000097,3.7293616489996566,3.7293616489996566,0.0008861009996508074,0.0,12434,0,10,1.0
3,0.0995778835349975,,,,6.14991613190341e-09,7.666123735816655e-08,,0.0,0,0,0,0,0,3.8825215440001557,3.879313352000281,3.879313352000281,0.0009584489998815116,0.0,12434,0,10,1.0
4,0.08186385725205862,,,,6.0864637774216135e-09,7.508749888529564e-08,,0.0,0,0,0,0,0,4.127853889000107,4.12423947599973,4.12423947599973,0.0010012019997702737,0.0,12434,0,10,1.0
5,0.07142019821925621,0.08431049419663487,0.9654231119199272,0.9006968641114983,6.1062874756601104e-09,7.466493912033911e-08,0.0,0.0,0,0,0,0,0,3.7546315159997903,3.7517714139999043,3.7517714139999043,0.0007403330000670394,0.0,12434,0,10,1.0
6,0.08088119719426157,,,,6.2773417575101575e-09,7.61098917223535e-08,,0.0,0,0,0,0,0,4.0290152509996915,4.02585749400032,4.02585749400032,0.000841582999782986,0.0,12434,0,10,1.0
7,0.06798322966781598,,,,6.141871899956186e-09,7.394562828721973e-08,,0.0,0,0,0,0,0,4.064655836999918,4.061636145000193,4.061636145000193,0.0008424990001003607,0.0,12434,0,10,1.0
8,0.07031093009034355,,,,6.404468511078676e-09,7.640441168632606e-08,,0.0,0,0,0,0,0,3.8754220030000397,3.8726474509999207,3.8726474509999207,0.0007014969996816944,0.0,12434,0,10,1.0
9,0.06046010791962987,,,,6.383093609230173e-09,7.546940139491198e-08,,0.0,0,0,0,0,0,4.021877229999973,4.018485667000277,4.018485667000277,0.0009527410002192482,0.0,12434,0,10,1.0
10,0.060757634255574296,0.06710131948056065,0.9757355171367911,0.934640522875817,6.47035713896571e-09,7.588144512737927e-08,0.0,0.0,0,0,0,0,0,3.8469755470000564,3.844220299999961,3.844220299999961,0.0008007930000530905,0.0,12434,0,10,1.0
11,0.06040644692908688,,,,6.510286532090959e-09,7.551434322294881e-08,,0.0,0,0,0,0,0,3.874195870999756,3.8704803310001807,3.8704803310001807,0.000912827999854926,0.0,12434,0,10,1.0
12,0.058070393926042324,,,,6.48223386079394e-09,7.438819693561527e-08,,0.0,0,0,0,0,0,3.867394934999993,3.864281635000225,3.864281635000225,0.0008228189999499591,0.0,12434,0,10,1.0
13,0.05281151884839296,,,,6.7186309848921155e-09,7.633222054437283e-08,,0.0,0,0,0,0,0,3.8884503770000265,3.8854597279996597,3.8854597279996597,0.0007973390002007363,0.0,12434,0,10,1.0
14,0.05640589502574605,,,,6.613722014492396e-09,7.439985694190909e-08,,0.0,0,0,0,0,0,3.8093387479998455,3.806261072000325,3.806261072000325,0.0008549030003450753,0.0,12434,0,10,1.0
15,0.04804299174852457,0.09316376482088223,0.9648164998483469,0.8994800693240901,6.572338673294098e-09,7.315108518923807e-08,0.0,0.0,0,0,0,0,0,3.790754689000096,3.7877715960003115,3.7877715960003115,0.0008405799999309238,0.0,12434,0,10,1.0
16,0.05287060546940404,,,,6.832274745960376e-09,7.532914025887294e-08,,0.0,0,0,0,0,0,3.8152815929997814,3.8119131469998138,3.8119131469998138,0.0009297969995714084,0.0,12434,0,10,1.0
17,0.04348143667835926,,,,6.892888482212811e-09,7.532251800057566e-08,,0.0,0,0,0,0,0,3.7651188059999185,3.761952401999679,3.761952401999679,0.0008416870000473864,0.0,12434,0,10,1.0
18,0.0550421966802768,,,,6.951609510252865e-09,7.540326407706743e-08,,0.0,0,0,0,0,0,4.031700284999715,4.028333401000054,4.028333401000054,0.0008600229998592113,0.0,12434,0,10,1.0
19,0.047891825876617104,,,,6.922596273994941e-09,7.452879202674012e-08,,0.0,0,0,0,0,0,3.9362442270003157,3.933171322000362,3.933171322000362,0.0007787330000610382,0.0,12434,0,10,1.0
20,0.044522568436681946,0.06246599291147951,0.978465271458902,0.9439621152328335,6.951820896716754e-09,7.41841077456229e-08,0.0,0.0,0,0,0,0,0,3.8770449589997042,3.8741676939998797,3.8741676939998797,0.0007876899999246234,0.0,12434,0,10,1.0
21,0.055501044629741196,,,,7.092605169845001e-09,7.519415134993324e-08,,0.0,0,0,0,0,0,3.87357295000038,3.8700180600003478,3.8700180600003478,0.000894025999969017,0.0,12434,0,10,1.0
22,0.045962552751525484,,,,7.065117380022912e-09,7.420297976068468e-08,,0.0,0,0,0,0,0,4.07720422400007,4.07392460400024,4.07392460400024,0.0008955309999691963,0.0,12434,0,10,1.0
23,0.0445744829563652,,,,7.072772145733097e-09,7.357654396855651e-08,,0.0,0,0,0,0,0,4.389196570999957,4.3859300120002445,4.3859300120002445,0.0007553230002486089,0.0,12434,0,10,1.0
24,0.048984529456827484,,,,7.2413466334353416e-09,7.449634864542531e-08,,0.0,0,0,0,0,0,4.107454564999898,4.10422157999983,4.10422157999983,0.0008265810001830687,0.0,12434,0,10,1.0
25,0.04142094625932181,0.09886824923155646,0.9611768274188657,0.8865248226950354,7.234636445474507e-09,7.392511491843834e-08,0.0,0.0,0,0,0,0,0,3.8828982089999045,3.8798177609996856,3.8798177609996856,0.0008258799998657196,0.0,12434,0,10,1.0
26,0.04789208416515883,,,,7.382628730567831e-09,7.483918551542956e-08,,0.0,0,0,0,0,0,3.796830974000386,3.7935904379996828,3.7935904379996828,0.0008586750000176835,0.0,12434,0,10,1.0
27,0.04005139377114952,,,,7.379118649453176e-09,7.405049018416321e-08,,0.0,0,0,0,0,0,3.639805807999892,3.6366459820001182,3.6366459820001182,0.0008664280003358726,0.0,12434,0,10,1.0
28,0.04763697349919237,,,,7.407741087206432e-09,7.394776702085437e-08,,0.0,0,0,0,0,0,3.806966117999764,3.8039344940002593,3.8039344940002593,0.0008305410001412383,0.0,12434,0,10,1.0
29,0.043777177438756504,,,,7.514547206710631e-09,7.431629001075635e-08,,0.0,0,0,0,0,0,3.6656259110000065,3.662667342000077,3.662667342000077,0.0008088770000540535,0.0,12434,0,10,1.0
30,0.04720990662384363,0.07614248741104977,0.9742189869578405,0.9335418295543393,7.53022089128308e-09,7.380477740071001e-08,0.0,0.0,0,0,0,0,0,3.7722264909998557,3.7692781060000016,3.7692781060000016,0.0008367180003006069,0.0,12434,0,10,1.0
31,0.04304860625580823,,,,7.667192214455554e-09,7.449565941897163e-08,,0.0,0,0,0,0,0,4.048790054000165,4.045510532999742,4.045510532999742,0.0007883949997449236,0.0,12434,0,10,1.0
32,0.04058046389813973,,,,7.718879757590003e-09,7.453219552644441e-08,,0.0,0,0,0,0,0,4.073894419000226,4.070416591000139,4.070416591000139,0.0009164250000139873,0.0,12434,0,10,1.0
33,0.03699769502282005,,,,7.770633914105929e-09,7.43457420071536e-08,,0.0,0,0,0,0,0,3.903033781999966,3.8999260089999552,3.8999260089999552,0.0007932920002531318,0.0,12434,0,10,1.0
34,0.040361347964948176,,,,7.744557883881953e-09,7.376036137429764e-08,,0.0,0,0,0,0,0,3.937898370000312,3.9347700419998546,3.9347700419998546,0.0008599709999543848,0.0,12434,0,10,1.0
35,0.04253640505881465,0.06456925268554568,0.9745222929936306,0.9297658862876255,7.877153151980565e-09,7.450948658060952e-08,0.0,0.0,0,0,0,0,0,3.8555381379997016,3.852589066999826,3.852589066999826,0.0008306969998557179,0.0,12434,0,10,1.0
