split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1020,9,4,244,0.9898198903680501,0.9644268774703557,0.9838709677419355,0.9740518962075848,0.008746355685131196,0.9875623060284022,1277,248,0.5,0.9994905796419951,0.9979374675784727,0.008113427678255597,0.02692903486258506
train,fixed,1,865,9,5,243,0.9875222816399287,0.9642857142857143,0.9798387096774194,0.972,0.010297482837528604,0.9847706134199454,1122,248,0.5,0.9990726729165129,0.9967907171226202,0.010500072189763381,0.03503988936243923
train,fixed,2,868,6,9,239,0.9866310160427807,0.9755102040816327,0.9637096774193549,0.9695740365111561,0.006864988558352402,0.9784223444305012,1122,248,0.5,0.9992479884845354,0.997461350296118,0.009513441621837752,0.03041206586741403
train,fixed,3,1269,6,2,246,0.9947472094550229,0.9761904761904762,0.9919354838709677,0.984,0.004705882352941176,0.9936148007590133,1523,248,0.5,0.9998481973434535,0.9992178344093177,0.003863872002039822,0.014051993267217794
train,fixed,4,1002,8,2,246,0.9920508744038156,0.968503937007874,0.9919354838709677,0.9800796812749004,0.007920792079207921,0.9920073458958799,1258,248,0.5,0.9996766208878952,0.9986960368264856,0.006214943155101626,0.021095931283525687
train,fixed,5,883,15,6,242,0.981675392670157,0.9416342412451362,0.9758064516129032,0.9584158415841584,0.01670378619153675,0.9795513327106833,1146,248,0.5,0.9987292549752137,0.9959739915800587,0.012682403789668685,0.04000874300968349
train,fixed,6,995,9,5,243,0.9888178913738019,0.9642857142857143,0.9798387096774194,0.972,0.008964143426294821,0.9854372831255622,1252,248,0.5,0.9994015871995887,0.9975982887620793,0.0079703056711205,0.02664028656558779
train,fixed,7,1022,10,3,245,0.98984375,0.9607843137254902,0.9879032258064516,0.974155069582505,0.009689922480620155,0.9891066516629157,1280,248,0.5,0.9991794823705926,0.9965297631201976,0.009305965059762417,0.03352101022433886
train,fixed,8,968,13,5,243,0.985353946297803,0.94921875,0.9798387096774194,0.9642857142857143,0.013251783893985729,0.9832934628917168,1229,248,0.5,0.9992724671993686,0.9972539835067626,0.010157315420716524,0.0316607517192503
train,fixed,9,967,10,7,241,0.9861224489795918,0.9601593625498008,0.9717741935483871,0.9659318637274549,0.01023541453428864,0.9807693895070493,1225,248,0.5,0.9988526430481725,0.9958529785414946,0.010753902814095615,0.03507019148953566
train,val_f1,0,1017,12,3,245,0.9882537196554424,0.953307392996109,0.9879032258064516,0.9702970297029703,0.011661807580174927,0.9881207091131383,1277,248,0.45,0.9994905796419951,0.9979374675784727,0.008113427678255597,0.02692903486258506
train,val_f1,1,861,13,5,243,0.983957219251337,0.94921875,0.9798387096774194,0.9642857142857143,0.014874141876430207,0.9824822839004945,1122,248,0.45,0.9990726729165129,0.9967907171226202,0.010500072189763381,0.03503988936243923
train,val_f1,2,868,6,9,239,0.9866310160427807,0.9755102040816327,0.9637096774193549,0.9695740365111561,0.006864988558352402,0.9784223444305012,1122,248,0.45,0.9992479884845354,0.997461350296118,0.009513441621837752,0.03041206586741403
train,val_f1,3,1268,7,2,246,0.9940906106369009,0.9723320158102767,0.9919354838709677,0.9820359281437125,0.005490196078431373,0.9932226438962681,1523,248,0.45,0.9998481973434535,0.9992178344093177,0.003863872002039822,0.014051993267217794
train,val_f1,4,1002,8,2,246,0.9920508744038156,0.968503937007874,0.9919354838709677,0.9800796812749004,0.007920792079207921,0.9920073458958799,1258,248,0.45,0.9996766208878952,0.9986960368264856,0.006214943155101626,0.021095931283525687
train,val_f1,5,882,16,6,242,0.9808027923211169,0.937984496124031,0.9758064516129032,0.9565217391304348,0.017817371937639197,0.9789945398376321,1146,248,0.45,0.9987292549752137,0.9959739915800587,0.012682403789668685,0.04000874300968349
train,val_f1,6,992,12,5,243,0.9864217252396166,0.9529411764705882,0.9798387096774194,0.9662027833001988,0.01195219123505976,0.9839432592211799,1252,248,0.45,0.9994015871995887,0.9975982887620793,0.0079703056711205,0.02664028656558779
train,val_f1,7,1019,13,3,245,0.9875,0.9496124031007752,0.9879032258064516,0.9683794466403162,0.012596899224806201,0.9876531632908228,1280,248,0.45,0.9991794823705926,0.9965297631201976,0.009305965059762417,0.03352101022433886
train,val_f1,8,967,14,4,244,0.985353946297803,0.9457364341085271,0.9838709677419355,0.9644268774703557,0.014271151885830785,0.9847999079280523,1229,248,0.45,0.9992724671993686,0.9972539835067626,0.010157315420716524,0.0316607517192503
train,val_f1,9,967,10,6,242,0.986938775510204,0.9603174603174603,0.9758064516129032,0.968,0.01023541453428864,0.9827855185393073,1225,248,0.45,0.9988526430481725,0.9958529785414946,0.010753902814095615,0.03507019148953566
train,val_fpr02,0,1014,15,2,246,0.9866875489428347,0.9425287356321839,0.9919354838709677,0.9666011787819253,0.014577259475218658,0.9886791121978745,1277,248,0.34,0.9994905796419951,0.9979374675784727,0.008113427678255597,0.02692903486258506
train,val_fpr02,1,857,17,2,246,0.9830659536541889,0.935361216730038,0.9919354838709677,0.9628180039138943,0.019450800915331808,0.986242341477818,1122,248,0.34,0.9990726729165129,0.9967907171226202,0.010500072189763381,0.03503988936243923
train,val_fpr02,2,866,8,7,241,0.9866310160427807,0.9678714859437751,0.9717741935483871,0.9698189134808853,0.009153318077803204,0.9813104377352919,1122,248,0.34,0.9992479884845354,0.997461350296118,0.009513441621837752,0.03041206586741403
train,val_fpr02,3,1267,8,1,247,0.9940906106369009,0.9686274509803922,0.9959677419354839,0.9821073558648111,0.006274509803921568,0.9948466160657812,1523,248,0.34,0.9998481973434535,0.9992178344093177,0.003863872002039822,0.014051993267217794
train,val_fpr02,4,998,12,1,247,0.9896661367249603,0.9536679536679536,0.9959677419354839,0.9743589743589743,0.011881188118811881,0.992043276908336,1258,248,0.34,0.9996766208878952,0.9986960368264856,0.006214943155101626,0.021095931283525687
train,val_fpr02,5,877,21,4,244,0.9781849912739965,0.9207547169811321,0.9838709677419355,0.9512670565302144,0.02338530066815145,0.980242833536892,1146,248,0.34,0.9987292549752137,0.9959739915800587,0.012682403789668685,0.04000874300968349
train,val_fpr02,6,992,12,1,247,0.9896166134185304,0.9536679536679536,0.9959677419354839,0.9743589743589743,0.01195219123505976,0.9920077753502121,1252,248,0.34,0.9994015871995887,0.9975982887620793,0.0079703056711205,0.02664028656558779
train,val_fpr02,7,1016,16,1,247,0.98671875,0.9391634980988594,0.9959677419354839,0.9667318982387475,0.015503875968992248,0.9902319329832459,1280,248,0.34,0.9991794823705926,0.9965297631201976,0.009305965059762417,0.03352101022433886
train,val_fpr02,8,961,20,3,245,0.9812855980471928,0.9245283018867925,0.9879032258064516,0.9551656920077972,0.020387359836901122,0.9837579329847752,1229,248,0.34,0.9992724671993686,0.9972539835067626,0.010157315420716524,0.0316607517192503
train,val_fpr02,9,963,14,5,243,0.9844897959183674,0.9455252918287937,0.9798387096774194,0.9623762376237623,0.014329580348004094,0.9827545646647076,1225,248,0.34,0.9988526430481725,0.9958529785414946,0.010753902814095615,0.03507019148953566
validation,fixed,0,310,6,6,56,0.9682539682539683,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.0189873417721519,0.9421192323397305,378,62,0.5,0.9966823193140057,0.9841300575113698,0.01786460729084838,0.049347097023911525
validation,fixed,1,269,11,3,59,0.9590643274853801,0.8428571428571429,0.9516129032258065,0.8939393939393939,0.039285714285714285,0.9561635944700462,342,62,0.5,0.9952188940092165,0.9803120489372908,0.03483804400272531,0.1825938450744182
validation,fixed,2,336,7,3,59,0.9753086419753086,0.8939393939393939,0.9516129032258065,0.921875,0.02040816326530612,0.9656023699802502,405,62,0.5,0.9972726417756043,0.9857457636391227,0.020810565192394725,0.0761570022308865
validation,fixed,3,224,2,0,62,0.9930555555555556,0.96875,1.0,0.9841269841269841,0.008849557522123894,0.995575221238938,288,62,0.5,0.9997858978018841,0.9992194275684833,0.009148815037845134,0.03311681658622492
validation,fixed,4,138,0,8,54,0.96,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,200,62,0.5,1.0,1.0,0.0273413333752295,0.07756812839579802
validation,fixed,5,199,4,0,62,0.9849056603773585,0.9393939393939394,1.0,0.96875,0.019704433497536946,0.9901477832512315,265,62,0.5,0.9996821865564913,0.9989714116954673,0.011674000722710411,0.03964508731907667
validation,fixed,6,379,4,1,61,0.9887640449438202,0.9384615384615385,0.9838709677419355,0.9606299212598425,0.010443864229765013,0.9867135517560852,445,62,0.5,0.9996209887981135,0.9977758821242808,0.0064517212481560015,0.020016441348251438
validation,fixed,7,224,3,1,61,0.986159169550173,0.953125,0.9838709677419355,0.9682539682539683,0.013215859030837005,0.9853275543555493,289,62,0.5,0.9992894699445787,0.9974983853512078,0.009345654087342895,0.028955160207330532
validation,fixed,8,265,0,8,54,0.9755351681957186,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,327,62,0.5,0.9993304930006086,0.9975695978789217,0.01844948167148263,0.059272705762080394
validation,fixed,9,296,0,6,56,0.9832402234636871,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,358,62,0.5,0.9988557105492589,0.9950385839619108,0.012370527690966663,0.03925774186264342
validation,val_f1,0,309,7,6,56,0.9656084656084656,0.8888888888888888,0.9032258064516129,0.896,0.022151898734177215,0.9405369538587178,378,62,0.45,0.9966823193140057,0.9841300575113698,0.01786460729084838,0.049347097023911525
validation,val_f1,1,269,11,3,59,0.9590643274853801,0.8428571428571429,0.9516129032258065,0.8939393939393939,0.039285714285714285,0.9561635944700462,342,62,0.45,0.9952188940092165,0.9803120489372908,0.03483804400272531,0.1825938450744182
validation,val_f1,2,335,8,3,59,0.9728395061728395,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.023323615160349854,0.9641446440327284,405,62,0.45,0.9972726417756043,0.9857457636391227,0.020810565192394725,0.0761570022308865
validation,val_f1,3,224,2,0,62,0.9930555555555556,0.96875,1.0,0.9841269841269841,0.008849557522123894,0.995575221238938,288,62,0.45,0.9997858978018841,0.9992194275684833,0.009148815037845134,0.03311681658622492
