split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1088,22,1,247,0.9830633284241531,0.9182156133828996,0.9959677419354839,0.9555125725338491,0.01981981981981982,0.988073961057832,1358,248,0.5,0.999415140947399,0.9974338387984918,0.012801501296534325,0.0418516721587539
train,fixed,1,972,9,2,246,0.9910496338486574,0.9647058823529412,0.9919354838709677,0.9781312127236581,0.009174311926605505,0.9913805859721811,1229,248,0.5,0.9996012955838347,0.9984347395723042,0.007318306656115646,0.024201746039054887
train,fixed,2,1001,19,2,246,0.9834384858044164,0.9283018867924528,0.9919354838709677,0.9590643274853801,0.018627450980392157,0.9866540164452877,1268,248,0.5,0.9996600253004427,0.9987075922903574,0.010906121980275043,0.032027255695219005
train,fixed,3,945,21,1,247,0.9818780889621087,0.9216417910447762,0.9959677419354839,0.9573643410852714,0.021739130434782608,0.9871143057503506,1214,248,0.5,0.9997203299272023,0.9989398662058027,0.01247517020188839,0.03889137221760107
train,fixed,4,935,21,0,248,0.9825581395348837,0.9219330855018587,1.0,0.9593810444874274,0.021966527196652718,0.9890167364016736,1204,248,0.5,0.9995402550951545,0.9982546240996929,0.01338740388827603,0.0422676427164659
train,fixed,5,1106,30,0,248,0.9783236994219653,0.8920863309352518,1.0,0.9429657794676806,0.02640845070422535,0.9867957746478873,1384,248,0.5,0.9996805429350295,0.9985461717371331,0.014450341121204064,0.04382568369158785
train,fixed,6,820,22,2,246,0.9779816513761468,0.917910447761194,0.9919354838709677,0.9534883720930233,0.026128266033254157,0.9829036089188568,1090,248,0.5,0.9991044747528924,0.9971047105698367,0.015939412190466854,0.04885464339029159
train,fixed,7,1165,9,0,248,0.9936708860759493,0.9649805447470817,1.0,0.9821782178217822,0.007666098807495741,0.9961669505962522,1422,248,0.5,0.999869483980876,0.999371991709494,0.005461872512631567,0.019239061220950777
train,fixed,8,1039,12,1,247,0.9899923017705927,0.9536679536679536,0.9959677419354839,0.9743589743589743,0.011417697431018078,0.992275022252233,1299,248,0.5,0.9995549553420705,0.9981337467456127,0.008444990640178077,0.027343981157818775
train,fixed,9,891,21,1,247,0.9810344827586207,0.9216417910447762,0.9959677419354839,0.9573643410852714,0.023026315789473683,0.986470713073005,1160,248,0.5,0.9993765916808149,0.9977557176576723,0.013355641898596967,0.04301171083061292
train,val_f1,0,1096,14,3,245,0.9874815905743741,0.9459459459459459,0.9879032258064516,0.9664694280078896,0.012612612612612612,0.9876453065969195,1358,248,0.81,0.999415140947399,0.9974338387984918,0.012801501296534325,0.0418516721587539
train,val_f1,1,977,4,9,239,0.9894222945484134,0.9835390946502057,0.9637096774193549,0.9735234215885947,0.004077471967380225,0.9798161027259873,1229,248,0.81,0.9996012955838347,0.9984347395723042,0.007318306656115646,0.024201746039054887
train,val_f1,2,1016,4,4,244,0.9936908517350158,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.00392156862745098,0.9899746995572423,1268,248,0.81,0.9996600253004427,0.9987075922903574,0.010906121980275043,0.032027255695219005
train,val_f1,3,960,6,3,245,0.9925864909390445,0.9760956175298805,0.9879032258064516,0.9819639278557114,0.006211180124223602,0.990846022841114,1214,248,0.81,0.9997203299272023,0.9989398662058027,0.01247517020188839,0.03889137221760107
train,val_f1,4,948,8,4,244,0.9900332225913622,0.9682539682539683,0.9838709677419355,0.976,0.008368200836820083,0.9877513834525578,1204,248,0.81,0.9995402550951545,0.9982546240996929,0.01338740388827603,0.0422676427164659
train,val_f1,5,1126,10,2,246,0.9913294797687862,0.9609375,0.9919354838709677,0.9761904761904762,0.008802816901408451,0.9915663334847796,1384,248,0.81,0.9996805429350295,0.9985461717371331,0.014450341121204064,0.04382568369158785
train,val_f1,6,831,11,7,241,0.9834862385321101,0.9563492063492064,0.9717741935483871,0.964,0.013064133016627079,0.97935503026588,1090,248,0.81,0.9991044747528924,0.9971047105698367,0.015939412190466854,0.04885464339029159
train,val_f1,7,1172,2,9,239,0.9922644163150492,0.991701244813278,0.9637096774193549,0.9775051124744376,0.0017035775127768314,0.981003049953289,1422,248,0.81,0.999869483980876,0.999371991709494,0.005461872512631567,0.019239061220950777
train,val_f1,8,1045,6,9,239,0.9884526558891455,0.9755102040816327,0.9637096774193549,0.9695740365111561,0.005708848715509039,0.9790004143519229,1299,248,0.81,0.9995549553420705,0.9981337467456127,0.008444990640178077,0.027343981157818775
train,val_f1,9,904,8,6,242,0.9879310344827587,0.968,0.9758064516129032,0.9718875502008032,0.008771929824561403,0.9835172608941709,1160,248,0.81,0.9993765916808149,0.9977557176576723,0.013355641898596967,0.04301171083061292
train,val_fpr02,0,1095,15,3,245,0.9867452135493373,0.9423076923076923,0.9879032258064516,0.9645669291338582,0.013513513513513514,0.9871948561464691,1358,248,0.79,0.999415140947399,0.9974338387984918,0.012801501296534325,0.0418516721587539
train,val_fpr02,1,976,5,8,240,0.9894222945484134,0.9795918367346939,0.967741935483871,0.973630831643002,0.0050968399592252805,0.9813225477623229,1229,248,0.79,0.9996012955838347,0.9984347395723042,0.007318306656115646,0.024201746039054887
train,val_fpr02,2,1014,6,4,244,0.9921135646687698,0.976,0.9838709677419355,0.9799196787148594,0.0058823529411764705,0.9889943074003795,1268,248,0.79,0.9996600253004427,0.9987075922903574,0.010906121980275043,0.032027255695219005
train,val_fpr02,3,960,6,3,245,0.9925864909390445,0.9760956175298805,0.9879032258064516,0.9819639278557114,0.006211180124223602,0.990846022841114,1214,248,0.79,0.9997203299272023,0.9989398662058027,0.01247517020188839,0.03889137221760107
train,val_fpr02,4,948,8,4,244,0.9900332225913622,0.9682539682539683,0.9838709677419355,0.976,0.008368200836820083,0.9877513834525578,1204,248,0.79,0.9995402550951545,0.9982546240996929,0.01338740388827603,0.0422676427164659
train,val_fpr02,5,1123,13,1,247,0.9898843930635838,0.95,0.9959677419354839,0.9724409448818898,0.011443661971830986,0.9922620399818265,1384,248,0.79,0.9996805429350295,0.9985461717371331,0.014450341121204064,0.04382568369158785
train,val_fpr02,6,830,12,6,242,0.9834862385321101,0.952755905511811,0.9758064516129032,0.9641434262948207,0.014251781472684086,0.9807773350701096,1090,248,0.79,0.9991044747528924,0.9971047105698367,0.015939412190466854,0.04885464339029159
train,val_fpr02,7,1172,2,5,243,0.9950773558368495,0.9918367346938776,0.9798387096774194,0.9858012170385395,0.0017035775127768314,0.9890675660823213,1422,248,0.79,0.999869483980876,0.999371991709494,0.005461872512631567,0.019239061220950777
train,val_fpr02,8,1044,7,9,239,0.9876828329484219,0.9715447154471545,0.9637096774193549,0.9676113360323887,0.006660323501427212,0.9785246769589638,1299,248,0.79,0.9995549553420705,0.9981337467456127,0.008444990640178077,0.027343981157818775
train,val_fpr02,9,904,8,6,242,0.9879310344827587,0.968,0.9758064516129032,0.9718875502008032,0.008771929824561403,0.9835172608941709,1160,248,0.79,0.9993765916808149,0.9977557176576723,0.013355641898596967,0.04301171083061292
validation,fixed,0,235,13,0,62,0.9580645161290322,0.8266666666666667,1.0,0.9051094890510949,0.05241935483870968,0.9737903225806452,310,62,0.5,0.9998699271592092,0.9994838379333695,0.03397076561635474,0.12433389189409202
validation,fixed,1,289,0,10,52,0.9715099715099715,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,351,62,0.5,0.9985489451947763,0.9941470986582228,0.020384920026034113,0.06457745841870219
validation,fixed,2,244,4,0,62,0.9870967741935484,0.9393939393939394,1.0,0.96875,0.016129032258064516,0.9919354838709677,310,62,0.5,0.9999349635796045,0.9997439836149513,0.014047598726301177,0.043540142610234325
validation,fixed,3,251,14,5,57,0.9418960244648318,0.8028169014084507,0.9193548387096774,0.8571428571428571,0.052830188679245285,0.9332623250152161,327,62,0.5,0.991600730371272,0.9686683607547595,0.04378621364562612,0.1507715616000708
validation,fixed,4,235,20,0,62,0.9369085173501577,0.7560975609756098,1.0,0.8611111111111112,0.0784313725490196,0.9607843137254901,317,62,0.5,0.9981024667931688,0.9927361921943588,0.05689754986080473,0.3254820389451129
validation,fixed,5,312,2,1,61,0.9920212765957447,0.9682539682539683,0.9838709677419355,0.976,0.006369426751592357,0.9887507704951716,376,62,0.5,0.9996404355866036,0.9982460397584669,0.007007842147219668,0.02548914318339209
validation,fixed,6,136,18,5,57,0.8935185185185185,0.76,0.9193548387096774,0.8321167883211679,0.11688311688311688,0.9012358609132802,216,62,0.5,0.9811478843736908,0.9681200656011009,0.06693227892619334,0.19137533918863744
validation,fixed,7,304,0,7,55,0.9808743169398907,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,366,62,0.5,0.9993102716468591,0.9968774146170507,0.012669729987276609,0.04026008525872637
validation,fixed,8,197,10,2,60,0.9553903345724907,0.8571428571428571,0.967741935483871,0.9090909090909091,0.04830917874396135,0.9597163783699548,269,62,0.5,0.9955586722767648,0.9862536191050572,0.03493403406735457,0.16878720182025736
validation,fixed,9,194,5,0,62,0.9808429118773946,0.9253731343283582,1.0,0.9612403100775194,0.02512562814070352,0.9874371859296482,261,62,0.5,0.9995947479332145,0.9987195246069519,0.013655458495727378,0.04287223389456528
validation,val_f1,0,240,8,0,62,0.9741935483870968,0.8857142857142857,1.0,0.9393939393939394,0.03225806451612903,0.9838709677419355,310,62,0.81,0.9998699271592092,0.9994838379333695,0.03397076561635474,0.12433389189409202
validation,val_f1,1,289,0,15,47,0.9572649572649573,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,351,62,0.81,0.9985489451947763,0.9941470986582228,0.020384920026034113,0.06457745841870219
validation,val_f1,2,247,1,1,61,0.9935483870967742,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.004032258064516129,0.9899193548387097,310,62,0.81,0.9999349635796045,0.9997439836149513,0.014047598726301177,0.043540142610234325
validation,val_f1,3,257,8,6,56,0.9571865443425076,0.875,0.9032258064516129,0.8888888888888888,0.03018867924528302,0.936518563603165,327,62,0.81,0.991600730371272,0.9686683607547595,0.04378621364562612,0.1507715616000708
validation,val_f1,4,239,16,0,62,0.9495268138801262,0.7948717948717948,1.0,0.8857142857142857,0.06274509803921569,0.9686274509803922,317,62,0.81,0.9981024667931688,0.9927361921943588,0.05689754986080473,0.3254820389451129
validation,val_f1,5,314,0,3,59,0.9920212765957447,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,376,62,0.81,0.9996404355866036,0.9982460397584669,0.007007842147219668,0.02548914318339209
validation,val_f1,6,150,4,6,56,0.9537037037037037,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.025974025974025976,0.9386258902387934,216,62,0.81,0.9811478843736908,0.9681200656011009,0.06693227892619334,0.19137533918863744
validation,val_f1,7,304,0,10,52,0.9726775956284153,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,366,62,0.81,0.9993102716468591,0.9968774146170507,0.012669729987276609,0.04026008525872637
validation,val_f1,8,200,7,3,59,0.9628252788104089,0.8939393939393939,0.9516129032258065,0.921875,0.033816425120772944,0.9588982390525167,269,62,0.81,0.9955586722767648,0.9862536191050572,0.03493403406735457,0.16878720182025736
validation,val_f1,9,197,2,1,61,0.9885057471264368,0.9682539682539683,0.9838709677419355,0.976,0.010050251256281407,0.986910358242827,261,62,0.81,0.9995947479332145,0.9987195246069519,0.013655458495727378,0.04287223389456528
validation,val_fpr02,0,240,8,0,62,0.9741935483870968,0.8857142857142857,1.0,0.9393939393939394,0.03225806451612903,0.9838709677419355,310,62,0.79,0.9998699271592092,0.9994838379333695,0.03397076561635474,0.12433389189409202
validation,val_fpr02,1,289,0,14,48,0.9601139601139601,1.0,0.7741935483870968,0.8727272727272727,0.0,0.8870967741935484,351,62,0.79,0.9985489451947763,0.9941470986582228,0.020384920026034113,0.06457745841870219
validation,val_fpr02,2,247,1,1,61,0.9935483870967742,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.004032258064516129,0.9899193548387097,310,62,0.79,0.9999349635796045,0.9997439836149513,0.014047598726301177,0.043540142610234325
validation,val_fpr02,3,257,8,6,56,0.9571865443425076,0.875,0.9032258064516129,0.8888888888888888,0.03018867924528302,0.936518563603165,327,62,0.79,0.991600730371272,0.9686683607547595,0.04378621364562612,0.1507715616000708
validation,val_fpr02,4,239,16,0,62,0.9495268138801262,0.7948717948717948,1.0,0.8857142857142857,0.06274509803921569,0.9686274509803922,317,62,0.79,0.9981024667931688,0.9927361921943588,0.05689754986080473,0.3254820389451129
validation,val_fpr02,5,314,0,3,59,0.9920212765957447,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,376,62,0.79,0.9996404355866036,0.9982460397584669,0.007007842147219668,0.02548914318339209
validation,val_fpr02,6,149,5,6,56,0.9490740740740741,0.9180327868852459,0.9032258064516129,0.9105691056910569,0.032467532467532464,0.9353791369920402,216,62,0.79,0.9811478843736908,0.9681200656011009,0.06693227892619334,0.19137533918863744
validation,val_fpr02,7,304,0,10,52,0.9726775956284153,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,366,62,0.79,0.9993102716468591,0.9968774146170507,0.012669729987276609,0.04026008525872637
validation,val_fpr02,8,199,8,3,59,0.9591078066914498,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.03864734299516908,0.9564827801153187,269,62,0.79,0.9955586722767648,0.9862536191050572,0.03493403406735457,0.16878720182025736
validation,val_fpr02,9,197,2,1,61,0.9885057471264368,0.9682539682539683,0.9838709677419355,0.976,0.010050251256281407,0.986910358242827,261,62,0.79,0.9995947479332145,0.9987195246069519,0.013655458495727378,0.04287223389456528
test_all,fixed,0,579,0,4,9,0.9932432432432432,1.0,0.6923076923076923,0.8181818181818182,0.0,0.8461538461538461,592,13,0.5,0.9998671449448652,0.9945054945054945,0.0038742153220387666,0.011675624017950085
test_all,fixed,1,916,13,0,69,0.9869739478957916,0.8414634146341463,1.0,0.9139072847682119,0.013993541442411194,0.9930032292787945,998,69,0.5,0.9998127954322085,0.9975705242883527,0.007512306104467917,0.02299913400929292
test_all,fixed,2,997,1,4,7,0.9950445986124876,0.875,0.6363636363636364,0.7368421052631579,0.001002004008016032,0.8176808161778102,1009,11,0.5,0.998451448351248,0.8925619834710744,0.003412974982502047,0.011045126096011404
test_all,fixed,3,621,22,4,63,0.9633802816901409,0.7411764705882353,0.9402985074626866,0.8289473684210527,0.03421461897356143,0.9530419442445626,710,67,0.5,0.995125461340266,0.9655688045912179,0.026832287702437146,0.07991100619519836
test_all,fixed,4,856,13,2,24,0.9832402234636871,0.6486486486486487,0.9230769230769231,0.7619047619047619,0.014959723820483314,0.9540585996282199,895,26,0.5,0.9974329468000355,0.9579360165118678,0.010244486083972583,0.02983780944747771
test_all,fixed,5,739,18,0,26,0.9770114942528736,0.5909090909090909,1.0,0.7428571428571429,0.023778071334214,0.9881109643328929,783,26,0.5,0.9996951529316126,0.9916337557716867,0.017958002234091313,0.05985186536736145
test_all,fixed,6,769,8,0,20,0.9899623588456713,0.7142857142857143,1.0,0.8333333333333334,0.010296010296010296,0.9948519948519948,797,20,0.5,1.0,1.0000000000000002,0.007923359743557915,0.02679472376164523
test_all,fixed,7,572,2,0,23,0.9966499162479062,0.92,1.0,0.9583333333333334,0.003484320557491289,0.9982578397212544,597,23,0.5,1.0,0.9999999999999999,0.003277791811450864,0.011363171086994566
