epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.27044604827399965,,,,6.198211721653024e-09,7.813179081495036e-08,,0.0,0,0,0,0,0,4.282742136999332,4.2789516800003184,4.2789516800003184,0.0009142099997916375,0.0,12569,0,10,1.0
2,0.15106967864538096,,,,6.2093561403742115e-09,7.756570141737029e-08,,0.0,0,0,0,0,0,4.186279031000595,4.180051985000318,4.180051985000318,0.0012901259997306624,0.0,12569,0,10,1.0
3,0.10788467787908611,,,,6.126450902144143e-09,7.605809315691658e-08,,0.0,0,0,0,0,0,4.012466477000089,4.0092358570000215,4.0092358570000215,0.0008140219997585518,0.0,12569,0,10,1.0
4,0.09215062925910236,,,,6.12545170142198e-09,7.542246294178767e-08,,0.0,0,0,0,0,0,4.06053013500059,4.057275205000224,4.057275205000224,0.0008585059995311894,0.0,12569,0,10,1.0
5,0.0754949974244549,0.06642175906226709,0.9702719797596457,0.9233278955954323,6.135237207161026e-09,7.489472153565657e-08,0.0,0.0,0,0,0,0,0,3.9155951220000134,3.912262508999447,3.912262508999447,0.0009119759997702204,0.0,12569,0,10,1.0
6,0.06882419691233108,,,,6.329697654905431e-09,7.650412925386263e-08,,0.0,0,0,0,0,0,4.088851313000305,4.085964918999707,4.085964918999707,0.0007269510006153723,0.0,12569,0,10,1.0
7,0.0743560249572585,,,,6.271111185895961e-09,7.52263176195811e-08,,0.0,0,0,0,0,0,4.056998654999916,4.053873333999945,4.053873333999945,0.000763903000006394,0.0,12569,0,10,1.0
8,0.06367015992210877,,,,6.182087286532578e-09,7.349854769245212e-08,,0.0,0,0,0,0,0,3.957322395999654,3.954547655999704,3.954547655999704,0.0006816530003561638,0.0,12569,0,10,1.0
9,0.0740968073047007,,,,6.462920865146771e-09,7.618559294542138e-08,,0.0,0,0,0,0,0,3.8638150260003385,3.860665698000048,3.860665698000048,0.0008315539998875465,0.0,12569,0,10,1.0
10,0.06903447522113806,0.05597858114414081,0.976280834914611,0.9369217830109335,6.508882322009413e-09,7.613258645733367e-08,0.0,0.0,0,0,0,0,0,4.099445748000107,4.096355006000522,4.096355006000522,0.0007212679993244819,0.0,12569,0,10,1.0
