split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1113,4,3,245,0.9948717948717949,0.9839357429718876,0.9879032258064516,0.9859154929577465,0.0035810205908683975,0.9921611026077917,1365,248,0.5,0.9997328674156005,0.9988991878127683,0.004681945775941413,0.0174417230508799
train,fixed,1,1012,5,5,243,0.9920948616600791,0.9798387096774194,0.9798387096774194,0.9798387096774194,0.004916420845624385,0.9874611444158975,1265,248,0.5,0.9996114441589748,0.9984773564079469,0.006175129540866972,0.02065839159112553
train,fixed,2,817,8,1,247,0.9916123019571296,0.9686274509803922,0.9959677419354839,0.9821073558648111,0.009696969696969697,0.9931353861192571,1073,248,0.5,0.9998826979472141,0.9996172172029429,0.00591093646291387,0.020483682743581078
train,fixed,3,1294,8,4,244,0.9922580645161291,0.9682539682539683,0.9838709677419355,0.976,0.006144393241167435,0.988863287250384,1550,248,0.5,0.9997863089044151,0.9989189808940885,0.004910044294363431,0.01631166114690145
train,fixed,4,807,19,4,244,0.978584729981378,0.9277566539923955,0.9838709677419355,0.9549902152641878,0.023002421307506054,0.9804342732172147,1074,248,0.5,0.9989846129813325,0.9967482605414695,0.01393552637085449,0.043910176757781284
train,fixed,5,1219,7,0,248,0.9952510176390773,0.9725490196078431,1.0,0.9860834990059643,0.005709624796084829,0.9971451876019576,1474,248,0.5,0.9999539546387413,0.9997735949357385,0.003743933179847451,0.013259503243063424
train,fixed,6,1091,14,2,246,0.9881744271988174,0.9461538461538461,0.9919354838709677,0.968503937007874,0.012669683257918552,0.9896329003065246,1353,248,0.5,0.9996752298934461,0.9986177828983926,0.008263518149796,0.02672205100182635
train,fixed,7,801,10,8,240,0.9830028328611898,0.96,0.967741935483871,0.963855421686747,0.012330456226880395,0.9777057396284953,1059,248,0.5,0.998771926335468,0.9961433847404114,0.012180234690189942,0.04120868047775196
train,fixed,8,1011,8,5,243,0.98973954222573,0.9681274900398407,0.9798387096774194,0.9739478957915831,0.007850834151128557,0.9859939377631455,1267,248,0.5,0.9995884643388522,0.9983702954824876,0.006773250929280249,0.021654998157585554
train,fixed,9,837,4,7,241,0.98989898989899,0.9836734693877551,0.9717741935483871,0.9776876267748479,0.0047562425683709865,0.983508975490008,1089,248,0.5,0.9996787618426605,0.9989283710127892,0.006602961945481551,0.020883396534595502
train,val_f1,0,1113,4,3,245,0.9948717948717949,0.9839357429718876,0.9879032258064516,0.9859154929577465,0.0035810205908683975,0.9921611026077917,1365,248,0.49,0.9997328674156005,0.9988991878127683,0.004681945775941413,0.0174417230508799
train,val_f1,1,1012,5,5,243,0.9920948616600791,0.9798387096774194,0.9798387096774194,0.9798387096774194,0.004916420845624385,0.9874611444158975,1265,248,0.49,0.9996114441589748,0.9984773564079469,0.006175129540866972,0.02065839159112553
train,val_f1,2,816,9,1,247,0.9906803355079217,0.96484375,0.9959677419354839,0.9801587301587301,0.01090909090909091,0.9925293255131965,1073,248,0.49,0.9998826979472141,0.9996172172029429,0.00591093646291387,0.020483682743581078
train,val_f1,3,1294,8,4,244,0.9922580645161291,0.9682539682539683,0.9838709677419355,0.976,0.006144393241167435,0.988863287250384,1550,248,0.49,0.9997863089044151,0.9989189808940885,0.004910044294363431,0.01631166114690145
train,val_f1,4,807,19,4,244,0.978584729981378,0.9277566539923955,0.9838709677419355,0.9549902152641878,0.023002421307506054,0.9804342732172147,1074,248,0.49,0.9989846129813325,0.9967482605414695,0.01393552637085449,0.043910176757781284
train,val_f1,5,1219,7,0,248,0.9952510176390773,0.9725490196078431,1.0,0.9860834990059643,0.005709624796084829,0.9971451876019576,1474,248,0.49,0.9999539546387413,0.9997735949357385,0.003743933179847451,0.013259503243063424
train,val_f1,6,1091,14,2,246,0.9881744271988174,0.9461538461538461,0.9919354838709677,0.968503937007874,0.012669683257918552,0.9896329003065246,1353,248,0.49,0.9996752298934461,0.9986177828983926,0.008263518149796,0.02672205100182635
train,val_f1,7,801,10,8,240,0.9830028328611898,0.96,0.967741935483871,0.963855421686747,0.012330456226880395,0.9777057396284953,1059,248,0.49,0.998771926335468,0.9961433847404114,0.012180234690189942,0.04120868047775196
train,val_f1,8,1010,9,5,243,0.988950276243094,0.9642857142857143,0.9798387096774194,0.972,0.008832188420019628,0.9855032606286999,1267,248,0.49,0.9995884643388522,0.9983702954824876,0.006773250929280249,0.021654998157585554
train,val_f1,9,837,4,7,241,0.98989898989899,0.9836734693877551,0.9717741935483871,0.9776876267748479,0.0047562425683709865,0.983508975490008,1089,248,0.49,0.9996787618426605,0.9989283710127892,0.006602961945481551,0.020883396534595502
train,val_fpr02,0,1109,8,2,246,0.9926739926739927,0.968503937007874,0.9919354838709677,0.9800796812749004,0.007162041181736795,0.9923867213446155,1365,248,0.34,0.9997328674156005,0.9988991878127683,0.004681945775941413,0.0174417230508799
train,val_fpr02,1,1011,6,4,244,0.9920948616600791,0.976,0.9838709677419355,0.9799196787148594,0.0058997050147492625,0.9889856313635932,1265,248,0.34,0.9996114441589748,0.9984773564079469,0.006175129540866972,0.02065839159112553
train,val_fpr02,2,811,14,0,248,0.9869524697110904,0.9465648854961832,1.0,0.9725490196078431,0.01696969696969697,0.9915151515151515,1073,248,0.34,0.9998826979472141,0.9996172172029429,0.00591093646291387,0.020483682743581078
train,val_fpr02,3,1290,12,1,247,0.9916129032258064,0.9536679536679536,0.9959677419354839,0.9743589743589743,0.009216589861751152,0.9933755760368663,1550,248,0.34,0.9997863089044151,0.9989189808940885,0.004910044294363431,0.01631166114690145
train,val_fpr02,4,800,26,2,246,0.9739292364990689,0.9044117647058824,0.9919354838709677,0.9461538461538461,0.031476997578692496,0.9802292431461377,1074,248,0.34,0.9989846129813325,0.9967482605414695,0.01393552637085449,0.043910176757781284
train,val_fpr02,5,1212,14,0,248,0.9905020352781547,0.9465648854961832,1.0,0.9725490196078431,0.011419249592169658,0.9942903752039152,1474,248,0.34,0.9999539546387413,0.9997735949357385,0.003743933179847451,0.013259503243063424
train,val_fpr02,6,1082,23,1,247,0.9822616407982262,0.9148148148148149,0.9959677419354839,0.9536679536679536,0.02081447963800905,0.9875766311487374,1353,248,0.34,0.9996752298934461,0.9986177828983926,0.008263518149796,0.02672205100182635
train,val_fpr02,7,798,13,5,243,0.9830028328611898,0.94921875,0.9798387096774194,0.9642857142857143,0.016029593094944512,0.9819045582912374,1059,248,0.34,0.998771926335468,0.9961433847404114,0.012180234690189942,0.04120868047775196
train,val_fpr02,8,1007,12,2,246,0.988950276243094,0.9534883720930233,0.9919354838709677,0.9723320158102767,0.011776251226692836,0.9900796163221375,1267,248,0.34,0.9995884643388522,0.9983702954824876,0.006773250929280249,0.021654998157585554
train,val_fpr02,9,835,6,5,243,0.98989898989899,0.9759036144578314,0.9798387096774194,0.9778672032193159,0.007134363852556481,0.9863521729124314,1089,248,0.34,0.9996787618426605,0.9989283710127892,0.006602961945481551,0.020883396534595502
validation,fixed,0,232,0,10,52,0.9659863945578231,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,294,62,0.5,0.9956201334816462,0.9864716009303776,0.031965754523128664,0.17907454994914712
