epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,0.0005099509726278484,0.00658191554248333,,0.7814024090766907,6452400,40,6452400,6452080,320,3.617138678999936,3.6126266989997475,0.420453494999947,0.0033349080001698894,0.526192,12681,10,10,0.8726779962499653
2,0.4541909771258384,,,,0.0009215755853801966,0.011873803101480007,,1.3004206418991089,6452400,40,6452400,6452080,320,3.782281813000054,3.7780620799996996,0.4693852269999752,0.002980013000069448,0.526192,12681,10,10,0.8726779962499653
3,0.3111694684841244,,,,0.0010604565031826496,0.013614942319691181,,0.9467652440071106,6452400,40,6452400,6452080,320,3.8780387960000553,3.8740860480002084,0.4269124740001189,0.0028780490001736325,0.526192,12681,10,10,0.8726779962499653
4,0.30184525914969185,,,,0.0012068306095898151,0.015494187362492085,,1.3201018571853638,6452400,40,6452400,6452080,320,3.5321201259998816,3.527775811000083,0.393786228999943,0.0031670850000864448,0.526192,12681,10,10,0.8726779962499653
5,0.2596845696722382,0.19506725273201705,0.9350819672131148,0.8166666666666667,0.0012367521412670612,0.015852976590394974,0.04416666666666667,0.9486263394355774,6452400,40,6452400,6452080,320,3.6241650419999587,3.6198544820001644,0.40558980299988434,0.0031267620001926844,0.526192,12681,10,10,0.8726779962499653
6,0.24185389709868715,,,,0.001411154167726636,0.018060455098748207,,1.0544593334197998,6452400,40,6452400,6452080,320,3.7095564880000893,3.7045104499995887,0.4475994609999816,0.003806637000025148,0.526192,12681,10,10,0.8726779962499653
7,0.21660266277918652,,,,0.00150499667506665,0.019222114235162735,,1.1453946828842163,6452400,40,6452400,6452080,320,3.51940657199998,3.5150444089997563,0.40188558599993485,0.0031863659999089577,0.526192,12681,10,10,0.8726779962499653
8,0.20366863146254474,,,,0.0015855215024203062,0.02020692452788353,,1.042829990386963,6452400,40,6452400,6452080,320,3.65764096099997,3.6535330189999513,0.4272507579999001,0.0030637620000106836,0.526192,12681,10,10,0.8726779962499653
9,0.1895311585393494,,,,0.0016211887123063207,0.020623601973056793,,1.140912413597107,6452400,40,6452400,6452080,320,3.5838192160001654,3.5793481870000505,0.4323535710000215,0.0032619599999179627,0.526192,12681,10,10,0.8726779962499653
10,0.16538149123113827,0.14934767033113266,0.9498360655737705,0.874487284659557,0.0016710548661649227,0.021213212981820107,0.03625,1.0344479084014893,6452400,40,6452400,6452080,320,3.6437004130000332,3.63939597199942,0.44906702599996606,0.0031368180000299617,0.526192,12681,10,10,0.8726779962499653
11,0.1637547356485692,,,,0.001646043499931693,0.020870724692940712,,1.1188256740570068,6452400,40,6452400,6452080,320,3.8211983799999416,3.8168753560003097,0.4347594770001706,0.00316895600008138,0.526192,12681,10,10,0.8726779962499653
12,0.1470327599405654,,,,0.0017179304268211126,0.021740863099694252,,1.2647649049758911,6452400,40,6452400,6452080,320,3.6385197319998497,3.6339916419999554,0.4312911479999002,0.0033225479999146046,0.526192,12681,10,10,0.8726779962499653
13,0.14590975039831616,,,,0.0016650627367198467,0.021051710471510887,,1.1977566480636597,6452400,40,6452400,6452080,320,3.6233545439999943,3.619215178999866,0.3914839059998485,0.0029499970000870235,0.526192,12681,10,10,0.8726779962499653
14,0.14035518956698742,,,,0.0016267728060483932,0.02054509148001671,,1.1964200735092163,6452400,40,6452400,6452080,320,3.8189130900000237,3.8141038039996147,0.43590270300001066,0.003497895000009521,0.526192,12681,10,10,0.8726779962499653
15,0.1404895877536957,0.10039833232540704,0.9652459016393443,0.9112227805695142,0.0016673995414748788,0.021038809791207314,0.02652777777777778,1.206490159034729,6452400,40,6452400,6452080,320,3.6651592329999403,3.6610135420005463,0.4519734169998628,0.003096534000178508,0.526192,12681,10,10,0.8726779962499653
16,0.1381008722683787,,,,0.0017157073598355055,0.02162412740290165,,1.147788166999817,6452400,40,6452400,6452080,320,3.4870125360000657,3.4826173909996214,0.4190781509998942,0.0032082230000014533,0.526192,12681,10,10,0.8726779962499653
17,0.13998129524393288,,,,0.001709925476461649,0.021544495597481728,,1.231163501739502,6452400,40,6452400,6452080,320,3.7141255160001947,3.710033287000442,0.5017378680001912,0.0030125420000786107,0.526192,12681,10,10,0.8726779962499653
18,0.12941841525284672,,,,0.0017673596739768982,0.02223232388496399,,1.2094203233718872,6452400,40,6452400,6452080,320,3.4076497240000663,3.403812496000228,0.3996006560000751,0.0028267720001622365,0.526192,12681,10,10,0.8726779962499653
19,0.12067397989698189,,,,0.001776697812601924,0.02232191525399685,,1.316758632659912,6452400,40,6452400,6452080,320,3.601993954000136,3.597585997999886,0.41555656699983956,0.0032842839998465934,0.526192,12681,10,10,0.8726779962499653
20,0.12242715684509056,0.08198460247006206,0.9740983606557377,0.93476465730801,0.0018024990567937493,0.022627614438533783,0.014861111111111111,1.2630436420440674,6452400,40,6452400,6452080,320,3.8150481430000127,3.8104716089997055,0.48154411299992717,0.003376382999931593,0.526192,12681,10,10,0.8726779962499653
21,0.1339598274194131,,,,0.001733031589537859,0.021735412999987602,,1.2911913394927979,6452400,40,6452400,6452080,320,3.857387185000107,3.8527585440003804,0.45855045899998004,0.0033299249998890446,0.526192,12681,10,10,0.8726779962499653
22,0.12190144058969983,,,,0.001732556731440127,0.02171621471643448,,1.2564703226089478,6452400,40,6452400,6452080,320,3.5919256309998673,3.587577024999746,0.42159245099992404,0.0032106280000334664,0.526192,12681,10,10,0.8726779962499653
23,0.12819855397046387,,,,0.0017425125697627664,0.021820321679115295,,1.3035084009170532,6452400,40,6452400,6452080,320,3.565569260000075,3.5615179839994653,0.41916048200005207,0.002944639000133975,0.526192,12681,10,10,0.8726779962499653
24,0.11128489891111146,,,,0.0018350851023569703,0.02295863814651966,,1.1962754726409912,6452400,40,6452400,6452080,320,3.537532134999992,3.5334780660000433,0.4221235270001671,0.002949124999986452,0.526192,12681,10,10,0.8726779962499653
25,0.11453594231691042,0.08729092401019374,0.9701639344262295,0.9242298084929226,0.0018265964463353157,0.022829735651612282,0.025,1.2957874536514282,6452400,40,6452400,6452080,320,3.530704906999972,3.5263753649999217,0.4191323239999747,0.003143924000141851,0.526192,12681,10,10,0.8726779962499653
26,0.10638509578395568,,,,0.0018573810812085867,0.0231898445636034,,1.2660393714904785,6452400,40,6452400,6452080,320,3.8261623490000147,3.8216174070003035,0.4270805690000543,0.003274600999930044,0.526192,12681,10,10,0.8726779962499653
27,0.10626086771869207,,,,0.0018477243138477206,0.02304466813802719,,1.280306339263916,6452400,40,6452400,6452080,320,3.85092500199994,3.8461094079998475,0.45143571099993096,0.0032681920001778053,0.526192,12681,10,10,0.8726779962499653
28,0.10911253091562667,,,,0.001872581196948886,0.023332230746746063,,1.2778815031051636,6452400,40,6452400,6452080,320,3.731770052999991,3.7273416789996645,0.4151620070001627,0.0032129510000231676,0.526192,12681,10,10,0.8726779962499653
29,0.10743559917079257,,,,0.0019192995969206095,0.02390354871749878,,1.2583826780319214,6452400,40,6452400,6452080,320,3.6755569289998675,3.6711993770006757,0.4183549290000883,0.0031953760001215414,0.526192,12681,10,10,0.8726779962499653
30,0.09951087722166424,0.07543185624376876,0.9754098360655737,0.9372384937238494,0.0018929402576759458,0.023546434938907623,0.014027777777777778,1.3457168340682983,6452400,40,6452400,6452080,320,3.652097507999997,3.647764804999724,0.45190292299980683,0.0031141810000008263,0.526192,12681,10,10,0.8726779962499653
31,0.10655297779591033,,,,0.0019078439800068736,0.023703742772340775,,1.2171770334243774,6452400,40,6452400,6452080,320,3.606098174999943,3.597541325000293,0.4473474940000415,0.002861510000002454,0.526192,12681,10,10,0.8726779962499653
32,0.09222775467755953,,,,0.0019443625351414084,0.02412625588476658,,1.32093346118927,6452400,40,6452400,6452080,320,3.7293204509999214,3.7249389380001503,0.44165478800005076,0.0031598500002019136,0.526192,12681,10,10,0.8726779962499653
33,0.10565821110469198,,,,0.002013804391026497,0.024966485798358917,,1.4045008420944214,6452400,40,6452400,6452080,320,3.658775255000137,3.6547772010001154,0.40435099899991656,0.0029325230000267766,0.526192,12681,10,10,0.8726779962499653
34,0.09553618818373913,,,,0.0019233303610235453,0.02381979115307331,,1.3086323738098145,6452400,40,6452400,6452080,320,3.4335931699999946,3.429207353000038,0.40512052799999765,0.003253541000049154,0.526192,12681,10,10,0.8726779962499653
35,0.09865220684454247,0.08132274230380007,0.9685245901639344,0.9232,0.0019330702489241958,0.023920990526676178,0.01597222222222222,1.2970083951950073,6452400,40,6452400,6452080,320,3.6866912489999777,3.6821629399998983,0.42083359200000814,0.0032902269999794953,0.526192,12681,10,10,0.8726779962499653
36,0.10394951322356308,,,,0.0019279982661828399,0.023832472041249275,,1.360010027885437,6452400,40,6452400,6452080,320,3.63138859899982,3.6269381649997285,0.43737104299998464,0.0032826189999468625,0.526192,12681,10,10,0.8726779962499653
37,0.09227065999099268,,,,0.0019870104733854532,0.024544240906834602,,1.3231264352798462,6452400,40,6452400,6452080,320,3.7479519779999464,3.74346841400029,0.43626435000010133,0.0032347710000522056,0.526192,12681,10,10,0.8726779962499653
38,0.09138235033379077,,,,0.002011053031310439,0.024816133081912994,,1.3820663690567017,6452400,40,6452400,6452080,320,3.7193756720000692,3.7152550729999803,0.44416480299992145,0.003038234000086959,0.526192,12681,10,10,0.8726779962499653
39,0.08208614569914865,,,,0.00202303659170866,0.02492356300354004,,1.31563138961792,6452400,40,6452400,6452080,320,3.539586436000036,3.5352107220001017,0.394370538999965,0.0032144689998858667,0.526192,12681,10,10,0.8726779962499653
40,0.09181594058420103,0.07234585168145125,0.9724590163934427,0.9328,0.00198071775957942,0.02439374290406704,0.021805555555555557,1.2820913791656494,6452400,40,6452400,6452080,320,3.8057967859999735,3.801381892000336,0.44448600200007604,0.003172124000002441,0.526192,12681,10,10,0.8726779962499653
41,0.08804245796433628,,,,0.002041064901277423,0.025105342268943787,,1.3237055540084839,6452400,40,6452400,6452080,320,3.7763721989999794,3.772306221000008,0.43690631100002975,0.002903228999912244,0.526192,12681,10,10,0.8726779962499653
42,0.0902667058392152,,,,0.002033937955275178,0.02500542439520359,,1.4024871587753296,6452400,40,6452400,6452080,320,3.562139725999941,3.5577028749994497,0.4446887599999627,0.0032075229999009025,0.526192,12681,10,10,0.8726779962499653
43,0.08898936465539145,,,,0.0020675037521868944,0.0253832396119833,,1.3520658016204834,6452400,40,6452400,6452080,320,3.9960787259999506,3.9920685570000387,0.460173278999946,0.002902615000039077,0.526192,12681,10,10,0.8726779962499653
44,0.08607722394085283,,,,0.002096017589792609,0.025710705667734146,,1.4445217847824097,6452400,40,6452400,6452080,320,3.7538913410000987,3.7494815799998378,0.42705666000006204,0.0032160709999971004,0.526192,12681,10,10,0.8726779962499653
45,0.08948907264691898,0.0757881570385428,0.9675409836065574,0.9225957779515246,0.002127259038388729,0.026067331433296204,0.018333333333333333,1.4275556802749634,6452400,40,6452400,6452080,320,3.7070686050001314,3.702655300000515,0.4476014680001299,0.003187981000110085,0.526192,12681,10,10,0.8726779962499653
46,0.08387200962410862,,,,0.0021368127781897783,0.026158040389418602,,1.3919289112091064,6452400,40,6452400,6452080,320,3.867167863000077,3.862810024000055,0.44270904399991196,0.0031839949999721284,0.526192,12681,10,10,0.8726779962499653
47,0.08339312724458373,,,,0.0021593633573502302,0.026401590555906296,,1.4462958574295044,6452400,40,6452400,6452080,320,3.856820639000034,3.8524303589999818,0.4801326970000446,0.003105801999936375,0.526192,12681,10,10,0.8726779962499653
48,0.08074086306998648,,,,0.002149115316569805,0.026251668110489845,,1.405179738998413,6452400,40,6452400,6452080,320,3.7191279870000926,3.714740456999607,0.44534025500001917,0.003231588000062402,0.526192,12681,10,10,0.8726779962499653
49,0.08375717355689719,,,,0.0021771667525172234,0.026568787172436714,,1.3601528406143188,6452400,40,6452400,6452080,320,3.712179608000042,3.7077894929998365,0.4408223469999939,0.0032253599999876315,0.526192,12681,10,10,0.8726779962499653
50,0.08217957220853678,0.07802957052141885,0.9691803278688524,0.9262166405023547,0.0021676975302398205,0.02643943578004837,0.01888888888888889,1.427602767944336,6452400,40,6452400,6452080,320,3.7471643080000376,3.742379864999748,0.4581880859998364,0.0034698970000590634,0.526192,12681,10,10,0.8726779962499653
