epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,0.0004329984949436039,0.005590871907770634,,0.7479423880577087,6452400,40,6452400,6452080,320,3.9311159720000433,3.925523295000403,0.4546354099998098,0.004274670000086189,0.526192,12434,10,10,0.8726779962499653
2,0.41603842107789635,,,,0.0007742856978438795,0.009972239844501019,,0.9892710447311401,6452400,40,6452400,6452080,320,3.9219189460000052,3.9175858349999544,0.466115802999866,0.003189109999766515,0.526192,12434,10,10,0.8726779962499653
3,0.2836740696266663,,,,0.000841439061332494,0.010811041109263897,,1.125491738319397,6452400,40,6452400,6452080,320,3.93091417200003,3.9265261469990946,0.48797070499995243,0.003214772000319499,0.526192,12434,10,10,0.8726779962499653
4,0.2565282981373125,,,,0.000982033321633935,0.01260839868336916,,1.2023260593414307,6452400,40,6452400,6452080,320,3.7844364550001046,3.780052495000291,0.44950950800011924,0.003277436000189482,0.526192,12434,10,10,0.8726779962499653
5,0.23445921472218903,0.231852594490059,0.8983924780103124,0.7429009976976209,0.0011226386995986104,0.014386416412889957,0.052222222222222225,1.0952792167663574,6452400,40,6452400,6452080,320,3.825009307000073,3.8203958349995446,0.4666262419996201,0.0034347880000495934,0.526192,12434,10,10,0.8726779962499653
6,0.22169714291905313,,,,0.0012656302424147725,0.016188565641641617,,1.1743043661117554,6452400,40,6452400,6452080,320,3.8248320010002317,3.820320998000625,0.4766764589999184,0.0033941279998543905,0.526192,12434,10,10,0.8726779962499653
7,0.19544363790110414,,,,0.001364035066217184,0.01740306057035923,,1.3070828914642334,6452400,40,6452400,6452080,320,3.930267092000122,3.924948420000419,0.46168105900005685,0.003935439000088081,0.526192,12434,10,10,0.8726779962499653
8,0.1823816241009764,,,,0.0014803378144279122,0.018839674070477486,,1.2473949193954468,6452400,40,6452400,6452080,320,3.8819207679998726,3.877543394999975,0.4698546509998778,0.0032432420002805884,0.526192,12434,10,10,0.8726779962499653
9,0.16970489865059038,,,,0.0015498979482799768,0.01967526786029339,,1.258164644241333,6452400,40,6452400,6452080,320,3.9378323400001136,3.9336162909999075,0.4792746719999741,0.003180390000125044,0.526192,12434,10,10,0.8726779962499653
10,0.16276174046285474,0.15537938206914523,0.9408553230209281,0.8456057007125891,0.0015882975421845913,0.020127417519688606,0.02236111111111111,1.3050957918167114,6452400,40,6452400,6452080,320,3.9473468330002106,3.942972316000123,0.5000158369998644,0.0032366860000365705,0.526192,12434,10,10,0.8726779962499653
11,0.15056268365965605,,,,0.0016014159191399813,0.02026069536805153,,1.3460928201675415,6452400,40,6452400,6452080,320,3.922807224999815,3.9183994489994802,0.4782353979999243,0.003238727999814728,0.526192,12434,10,10,0.8726779962499653
12,0.14028996037644503,,,,0.00159747083671391,0.020189441740512848,,1.2585170269012451,6452400,40,6452400,6452080,320,3.975555945999986,3.9710117570002694,0.4676066960000753,0.003413375000036467,0.526192,12434,10,10,0.8726779962499653
13,0.14637263527044148,,,,0.0015866691246628761,0.020032363012433052,,1.291709303855896,6452400,40,6452400,6452080,320,3.916697720999764,3.912104964000264,0.4710336699999971,0.003408015000331943,0.526192,12434,10,10,0.8726779962499653
