epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.0006287581636570394,0.00811542384326458,,0.812056839466095,6452400,40,6452400,6452080,320,4.025973225000598,4.02053097299995,0.5058291409995945,0.004072712000379397,0.526192,12690,10,10,0.8726779962499653
2,0.3815498737127272,,,,0.0010499355848878622,0.013509484939277172,,1.0036871433258057,6452400,40,6452400,6452080,320,3.694604227000127,3.690065111999502,0.41958562399941,0.0033523089996378985,0.526192,12690,10,10,0.8726779962499653
3,0.29684008677814433,,,,0.0011695816647261381,0.015038431622087955,,0.9670137166976929,6452400,40,6452400,6452080,320,3.6964960700006486,3.6922115639990807,0.4232624529995519,0.003184850999787159,0.526192,12690,10,10,0.8726779962499653
4,0.24959951037004524,,,,0.001409723423421383,0.018094440922141075,,1.0940419435501099,6452400,40,6452400,6452080,320,3.605702783000197,3.6012574469996252,0.4427557400003934,0.003318537999803084,0.526192,12690,10,10,0.8726779962499653
5,0.2285371330105082,0.1972369591294191,0.9197632357777047,0.7631067961165049,0.0016003784257918596,0.020509298890829086,0.02861111111111111,1.0877479314804077,6452400,40,6452400,6452080,320,4.00977641100053,4.004835875000026,0.45716994299982616,0.0036053900003025774,0.526192,12690,10,10,0.8726779962499653
6,0.21185034161261312,,,,0.001752020907588303,0.02240622602403164,,1.1570074558258057,6452400,40,6452400,6452080,320,3.8939311579997593,3.8896460329997353,0.49134290700021666,0.0032236709994322155,0.526192,12690,10,10,0.8726779962499653
7,0.19626457923742707,,,,0.0017913465853780508,0.02286398969590664,,1.1977201700210571,6452400,40,6452400,6452080,320,3.892777312000362,3.88830996499928,0.4813045629998669,0.0033150170002045343,0.526192,12690,10,10,0.8726779962499653
8,0.17003732547101508,,,,0.0018057192210108042,0.023004738613963127,,1.2839064598083496,6452400,40,6452400,6452080,320,3.8702454399999624,3.865767918000529,0.4624302729998817,0.003331863000312296,0.526192,12690,10,10,0.8726779962499653
9,0.15786608020638665,,,,0.0017420037183910608,0.022165298461914062,,1.11075758934021,6452400,40,6452400,6452080,320,3.901641013999324,3.8973443039985796,0.4459734669999307,0.0031694929994046106,0.526192,12690,10,10,0.8726779962499653
10,0.14774091603626743,0.13514589027417037,0.9454126931930286,0.8493647912885662,0.0017202080925926566,0.02185634709894657,0.028333333333333332,1.1527715921401978,6452400,40,6452400,6452080,320,4.014111710000179,4.009686920000604,0.4837823300003947,0.003240576000280271,0.526192,12690,10,10,0.8726779962499653
11,0.1497424119848674,,,,0.00173130352050066,0.02197173796594143,,1.1919238567352295,6452400,40,6452400,6452080,320,3.7298328829992897,3.725503840998499,0.4863535350004895,0.0031433750000360305,0.526192,12690,10,10,0.8726779962499653
12,0.14865434223984494,,,,0.0017313089920207858,0.021955130621790886,,1.2537873983383179,6452400,40,6452400,6452080,320,3.7377706110000872,3.733295987999554,0.45281677299954026,0.0033473760004198994,0.526192,12690,10,10,0.8726779962499653
13,0.1396640958776926,,,,0.0017011892050504684,0.02155313640832901,,1.1003128290176392,6452400,40,6452400,6452080,320,3.712275519999821,3.7079741050019948,0.4506239809998078,0.003171199999997043,0.526192,12690,10,10,0.8726779962499653
14,0.13009039294342753,,,,0.0016992449527606368,0.02151021733880043,,1.2502140998840332,6452400,40,6452400,6452080,320,3.790473760999703,3.786300575000496,0.48162390400011645,0.0030807390003246837,0.526192,12690,10,10,0.8726779962499653
15,0.13107209081831891,0.09744081779527937,0.964156527458073,0.908939014202172,0.0017103466670960188,0.021631263196468353,0.018055555555555554,1.0987004041671753,6452400,40,6452400,6452080,320,3.65779181400012,3.6535665620003783,0.46486801199989713,0.003186849000485381,0.526192,12690,10,10,0.8726779962499653
16,0.1262694781430514,,,,0.0017374036833643913,0.021943537518382072,,1.253996729850769,6452400,40,6452400,6452080,320,3.6919496589998744,3.6873182189992804,0.43845790999966994,0.003373874999851978,0.526192,12690,10,10,0.8726779962499653
17,0.1365940576972157,,,,0.0017329680267721415,0.021879538893699646,,1.2421913146972656,6452400,40,6452400,6452080,320,3.8375731380001525,3.8334683439998116,0.48416303300018626,0.003069028000027174,0.526192,12690,10,10,0.8726779962499653
18,0.11767479989831153,,,,0.001782289706170559,0.02247457765042782,,1.2476142644882202,6452400,40,6452400,6452080,320,4.029093660000399,4.023578160999023,0.4867826749996311,0.003858576999846264,0.526192,12690,10,10,0.8726779962499653
19,0.12193888861200844,,,,0.0017877953359857202,0.022518180310726166,,1.299911379814148,6452400,40,6452400,6452080,320,4.013439772000311,4.008945777999543,0.48797273600030167,0.003306386999611277,0.526192,12690,10,10,0.8726779962499653
20,0.12184490152769407,0.09847165388612628,0.9592239394935876,0.8957983193277311,0.0017866285052150488,0.022481201216578484,0.022916666666666665,1.2008686065673828,6452400,40,6452400,6452080,320,3.8563602410004023,3.851768718999665,0.4787056779996419,0.0033786979993237765,0.526192,12690,10,10,0.8726779962499653
21,0.12572638072297534,,,,0.0018088946817442775,0.022747157141566277,,1.16647207736969,5807192,38,5807192,5806872,320,4.087244979999923,4.082687317999444,0.47957147099987196,0.003352981999341864,0.526192,12690,9,10,0.9673710108634357
22,0.11693234399220016,,,,0.0018062629969790578,0.022687967866659164,,1.2006453275680542,6452400,40,6452400,6452080,320,3.968520389000332,3.9639564860017344,0.48721343700071884,0.003373636000105762,0.526192,12690,10,10,0.8726779962499653
23,0.12397866020360312,,,,0.0018868796760216355,0.023685410618782043,,1.2193247079849243,6452400,40,6452400,6452080,320,3.8756751600003554,3.8711470979988007,0.47507900199980213,0.003266779999648861,0.526192,12690,10,10,0.8726779962499653
24,0.10738126572222143,,,,0.0018279486102983356,0.022919245064258575,,1.2770421504974365,6452400,40,6452400,6452080,320,3.79965612199976,3.793933477999417,0.4582184069995492,0.004108215000087512,0.526192,12690,10,10,0.8726779962499653
