split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1244,29,10,238,0.9743589743589743,0.8913857677902621,0.9596774193548387,0.9242718446601942,0.022780832678711706,0.9684482933380636,1521,248,0.5,0.996832475990168,0.985252130484809,0.019389388399335416,0.0629153835182303
train,fixed,1,1055,11,14,234,0.9809741248097412,0.9551020408163265,0.9435483870967742,0.949290060851927,0.010318949343339587,0.9666147188767173,1314,248,0.5,0.9973559583610724,0.9903294792533159,0.015841103146609758,0.05646356376079824
train,fixed,2,1009,18,19,229,0.9709803921568627,0.9271255060728745,0.9233870967741935,0.9252525252525252,0.017526777020447908,0.9529301598768728,1275,248,0.5,0.9960737506674624,0.9853108395110064,0.01989238915827419,0.06487883150012104
train,fixed,3,824,17,14,234,0.9715335169880625,0.9322709163346613,0.9435483870967742,0.9378757515030061,0.020214030915576695,0.9616671780905988,1089,248,0.5,0.9963081584902764,0.9878614432638161,0.02091840016742869,0.07073306748987364
train,fixed,4,895,20,11,237,0.9733447979363714,0.9221789883268483,0.9556451612903226,0.9386138613861386,0.02185792349726776,0.9668936188965274,1163,248,0.5,0.9964128327163758,0.9883652465395689,0.020535584932310894,0.0659874596874794
train,fixed,5,885,3,21,227,0.9788732394366197,0.9869565217391304,0.9153225806451613,0.9497907949790795,0.0033783783783783786,0.9559721011333915,1136,248,0.5,0.9983789232781168,0.9946271429808321,0.016489998233324282,0.05701650131008852
train,fixed,6,844,16,29,219,0.9593862815884476,0.9319148936170213,0.8830645161290323,0.906832298136646,0.018604651162790697,0.9322299324831207,1108,248,0.5,0.9897364966241561,0.9727442806681745,0.03052743906516347,0.10874410521284592
train,fixed,7,1113,2,14,234,0.9882611885546588,0.9915254237288136,0.9435483870967742,0.9669421487603306,0.0017937219730941704,0.9708773325618401,1363,248,0.5,0.9985679155214813,0.9943170220685769,0.014511273048677026,0.05324327199561754
train,fixed,8,1028,11,21,227,0.9751359751359752,0.9537815126050421,0.9153225806451613,0.934156378600823,0.010587102983638113,0.9523677388307616,1287,248,0.5,0.9975550312024589,0.9900826146513859,0.016597446333434622,0.05494893062858603
train,fixed,9,1177,9,12,236,0.9853556485355649,0.963265306122449,0.9516129032258065,0.9574036511156186,0.007588532883642495,0.972012185171082,1434,248,0.5,0.9990038350650057,0.9953754146222556,0.01123223527094365,0.04301067495263262
train,val_f1,0,1216,57,4,244,0.9598948060486522,0.8106312292358804,0.9838709677419355,0.8888888888888888,0.04477611940298507,0.9695474241694753,1521,248,0.27,0.996832475990168,0.985252130484809,0.019389388399335416,0.0629153835182303
train,val_f1,1,1029,37,6,242,0.967275494672755,0.8673835125448028,0.9758064516129032,0.9184060721062619,0.03470919324577861,0.9705486291835623,1314,248,0.27,0.9973559583610724,0.9903294792533159,0.015841103146609758,0.05646356376079824
train,val_f1,2,996,31,9,239,0.9686274509803922,0.8851851851851852,0.9637096774193549,0.9227799227799228,0.03018500486854917,0.9667623362754029,1275,248,0.27,0.9960737506674624,0.9853108395110064,0.01989238915827419,0.06487883150012104
train,val_f1,3,809,32,4,244,0.9669421487603306,0.8840579710144928,0.9838709677419355,0.9312977099236641,0.03804994054696789,0.9729105135974838,1089,248,0.27,0.9963081584902764,0.9878614432638161,0.02091840016742869,0.07073306748987364
train,val_f1,4,874,41,8,240,0.9578675838349097,0.8540925266903915,0.967741935483871,0.9073724007561437,0.04480874316939891,0.9614665961572361,1163,248,0.27,0.9964128327163758,0.9883652465395689,0.020535584932310894,0.0659874596874794
