split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,838,45,1,247,0.9593280282935456,0.8458904109589042,0.9959677419354839,0.9148148148148149,0.05096262740656852,0.9725025572644577,1131,248,0.5,0.9984656413253936,0.9949473162055965,0.026685774837831373,0.08447711038141435
train,fixed,1,1149,11,7,241,0.9872159090909091,0.9563492063492064,0.9717741935483871,0.964,0.009482758620689655,0.9811457174638487,1408,248,0.5,0.9990545050055618,0.9959000664191441,0.01056193700221737,0.03933039556842056
train,fixed,2,1024,65,4,244,0.9483919222139118,0.7896440129449838,0.9838709677419355,0.8761220825852782,0.05968778696051423,0.9620915903907106,1337,248,0.5,0.9962565538078735,0.9858206810868386,0.03615502785121734,0.11240195520471961
train,fixed,3,952,47,4,244,0.9591018444266239,0.8384879725085911,0.9838709677419355,0.9053803339517625,0.04704704704704705,0.9684119603474441,1247,248,0.5,0.9964359520811134,0.9866427738094972,0.029772340419803943,0.0956794349602646
train,fixed,4,884,49,0,248,0.9585097375105842,0.835016835016835,1.0,0.9100917431192661,0.05251875669882101,0.9737406216505895,1181,248,0.5,0.9986429485184801,0.9952140444804767,0.03137777705039775,0.10227235452698487
train,fixed,5,789,46,0,248,0.9575253924284395,0.8435374149659864,1.0,0.915129151291513,0.055089820359281436,0.9724550898203592,1083,248,0.5,0.9990631639945915,0.9968367050507274,0.031192673137244834,0.09952902834491235
train,fixed,6,903,40,0,248,0.966414777497901,0.8611111111111112,1.0,0.9253731343283582,0.042417815482502653,0.9787910922587486,1191,248,0.5,0.9983879519720864,0.9940368861058778,0.023444150620128203,0.07715448614388394
train,fixed,7,908,43,0,248,0.9641367806505421,0.852233676975945,1.0,0.9202226345083488,0.0452155625657203,0.9773922187171398,1199,248,0.5,0.9988679149282589,0.9957569902757866,0.027740678897640855,0.09263324009058778
train,fixed,8,1046,91,0,248,0.9342960288808664,0.7315634218289085,1.0,0.8449744463373083,0.08003518029903255,0.9599824098504837,1385,248,0.5,0.9968507958124095,0.9859713861703612,0.04479331189347865,0.14284628878810085
train,fixed,9,1220,51,11,237,0.9591836734693877,0.8229166666666666,0.9556451612903226,0.8843283582089553,0.04012588512981904,0.9577596380802518,1519,248,0.5,0.9950001269003326,0.9765550030057732,0.02641979716262863,0.085796449975298
