split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,986,43,2,246,0.9647611589663273,0.8512110726643599,0.9919354838709677,0.9162011173184358,0.04178814382896016,0.9750736700210039,1277,248,0.5,0.9963752782218878,0.9857986286807292,0.027042767704045217,0.08664621481056463
train,fixed,1,838,36,9,239,0.9598930481283422,0.8690909090909091,0.9637096774193549,0.9139579349904398,0.041189931350114416,0.9612598730346202,1122,248,0.5,0.9958524027459954,0.9867054599341373,0.027132915057012402,0.08345170919552271
train,fixed,2,858,16,8,240,0.9786096256684492,0.9375,0.967741935483871,0.9523809523809523,0.018306636155606407,0.9747176496641323,1122,248,0.5,0.998412932752639,0.9948326588993671,0.014583958566885479,0.05145195416504715
train,fixed,3,1236,39,2,246,0.9730794484569928,0.8631578947368421,0.9919354838709677,0.9230769230769231,0.03058823529411765,0.9806736242884251,1523,248,0.5,0.9989816571790007,0.9948340925290236,0.01697086422706354,0.0561629758716254
train,fixed,4,991,19,0,248,0.9848966613672496,0.9288389513108615,1.0,0.9631067961165048,0.01881188118811881,0.9905940594059406,1258,248,0.5,0.9990418396678378,0.9960331414948778,0.012738646202281658,0.045044514647743374
train,fixed,5,856,42,5,243,0.9589877835951134,0.8526315789473684,0.9798387096774194,0.9118198874296435,0.0467706013363029,0.9665340541705583,1146,248,0.5,0.9964931029527984,0.9886198644348405,0.030632954738343068,0.10095120717644251
train,fixed,6,951,53,1,247,0.9568690095846646,0.8233333333333334,0.9959677419354839,0.9014598540145985,0.052788844621513946,0.9715894486569849,1252,248,0.5,0.9984055712633338,0.9939760197523746,0.029005307711908727,0.08958677729192246
train,fixed,7,959,73,4,244,0.93984375,0.7697160883280757,0.9838709677419355,0.863716814159292,0.07073643410852713,0.9565672668167042,1280,248,0.5,0.9918338959739935,0.9668832822666207,0.046191486643037745,0.16638622848610127
train,fixed,8,965,16,4,244,0.983726606997559,0.9384615384615385,0.9838709677419355,0.9606299212598425,0.0163098878695209,0.9837805399362073,1229,248,0.5,0.99890664562165,0.9957809691417814,0.01271318343185117,0.04475390996640468
train,fixed,9,917,60,1,247,0.950204081632653,0.8045602605863192,0.9959677419354839,0.8900900900900901,0.06141248720573183,0.967277627364876,1225,248,0.5,0.99633093406412,0.98679212106592,0.04090154790332572,0.13772334476254192
train,val_f1,0,1007,22,21,227,0.966327329678935,0.9116465863453815,0.9153225806451613,0.9134808853118712,0.021379980563654033,0.9469713000407536,1277,248,0.8,0.9963752782218878,0.9857986286807292,0.027042767704045217,0.08664621481056463
train,val_f1,1,858,16,22,226,0.966131907308378,0.9338842975206612,0.9112903225806451,0.9224489795918367,0.018306636155606407,0.9464918432125193,1122,248,0.8,0.9958524027459954,0.9867054599341373,0.027132915057012402,0.08345170919552271
train,val_f1,2,872,2,23,225,0.9777183600713012,0.9911894273127754,0.907258064516129,0.9473684210526315,0.002288329519450801,0.952484867498339,1122,248,0.8,0.998412932752639,0.9948326588993671,0.014583958566885479,0.05145195416504715
train,val_f1,3,1270,5,8,240,0.9914642153644123,0.9795918367346939,0.967741935483871,0.973630831643002,0.00392156862745098,0.98191018342821,1523,248,0.8,0.9989816571790007,0.9948340925290236,0.01697086422706354,0.0561629758716254
train,val_f1,4,1001,9,12,236,0.9833068362480127,0.963265306122449,0.9516129032258065,0.9574036511156186,0.00891089108910891,0.9713510060683488,1258,248,0.8,0.9990418396678378,0.9960331414948778,0.012738646202281658,0.045044514647743374
train,val_f1,5,875,23,8,240,0.9729493891797557,0.9125475285171103,0.967741935483871,0.9393346379647749,0.025612472160356347,0.9710647316617573,1146,248,0.8,0.9964931029527984,0.9886198644348405,0.030632954738343068,0.10095120717644251
train,val_f1,6,982,22,6,242,0.9776357827476039,0.9166666666666666,0.9758064516129032,0.9453125,0.021912350597609563,0.9769470505076469,1252,248,0.8,0.9984055712633338,0.9939760197523746,0.029005307711908727,0.08958677729192246
train,val_f1,7,987,45,10,238,0.95703125,0.8409893992932862,0.9596774193548387,0.896421845574388,0.0436046511627907,0.958036384096024,1280,248,0.8,0.9918338959739935,0.9668832822666207,0.046191486643037745,0.16638622848610127
train,val_f1,8,978,3,25,223,0.9772172497965825,0.9867256637168141,0.8991935483870968,0.9409282700421941,0.0030581039755351682,0.9480677222057807,1229,248,0.8,0.99890664562165,0.9957809691417814,0.01271318343185117,0.04475390996640468
train,val_f1,9,938,39,9,239,0.9608163265306122,0.8597122302158273,0.9637096774193549,0.908745247148289,0.03991811668372569,0.9618957803678145,1225,248,0.8,0.99633093406412,0.98679212106592,0.04090154790332572,0.13772334476254192
