epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.9954882556385101,,,,0.0010815082350745797,0.013958546333014965,,1.220396637916565,6452400,40,6452400,6452080,320,3.926747522000369,3.9220112320017506,0.5194381450000947,0.0034623290002855356,0.526192,12690,10,10,0.8726779962499653
2,0.6357373316146258,,,,0.0013563934480771422,0.017439305782318115,,1.0490007400512695,6452400,40,6452400,6452080,320,3.5891142420005053,3.5849073460003638,0.40539296200040553,0.0030790900000283727,0.526192,12690,10,10,0.8726779962499653
3,0.6100666110868425,,,,0.001546891639009118,0.019891057163476944,,1.185617446899414,6452400,40,6452400,6452080,320,3.6983589229994323,3.6939448789999005,0.41144212700055505,0.0032746500000939704,0.526192,12690,10,10,0.8726779962499653
4,0.47388542918787113,,,,0.001799552934244275,0.023083103820681572,,1.1872315406799316,6452400,40,6452400,6452080,320,3.7956904699994993,3.791276112999185,0.4548130969997146,0.0033037929997590254,0.526192,12690,10,10,0.8726779962499653
5,0.45998550869481347,0.1685300445004235,0.9358763564616902,0.8456057007125891,0.0019367021741345525,0.024799441918730736,0.042083333333333334,1.3885425329208374,6452400,40,6452400,6452080,320,3.8998128930006715,3.895329785001195,0.47668800500014186,0.0033635240006333333,0.526192,12690,10,10,0.8726779962499653
6,0.40796752839782996,,,,0.0020037018693983555,0.02558569237589836,,1.3211987018585205,6452400,40,6452400,6452080,320,3.8017083109998566,3.797226506001607,0.4681444730003932,0.003309007000098063,0.526192,12690,10,10,0.8726779962499653
7,0.3589175414801589,,,,0.001980280503630638,0.025234775617718697,,1.1673405170440674,6452400,40,6452400,6452080,320,3.708667443000195,3.7045639529987966,0.4479300189996138,0.0030222060004234663,0.526192,12690,10,10,0.8726779962499653
8,0.35349739661537777,,,,0.0019241153495386243,0.02447592467069626,,1.33250093460083,6452400,40,6452400,6452080,320,3.8450610789996063,3.8404977839963976,0.45583463499951904,0.0033702960008668015,0.526192,12690,10,10,0.8726779962499653
9,0.2977058956459654,,,,0.0019192167092114687,0.02438046596944332,,1.2188016176223755,6452400,40,6452400,6452080,320,3.745816276000369,3.7412963449996823,0.44620075700004236,0.003357614999913494,0.526192,12690,10,10,0.8726779962499653
10,0.2911076240044079,0.11343409175296142,0.9539625123314699,0.8931297709923665,0.0018252622103318572,0.023154709488153458,0.02236111111111111,1.300821304321289,6452400,40,6452400,6452080,320,3.71800319400063,3.7136382660009986,0.4594697249995079,0.003214054000636679,0.526192,12690,10,10,0.8726779962499653
11,0.2909935131473425,,,,0.0018500636797398329,0.023456212133169174,,1.2641780376434326,6452400,40,6452400,6452080,320,3.6933801509994737,3.689104076998774,0.45911654599967733,0.003160067999488092,0.526192,12690,10,10,0.8726779962499653
12,0.29103812653737526,,,,0.00174970633815974,0.022161317989230156,,1.1811758279800415,6452400,40,6452400,6452080,320,3.970113544999549,3.9660101930003293,0.4772648990001471,0.0029045519995634095,0.526192,12690,10,10,0.8726779962499653
13,0.28654987969888257,,,,0.001858660951256752,0.02351592667400837,,1.1968674659729004,6452400,40,6452400,6452080,320,4.07993824300047,4.074891987000228,0.5043278269995426,0.00366460300028848,0.526192,12690,10,10,0.8726779962499653
14,0.25486301257749167,,,,0.0018539319280534983,0.02343991957604885,,1.3077257871627808,6452400,40,6452400,6452080,320,3.658438261999436,3.6541062090000196,0.40428887699999905,0.003143275000184076,0.526192,12690,10,10,0.8726779962499653
15,0.26774875240585405,0.0936689037167823,0.964156527458073,0.9154383242823895,0.0018404690781608224,0.02324761636555195,0.019444444444444445,1.2287755012512207,6452400,40,6452400,6452080,320,4.047247642000002,4.036875192998195,0.6200171209993641,0.006092610999985482,0.526192,12690,10,10,0.8726779962499653
16,0.23830075509428078,,,,0.0018168976530432701,0.022922974079847336,,1.2374728918075562,6452400,40,6452400,6452080,320,4.16249015700032,4.157887228999243,0.6507786060001308,0.003321866999613121,0.526192,12690,10,10,0.8726779962499653
17,0.22372297476799888,,,,0.0018881625728681684,0.02379971370100975,,1.2064353227615356,6452400,40,6452400,6452080,320,3.9836036139995485,3.978449974999421,0.48611837399948854,0.0037198479994913214,0.526192,12690,10,10,0.8726779962499653
18,0.23682059815649875,,,,0.0019161469535902143,0.024127935990691185,,1.3530033826828003,6452400,40,6452400,6452080,320,3.802474094999525,3.796711277999748,0.47839311600000656,0.004499918999499641,0.526192,12690,10,10,0.8726779962499653
19,0.23789049799198514,,,,0.0019115917384624481,0.024052251130342484,,1.2601944208145142,6452400,40,6452400,6452080,320,3.8332125080005426,3.8285680639983184,0.45686762200057274,0.0033785129999159835,0.526192,12690,10,10,0.8726779962499653
20,0.2378443395119089,0.09252359341542177,0.9654718842486024,0.9177760375880971,0.0018966395873576403,0.02384171262383461,0.024583333333333332,1.3580979108810425,6452400,40,6452400,6452080,320,4.063735740000084,4.0594921459987745,0.5071146469999803,0.0031430589997398783,0.526192,12690,10,10,0.8726779962499653
21,0.2456342191435541,,,,0.0018889763159677386,0.023730862885713577,,1.2462106943130493,5807192,38,5807192,5806872,320,4.081137149999449,4.07609281600071,0.5174180430003616,0.003775539000343997,0.526192,12690,9,10,0.9673710108634356
22,0.21251564423734007,,,,0.0020017880015075207,0.025120649486780167,,1.1360008716583252,5807192,38,5807192,5806872,320,4.038761038999837,4.033764395000617,0.48086171700015257,0.0036741509993589716,0.526192,12690,9,10,0.9673710108634356
23,0.2185074070336189,,,,0.0019752548541873693,0.02476118505001068,,1.4323339462280273,6452400,40,6452400,6452080,320,3.7107952159994966,3.70612504699875,0.42702431500038074,0.003395865000129561,0.526192,12690,10,10,0.8726779962499653
24,0.22740526626604973,,,,0.001929130288772285,0.02416926808655262,,1.398320198059082,6452400,40,6452400,6452080,320,3.872636214000522,3.867894910999894,0.4730600789998789,0.0034837330003938405,0.526192,12690,10,10,0.8726779962499653
25,0.20328537969645533,0.08906530534026169,0.96514304505097,0.9165354330708662,0.0019229385070502758,0.024061275646090508,0.01638888888888889,1.3628559112548828,6452400,40,6452400,6452080,320,3.9318427960006375,3.92735366099987,0.4643735950003247,0.003321483000036096,0.526192,12690,10,10,0.8726779962499653
26,0.21579711522245598,,,,0.001945034833624959,0.024331843480467796,,1.3342581987380981,6452400,40,6452400,6452080,320,3.90039487499962,3.895707828999548,0.5208805189995473,0.003501395000057528,0.526192,12690,10,10,0.8726779962499653
27,0.20285911957456104,,,,0.0018777899676933885,0.023457415401935577,,1.292124629020691,6452400,40,6452400,6452080,320,3.9736580910002886,3.9690251070005615,0.4773954020001838,0.0034653849997994257,0.526192,12690,10,10,0.8726779962499653
28,0.169991533422742,,,,0.001981171313673258,0.02471569925546646,,1.3227672576904297,6452400,40,6452400,6452080,320,4.029073405999952,4.023939386997881,0.4879142720001255,0.0033257810000577592,0.526192,12690,10,10,0.8726779962499653
29,0.2154744533412952,,,,0.0019988061394542456,0.02491905726492405,,1.3109245300292969,6452400,40,6452400,6452080,320,4.006141136999759,4.0019509069989,0.4983616859999529,0.0030272990006778855,0.526192,12690,10,10,0.8726779962499653
30,0.18533639255708526,0.07778026442127046,0.9700756330154554,0.9271417133706965,0.002012793906033039,0.02507980912923813,0.0325,1.3901779651641846,6452400,40,6452400,6452080,320,3.7808445829996344,3.7762932900013766,0.4419402590001482,0.003379783000127645,0.526192,12690,10,10,0.8726779962499653
31,0.21692130540656737,,,,0.0020358224865049124,0.025345109403133392,,1.2485198974609375,6452400,40,6452400,6452080,320,3.8206943069999397,3.815969342002063,0.4571107840001787,0.0034597520007082494,0.526192,12690,10,10,0.8726779962499653
32,0.18694984308328438,,,,0.0020589951891452074,0.025610947981476784,,1.3441697359085083,6452400,40,6452400,6452080,320,3.7308165510003164,3.724965584999154,0.45581700799993996,0.00438721800037456,0.526192,12690,10,10,0.8726779962499653
33,0.20526869260438466,,,,0.002026478061452508,0.025188906118273735,,1.355570912361145,6452400,40,6452400,6452080,320,4.038867561000188,4.034316709999075,0.4732350710000901,0.00329445800070971,0.526192,12690,10,10,0.8726779962499653
34,0.1796080652793208,,,,0.0020704353228211403,0.025704097002744675,,1.3603661060333252,6452400,40,6452400,6452080,320,4.103691698000148,4.098624676000327,0.49245933500060346,0.0038662059996568132,0.526192,12690,10,10,0.8726779962499653
35,0.19281416502846532,0.0837934984646454,0.9658007234462348,0.9183673469387755,0.0020693365950137377,0.025684082880616188,0.022083333333333333,1.4456757307052612,6452400,40,6452400,6452080,320,3.7607977500001653,3.7561145319996285,0.47121409400006087,0.0034136790000047768,0.526192,12690,10,10,0.8726779962499653
36,0.19919740081269116,,,,0.0020208286587148905,0.025051474571228027,,1.3664159774780273,6452400,40,6452400,6452080,320,4.005349389000003,4.000792169998931,0.527031937999709,0.0033393860003343434,0.526192,12690,10,10,0.8726779962499653
37,0.17592681346632125,,,,0.0020579942502081394,0.025496702641248703,,1.3254343271255493,6452400,40,6452400,6452080,320,3.9243891899996015,3.919781970999793,0.48270155400041403,0.0034169820000897744,0.526192,12690,10,10,0.8726779962499653
38,0.18705573217187907,,,,0.0021018730476498604,0.02601977437734604,,1.3793689012527466,6452400,40,6452400,6452080,320,4.015099367000403,4.010140873000637,0.4798468740000317,0.0035345209998922655,0.526192,12690,10,10,0.8726779962499653
39,0.16649140781888377,,,,0.0020949654281139374,0.025898462161421776,,1.4725372791290283,6452400,40,6452400,6452080,320,3.9794060650001484,3.9742618040017987,0.4962104280002677,0.003398621000087587,0.526192,12690,10,10,0.8726779962499653
40,0.19269640654788822,0.08193603015537594,0.96514304505097,0.9187116564417178,0.0021316155325621367,0.02634066715836525,0.01986111111111111,1.4300169944763184,6452400,40,6452400,6452080,320,3.6831286090000503,3.6765922699996736,0.4274839529998644,0.004108830999939528,0.526192,12690,10,10,0.8726779962499653
41,0.17475747370314065,,,,0.002078206744045019,0.0256484504789114,,1.3997554779052734,6452400,40,6452400,6452080,320,3.9310635470001216,3.9255420020008387,0.46201253900017036,0.003704175999700965,0.526192,12690,10,10,0.8726779962499653
42,0.18487698863890706,,,,0.0020594357047230005,0.025407465174794197,,1.3872814178466797,6452400,40,6452400,6452080,320,3.9475067880002825,3.9430885120009407,0.47442305100048543,0.0032920189996730187,0.526192,12690,10,10,0.8726779962499653
43,0.17358399933289595,,,,0.0020833236631006002,0.02567397430539131,,1.448945164680481,6452400,40,6452400,6452080,320,4.000775518999944,3.996069825001541,0.4601015529997312,0.003509572999973898,0.526192,12690,10,10,0.8726779962499653
