epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,1.0584066676549349,,,,0.0008502072305418551,0.01095946878194809,,1.4957289695739746,6452400,40,6452400,6452080,320,4.01347286499913,4.008478751002258,0.49153559600017616,0.003673155999422306,0.526192,12569,10,10,0.8726779962499653
2,0.6930654135247702,,,,0.00124367605894804,0.01595577411353588,,1.2021653652191162,6452400,40,6452400,6452080,320,3.75282929199966,3.7482761290011695,0.4534028460002446,0.0033714330002112547,0.526192,12569,10,10,0.8726779962499653
3,0.6700599516836383,,,,0.0013244227739050984,0.01699703000485897,,1.1141787767410278,6452400,40,6452400,6452080,320,3.7364062540000305,3.731972815003246,0.45509999400019296,0.0032284010012517683,0.526192,12569,10,10,0.8726779962499653
4,0.47436628008715476,,,,0.001532502006739378,0.019621387124061584,,1.3126620054244995,6452400,40,6452400,6452080,320,3.916572662999897,3.91204138500143,0.4696902060004504,0.003359695998369716,0.526192,12569,10,10,0.8726779962499653
5,0.4598720736954315,0.23995828467026029,0.8994307400379506,0.7718794835007173,0.001704231952317059,0.021785927936434746,0.05513888888888889,1.383192539215088,6452400,40,6452400,6452080,320,3.8789354340005957,3.874445827996169,0.481888545999027,0.0032965430000331253,0.526192,12569,10,10,0.8726779962499653
6,0.41753575228587936,,,,0.0017821519868448377,0.022723812609910965,,1.3010343313217163,6452400,40,6452400,6452080,320,3.962368096999853,3.958196499001133,0.5072036299989122,0.0030707260011695325,0.526192,12569,10,10,0.8726779962499653
7,0.3650896580458075,,,,0.0019337813137099147,0.0245966874063015,,1.308847427368164,6452400,40,6452400,6452080,320,3.7777291200000036,3.773521888997493,0.4828271730002598,0.003079180998611264,0.526192,12569,10,10,0.8726779962499653
8,0.32601430600544906,,,,0.0019527977565303445,0.024790294468402863,,1.3956503868103027,6452400,40,6452400,6452080,320,3.607748176000314,3.6027643230027024,0.4603875520006113,0.003214352000213694,0.526192,12569,10,10,0.8726779962499653
9,0.2962761272009772,,,,0.0019012714037671685,0.024103641510009766,,1.3971388339996338,6452400,40,6452400,6452080,320,3.961169186999541,3.956633163994411,0.4923382080014562,0.0033732329993654275,0.526192,12569,10,10,0.8726779962499653
10,0.3014940518595936,0.1623311781355203,0.92662871600253,0.8306569343065694,0.001889572013169527,0.023923205211758614,0.05319444444444445,1.4096970558166504,6452400,40,6452400,6452080,320,3.936785084000803,3.9324171480002406,0.49681514499934565,0.0032223700000031386,0.526192,12569,10,10,0.8726779962499653
11,0.3027179674303456,,,,0.0018439502455294132,0.023334134370088577,,1.2977782487869263,6452400,40,6452400,6452080,320,3.791853426000671,3.787316213001759,0.4657675079997716,0.003391890999409952,0.526192,12569,10,10,0.8726779962499653
12,0.25886972967903804,,,,0.0018319850787520409,0.023145634680986404,,1.3639986515045166,6452400,40,6452400,6452080,320,3.5750222869992285,3.570868064998649,0.4398847940010455,0.003146490000290214,0.526192,12569,10,10,0.8726779962499653
13,0.25462714848259943,,,,0.001845757127739489,0.02330368384718895,,1.446638584136963,6452400,40,6452400,6452080,320,3.7600347799998417,3.7551964369977213,0.5032006200017349,0.0036954179995518643,0.526192,12569,10,10,0.8726779962499653
14,0.2643315565730169,,,,0.0018374277278780937,0.02317630499601364,,1.297805905342102,6452400,40,6452400,6452080,320,4.080248170999766,4.075564656001006,0.49805669099987426,0.003432296998653328,0.526192,12569,10,10,0.8726779962499653
15,0.26132881006566067,0.11626878684596807,0.9554079696394687,0.8890637293469709,0.0018716935301199555,0.023586351424455643,0.02236111111111111,1.3574930429458618,6452400,40,6452400,6452080,320,3.941306265000094,3.9364499389994307,0.5049330470010318,0.0036103029997320846,0.526192,12569,10,10,0.8726779962499653
