epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,0.0005545374588109553,0.007156752049922943,,0.0,6452080,20,5161664,6452080,0,4.175594313999682,4.172581271001036,0.4897134520015243,0.001923783000165713,5.181664,12681,9,10,
2,0.45065848174310486,,,,0.0004983778344467282,0.006419023498892784,,0.0,6452080,20,5484268,6452080,0,4.085225254999386,4.082176576996062,0.49388168399855203,0.0019335609995323466,5.181664,12681,9,10,
3,0.3106849518377447,,,,0.0003140085027553141,0.00402988912537694,,0.0,6452080,20,5161664,6452080,0,3.8961781350008096,3.893185426000855,0.4599805670004571,0.001898296999570448,5.181664,12681,7,10,
4,0.30720861801089616,,,,6.057185419905409e-09,7.777533994612895e-08,,0.0,6452080,20,5484268,6452080,0,3.664074587999494,3.661056123999515,0.4290171510001528,0.0019080870006291661,5.181664,12681,7,10,
5,0.26090058647361225,0.1898643189437649,0.9432786885245902,0.8502164502164502,0.000711602799128741,0.009117363952100277,0.037083333333333336,0.0,6452080,20,4193852,6452080,0,3.7121622079994268,3.7089497719989595,0.45788114800052426,0.001918403000672697,5.181664,12681,7,10,
6,0.24482545830255859,,,,0.0003641459334176034,0.004659599158912897,,0.0,6452080,20,5484268,6452080,0,3.691668080000454,3.6887630239998543,0.4477820480005903,0.0018132180011889432,5.181664,12681,8,10,
7,0.2146817712258427,,,,0.000593584671150893,0.007577481679618359,,0.0,6452080,20,5484268,6452080,0,3.6035825939998176,3.600534402001358,0.4600933920009993,0.0019150019998050993,5.181664,12681,9,10,
8,0.2051985349863518,,,,0.0009649689891375601,0.012296408414840698,,0.0,6452080,20,4193852,6452080,0,6.01546891200087,6.012591778004207,2.651570863001325,0.0017429939998692134,5.181664,12681,7,10,
9,0.18224036178533862,,,,0.0006588326068595052,0.008374207653105259,,0.0,6452080,20,4516456,6452080,0,3.6452030399996147,3.642074968001907,0.4599666139984038,0.001929464999193442,5.181664,12681,6,10,
10,0.1682256759919162,0.12238929024387994,0.9629508196721311,0.9082047116165719,6.344829106552652e-09,8.048239408253721e-08,0.0,0.0,6452080,20,6129476,6452080,0,3.786862299000859,3.783778067001549,0.4235518780005805,0.0019591380005294923,5.181664,12681,9,10,
11,0.15820013140105393,,,,0.0007604422280564904,0.00963006354868412,,0.0,6452080,20,5161664,6452080,0,4.068545668000297,4.065085981001175,0.5510659419996955,0.0023136179988796357,5.181664,12681,9,10,
12,0.16004124752536136,,,,0.0010404931381344795,0.013162469491362572,,0.0,6452080,20,4193852,6452080,0,3.9249015349996625,3.922055746998012,0.47424463300012576,0.0016901630006032065,5.181664,12681,8,10,
13,0.14669737110189657,,,,0.0010961467633023858,0.013846181333065033,,0.0,6452080,20,4193852,6452080,0,3.9504130099994654,3.947356314996796,0.5894660360008857,0.0018740230007097125,5.181664,12681,7,10,
14,0.1465415912479117,,,,0.000796560081653297,0.010049051605165005,,0.0,6452080,20,5484268,6452080,0,4.198559342999943,4.195760291995612,0.5046973229982541,0.0017482200000813464,5.181664,12681,9,10,
15,0.13864867666164432,0.09472947214930909,0.9704918032786886,0.924114671163575,0.0005068565369583666,0.0063865529373288155,0.01,0.0,6452080,20,5484268,6452080,0,3.884655625999585,3.8818371330016817,0.4514290320003056,0.0017446649999328656,5.181664,12681,8,10,
16,0.13952477317919915,,,,0.0005747103714384139,0.007234897464513779,,0.0,6452080,20,5484268,6452080,0,3.895231190999766,3.8919422320032027,0.5335774990016944,0.0020401279998623068,5.181664,12681,9,10,
17,0.1309189845156205,,,,0.00040786279714666307,0.0051304493099451065,,0.0,6452080,20,5161664,6452080,0,3.8968499310012703,3.893866562999392,0.4583472040012566,0.0017812089990911772,5.181664,12681,7,10,
18,0.12800616020444275,,,,0.0006503541371785104,0.008170771412551403,,0.0,6452080,20,5161664,6452080,0,3.514093342000706,3.511428720001277,0.40561185400110844,0.0016152209991560085,5.181664,12681,8,10,
19,0.12355211345038637,,,,0.0007080655777826905,0.00888887420296669,,0.0,6452080,20,5161664,6452080,0,3.6348554310006875,3.6318799410000793,0.4735718760002783,0.0017902220006362768,5.181664,12681,8,10,
20,0.12393567116485835,0.09452684527798667,0.9688524590163935,0.9199663016006739,0.0006292093894444406,0.007894313894212246,0.014444444444444444,0.0,6452080,20,5484268,6452080,0,3.5469319060011912,3.544001741998727,0.3944040149999637,0.0018220580004708609,5.181664,12681,9,10,
21,0.12544766603485613,,,,0.0006652504671365023,0.008340714499354362,,0.0,6452080,20,5161664,6452080,0,3.6934077120004076,3.6905066780036577,0.4440348990010534,0.0017688089992589084,5.181664,12681,8,10,
22,0.11783999469592725,,,,0.0005553070805035532,0.006956195458769798,,0.0,6452080,20,5161664,6452080,0,3.686439174000043,3.6834756170010223,0.4828437699998176,0.001835346000007121,5.181664,12681,8,10,
23,0.11659094821631985,,,,0.0006287107244133949,0.007869573310017586,,0.0,6452080,20,5161664,6452080,0,3.8696604239994485,3.866660088995559,0.49506738599848177,0.0018672279984457418,5.181664,12681,8,10,
24,0.11034917048171342,,,,0.0009988140081986785,0.01248699426651001,,0.0,6452080,20,4839060,6452080,0,3.877854656000636,3.8741667619979125,0.46691554999961227,0.0023010999993857695,5.181664,12681,8,10,
25,0.1149049029612313,0.08366910029711982,0.9718032786885246,0.9279731993299832,6.268251251384527e-09,7.827674863847278e-08,0.0,0.0,6452080,20,5484268,6452080,0,3.732182150000881,3.7291615959966293,0.43277300399859087,0.001850725000622333,5.181664,12681,7,10,
26,0.11685369043204867,,,,0.000625228974968195,0.007804114371538162,,0.0,6452080,20,5161664,6452080,0,3.832855198001198,3.8298641110013705,0.4431305829984922,0.0018710900003497954,5.181664,12681,7,10,
27,0.11712841343479341,,,,0.000731196254491806,0.009120810776948929,,0.0,6452080,20,5161664,6452080,0,3.7498495079998975,3.7467912869979045,0.4568089670010522,0.0018350169993937016,5.181664,12681,8,10,
28,0.117040002122436,,,,0.0010936390608549118,0.013619542121887207,,0.0,6452080,20,4516456,6452080,0,3.577725424998789,3.5751026259968057,0.4105837529987184,0.0015603379997628508,5.181664,12681,6,10,
29,0.11592461469946298,,,,0.0005924779106862843,0.007376209832727909,,0.0,6452080,20,5161664,6452080,0,3.5897647800011327,3.586684890999095,0.4729606149994652,0.0019378679990040837,5.181664,12681,7,10,
30,0.1070709664991942,0.06985369189807343,0.979344262295082,0.9487388120423108,0.0008199627045542002,0.010196142829954624,0.011666666666666667,0.0,6452080,20,4193852,6452080,0,3.7475094349993014,3.744474890003403,0.5037916220007901,0.0018322960004297784,5.181664,12681,6,10,
31,0.10524899044852096,,,,0.0010026160161942244,0.012457853183150291,,0.0,6452080,20,3871248,6452080,0,3.8808901460015477,3.878207136001947,0.4707747160009603,0.0015643400001863483,5.181664,12681,5,10,
32,0.10054124109115337,,,,0.00048783636884763837,0.00605411222204566,,0.0,6452080,20,5806872,6452080,0,3.945942317999652,3.94305481599622,0.4712591200004681,0.0018371339992881985,5.181664,12681,9,10,
33,0.10006511204994031,,,,0.0010085597168654203,0.01250141765922308,,0.0,6452080,20,4839060,6452080,0,3.803371028001493,3.80042418100129,0.44463236600131495,0.0017801029989641393,5.181664,12681,9,10,
34,0.10265013181674201,,,,0.0004924526438117027,0.0060986969619989395,,0.0,6452080,20,5161664,6452080,0,3.7755708069998946,3.772275700001046,0.4203620509997563,0.0020067370005563134,5.181664,12681,7,10,
35,0.10769302507449918,0.06860483704940955,0.978688524590164,0.9473684210526315,6.320804768478183e-09,7.821437719712776e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.721686459000921,3.7188816020025115,0.4414933799998835,0.001770638999005314,5.181664,12681,10,10,
36,0.10099812143364542,,,,0.0005907943705096841,0.007301312871277332,,0.0,6452080,20,5484268,6452080,0,3.636811618000138,3.6337299079968943,0.41623403700032213,0.0019588229988585226,5.181664,12681,9,10,
37,0.0910403371619782,,,,0.0009728335426189005,0.012008987367153168,,0.0,6452080,20,5484268,6452080,0,3.7862037960003363,3.783347911999954,0.46116321199951926,0.001749053000821732,5.181664,12681,10,10,
38,0.09479201462519841,,,,0.0009679102804511786,0.011934330686926842,,0.0,6452080,20,5161664,6452080,0,3.8175025319997076,3.8143216749977,0.4823795779993816,0.0019792130005953368,5.181664,12681,9,10,
39,0.090452097682961,,,,0.0012462401064112782,0.015354826115071774,,0.0,6452080,20,4193852,6452080,0,3.872107440000036,3.869260369001495,0.46150256900000386,0.001728117000311613,5.181664,12681,7,10,
40,0.09225362211774216,0.081973380496832,0.9724590163934427,0.9319286871961102,0.0013499910710379481,0.016617612913250923,0.025138888888888888,0.0,6452080,20,4839060,6452080,0,3.8554794610008685,3.8528017349981383,0.4766436200006865,0.0016323750005540205,5.181664,12681,9,10,
41,0.08702780341299707,,,,0.00045907162711955607,0.005643370095640421,,0.0,6452080,20,5484268,6452080,0,3.835714741000629,3.8325654070013115,0.5069885150005575,0.001946162001331686,5.181664,12681,8,10,
42,0.0905960230917813,,,,0.0004990025772713125,0.006126891355961561,,0.0,6452080,20,6129476,6452080,0,3.7624826580013178,3.7557164129975718,0.45484407799995097,0.0056196340010501444,5.181664,12681,10,10,
43,0.09464617234613415,,,,0.0005899048410356045,0.007237842772156,,0.0,6452080,20,5161664,6452080,0,4.03987498099923,4.0368375170000945,0.5774054609992163,0.0018457120004313765,5.181664,12681,7,10,
44,0.08538351151901287,,,,6.3375411585298025e-09,7.766315945900715e-08,,0.0,6452080,20,6129476,6452080,0,3.8084098950002954,3.8052457159992628,0.46457408999958716,0.0020100519996049115,5.181664,12681,9,10,
45,0.09080319291249007,0.09802068058461082,0.9688524590163935,0.9259547934528449,0.00048926065210253,0.005990098230540752,0.01375,0.0,6452080,20,5806872,6452080,0,3.5993856780005444,3.596382616999108,0.44875601599960646,0.00181589299972984,5.181664,12681,9,10,
46,0.08560004429485084,,,,0.0010285117896273732,0.012577537447214127,,0.0,6452080,20,4193852,6452080,0,3.9164848319996963,3.91350735999913,0.4887962430002517,0.0018031660001724958,5.181664,12681,6,10,
47,0.07733924162871485,,,,0.0015250112628564239,0.01861843280494213,,0.0,6452080,20,3871248,6452080,0,3.913544307999473,3.9106993169971247,0.4636894819996087,0.0017227130010724068,5.181664,12681,7,10,
48,0.08487733833507094,,,,0.0009004456805996597,0.010984465479850769,,0.0,6452080,20,5484268,6452080,0,3.835895641001116,3.8331640579999657,0.48437209499934397,0.0016792080004961463,5.181664,12681,8,10,
49,0.084811668913469,,,,0.0007135808118619025,0.008694305084645748,,0.0,6452080,20,4839060,6452080,0,3.601889559000483,3.5990345330010314,0.41776219100029266,0.0016951800007518614,5.181664,12681,7,10,
50,0.0831914242682582,0.06635619014675456,0.9780327868852459,0.9464428457234213,0.0008091587806120515,0.009848481975495815,0.00375,0.0,6452080,20,4839060,6452080,0,3.6041911309985153,3.6011897459957254,0.4263287769990711,0.0018529699991631787,5.181664,12681,7,10,
