split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,860,23,12,236,0.969053934571176,0.9111969111969112,0.9516129032258065,0.9309664694280079,0.026047565118912798,0.9627826690534469,1131,248,0.5,0.9973422715814854,0.9914121642012907,0.018696427284668294,0.0634568709251634
train,fixed,1,1153,7,20,228,0.9808238636363636,0.9702127659574468,0.9193548387096774,0.9440993788819876,0.00603448275862069,0.9566601779755284,1408,248,0.5,0.9984149054505005,0.9932348314192259,0.01388997954394049,0.04962049573551532
train,fixed,2,1089,0,23,225,0.9827973074046372,1.0,0.907258064516129,0.9513742071881607,0.0,0.9536290322580645,1337,248,0.5,0.9987669954678753,0.9953069794045659,0.015360211878182232,0.05760010450272334
train,fixed,3,993,6,13,235,0.9847634322373697,0.975103734439834,0.9475806451612904,0.9611451942740287,0.006006006006006006,0.9707873195776422,1247,248,0.5,0.9981231231231231,0.9933398188773586,0.0150345400501761,0.053791895665202066
train,fixed,4,921,12,11,237,0.9805249788314987,0.9518072289156626,0.9556451612903226,0.9537223340040242,0.012861736334405145,0.9713917124779587,1181,248,0.5,0.9983274556581268,0.9943987466447127,0.015153137120568469,0.05742522837298006
train,fixed,5,830,5,8,240,0.9879963065558633,0.9795918367346939,0.967741935483871,0.973630831643002,0.005988023952095809,0.9808769557658876,1083,248,0.5,0.9991500869229283,0.9973086714003309,0.012253630000502991,0.0467272543809288
train,fixed,6,925,18,22,226,0.966414777497901,0.9262295081967213,0.9112903225806451,0.9186991869918699,0.019088016967126194,0.9461011528067595,1191,248,0.5,0.9941932063079396,0.9818440825516549,0.023221021513818284,0.0779520810082816
train,fixed,7,932,19,8,240,0.9774812343619683,0.9266409266409267,0.967741935483871,0.9467455621301775,0.019978969505783387,0.9738814829890439,1199,248,0.5,0.9972143075200977,0.989879041105576,0.017758016289512468,0.062425580490912035
train,fixed,8,1097,40,7,241,0.9660649819494584,0.8576512455516014,0.9717741935483871,0.9111531190926276,0.03518029903254178,0.9682969472579226,1385,248,0.5,0.99493928561296,0.9769148563349364,0.026674768940095375,0.09086486485177699
train,fixed,9,1255,16,14,234,0.9802501645819618,0.936,0.9435483870967742,0.9397590361445783,0.012588512981904013,0.9654799370574352,1519,248,0.5,0.9970400497449303,0.9876976463669946,0.01685477737487228,0.05979489502279791
