epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,5.977896400111149e-09,7.715370031746716e-08,,0.0,6452080,20,6452080,6452080,0,3.9503333470001962,3.9468509049966087,0.483624446000249,0.0021695480008929735,5.181664,12681,10,10,
2,0.45565050312683975,,,,6.168789479232828e-09,7.947456737156244e-08,,0.0,6452080,20,6452080,6452080,0,3.8076491190004162,3.8047039759967447,0.4544715619995259,0.001849835000029998,5.181664,12681,10,10,
3,0.3125739531387253,,,,6.268365382311458e-09,8.04663073949996e-08,,0.0,6452080,20,6452080,6452080,0,3.796027033999053,3.7929117610019603,0.4586196670006757,0.0020154639987595147,5.181664,12681,10,10,
4,0.30843559207625276,,,,6.1365779124855635e-09,7.880620955802442e-08,,0.0,6452080,20,6452080,6452080,0,3.87900173700109,3.8757882690024417,0.4813975130000472,0.0020867650000582216,5.181664,12681,10,10,
5,0.25810004746411197,0.19668649652460551,0.9354098360655738,0.830318690783807,6.220238102372377e-09,7.972727189553552e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.739790701001766,3.736673779996636,0.44645522400060145,0.0019785280001087813,5.181664,12681,10,10,
6,0.24090972318323148,,,,6.140065789139726e-09,7.858018591377913e-08,,0.0,6452080,20,6452080,6452080,0,3.757993607001481,3.7548030569996627,0.43451368299975,0.0019865159993059933,5.181664,12681,10,10,
7,0.2178899081300579,,,,6.3138139161367235e-09,8.064547785124887e-08,,0.0,6452080,20,6452080,6452080,0,3.559485042000233,3.55634907700005,0.4206993079988024,0.0019802269998763222,5.181664,12681,10,10,
8,0.2001522788377698,,,,6.233652705134318e-09,7.943576463276258e-08,,0.0,6452080,20,6452080,6452080,0,3.78653132799991,3.783496591997391,0.4313359269999637,0.0018348640005569905,5.181664,12681,10,10,
9,0.1863052803302759,,,,6.1080465130203265e-09,7.766488607785504e-08,,0.0,6452080,20,6452080,6452080,0,3.8557885820009687,3.852656326002034,0.44833042100071907,0.0019385340001463192,5.181664,12681,10,10,
10,0.16187673804500424,0.1214878606759741,0.9613114754098361,0.9005059021922428,6.2493761276982696e-09,7.929659773253661e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7507164540002123,3.7477662389992474,0.42886462100068456,0.0018779420006467262,5.181664,12681,10,10,
11,0.1560313681952567,,,,6.353523485103096e-09,8.048360911061536e-08,,0.0,6452080,20,6452080,6452080,0,3.5825595440001052,3.57943087700005,0.4109454049994383,0.001925954000398633,5.181664,12681,10,10,
12,0.15551226219679087,,,,6.303011002017911e-09,7.97633390448027e-08,,0.0,6452080,20,6452080,6452080,0,3.6595838609991915,3.656089094994968,0.4241017369986366,0.0018639830013853498,5.181664,12681,10,10,
13,0.13890545088249073,,,,6.3758434087901605e-09,8.05686184435217e-08,,0.0,6452080,20,6452080,6452080,0,3.6383916350005165,3.6354169939986605,0.40286377299889864,0.0018218129989691079,5.181664,12681,10,10,
14,0.13652279213565272,,,,6.18128170870591e-09,7.801270385243697e-08,,0.0,6452080,20,6452080,6452080,0,3.785092515001452,3.7818422070013185,0.48895003700090456,0.0020212099989294074,5.181664,12681,10,10,
15,0.14175157630341187,0.10017725387940521,0.9672131147540983,0.921875,6.381574380043276e-09,8.04740665216741e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.991706561000683,3.988565618001303,0.46864924100009375,0.0019717300001502736,5.181664,12681,10,10,
16,0.14198858088944422,,,,6.281351438985894e-09,7.914041333378918e-08,,0.0,6452080,20,6452080,6452080,0,3.705193963000056,3.7022062560008635,0.4492517159997078,0.0018886950001615332,5.181664,12681,10,10,
17,0.1388616963598629,,,,6.3060925370450605e-09,7.938020019082614e-08,,0.0,6452080,20,6452080,6452080,0,3.6496631990012247,3.6464841260003595,0.4393336199991609,0.00202130199977546,5.181664,12681,10,10,
18,0.130761832671116,,,,6.268073615700587e-09,7.88038008181502e-08,,0.0,6452080,20,6452080,6452080,0,3.624231712999972,3.6208287890003703,0.398526070999651,0.0021429059997899458,5.181664,12681,10,10,
19,0.11340396078412121,,,,6.39796970958173e-09,8.033303799948044e-08,,0.0,6452080,20,6452080,6452080,0,3.616593577000458,3.613682555998821,0.4153635969996685,0.0018116079991159495,5.181664,12681,10,10,
20,0.13589983410371825,0.0881000184447882,0.9695081967213115,0.9207161125319693,6.315183931349111e-09,7.926461620400005e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.622876286999599,3.6196086760028265,0.4378419170006964,0.002098984999975073,5.181664,12681,10,10,
21,0.12921747378038648,,,,6.322173895512151e-09,7.930929513122464e-08,,0.0,6452080,20,6452080,6452080,0,3.627724248000959,3.6246161330036557,0.4582830069994088,0.001920984999742359,5.181664,12681,10,10,
22,0.11791429713665347,,,,6.427682830434378e-09,8.052546007775163e-08,,0.0,6452080,20,6452080,6452080,0,3.912026881998827,3.909097945999747,0.43573884299985366,0.0017871420004667016,5.181664,12681,10,10,
23,0.1180542150913068,,,,6.38434505262353e-09,7.989227412963373e-08,,0.0,6452080,20,6452080,6452080,0,3.881761970000298,3.878340504001244,0.4398761949996697,0.0022700600002281135,5.181664,12681,10,10,
24,0.11480964116000465,,,,6.1867098111179075e-09,7.736451834716718e-08,,0.0,6452080,20,6452080,6452080,0,3.884675249999418,3.881709753000905,0.4710813540004892,0.0018976569990627468,5.181664,12681,10,10,
25,0.10300660171274448,0.06787710894919312,0.9790163934426229,0.9472817133443163,6.300978405704427e-09,7.867346596412972e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8062542700008635,3.803255849999914,0.44995899300010933,0.0018365850010013673,5.181664,12681,10,10,
26,0.12018894620438096,,,,0.00024397912784479558,0.0030461628921329975,,0.0,5806872,18,5806872,5806872,0,3.2531800480010133,3.2501987899959204,0.4153888629989524,0.001882204000139609,4.665497599999999,11482,9,9,
27,0.11683300681654497,,,,0.00039780623046681285,0.004959598649293184,,0.0,5806872,18,5806872,5806872,0,3.47756938800012,3.474485357000958,0.48089316000005056,0.001923952000652207,4.665497599999999,11482,9,9,
28,0.11940757989976428,,,,0.0005127047770656645,0.006387604866176844,,0.0,5806872,18,5806872,5806872,0,3.5920586449992697,3.5889907510027115,0.4651773050009069,0.0019517630007612752,4.665497599999999,11482,9,9,
29,0.11357046554192468,,,,0.0006477300776168704,0.008062498643994331,,0.0,5806872,18,5806872,5806872,0,3.4974553500014736,3.4946112769994215,0.446352721999574,0.0017973560006794287,4.665497599999999,11482,9,9,
30,0.10616481846621194,0.0729265017033145,0.9763934426229508,0.9403973509933775,0.0007912659784778953,0.009841769933700562,0.0,0.0,5806872,18,5806872,5806872,0,3.5138113159991917,3.510569985002803,0.438165047999064,0.0020063289994141087,4.665497599999999,11482,9,9,
31,0.11128290329144258,,,,0.0009285736596211791,0.011537800543010235,,0.0,5806872,18,5806872,5806872,0,3.56952790700052,3.5660869909952453,0.44166183400011505,0.0021669649995601503,4.665497599999999,11482,9,9,
32,0.10467283384180612,,,,0.0010560364462435246,0.01311006024479866,,0.0,5806872,18,5806872,5806872,0,3.487661973000286,3.4845463370038487,0.4464966169998661,0.0019274620008218335,4.665497599999999,11482,9,9,
33,0.10313909451267678,,,,0.0011962399585172534,0.014837675727903843,,0.0,5806872,18,5806872,5806872,0,3.603282742000374,3.6000899170030607,0.4559809629990923,0.0018999219992110739,4.665497599999999,11482,9,9,
34,0.09788425899289767,,,,0.001327892648987472,0.01645721308887005,,0.0,5806872,18,5806872,5806872,0,3.5455497809998633,3.542834298001253,0.4633062720004091,0.0016104949991131434,4.665497599999999,11482,9,9,
35,0.1026430898885209,0.07186951262376277,0.9750819672131148,0.9375,0.0014608885394409299,0.0180855430662632,0.0025,0.0,5806872,18,5806872,5806872,0,3.546922309000365,3.5441197650015965,0.4537614130003931,0.0018064870000671363,4.665497599999999,11482,9,9,
36,0.09735338364007669,,,,0.0016070017591118813,0.01986839435994625,,0.0,5806872,18,5806872,5806872,0,3.4668369649989472,3.4635334409958887,0.43036786099946767,0.0020584690009854967,4.665497599999999,11482,9,9,
37,0.09718427161247845,,,,0.0017174161039292812,0.021217787638306618,,0.0,5806872,18,5806872,5806872,0,3.485789492000549,3.4828575960018497,0.44311477500014007,0.0018362459995842073,4.665497599999999,11482,9,9,
38,0.09615763003526022,,,,0.0018545740749686956,0.022894838824868202,,0.0,5806872,18,5806872,5806872,0,3.5894265989991254,3.586390099997516,0.43970577599975513,0.0019505609998304863,4.665497599999999,11482,9,9,
39,0.08767670046586794,,,,0.001996226143091917,0.02460557408630848,,0.0,5806872,18,5806872,5806872,0,3.350433059998977,3.3474474040012865,0.44329107600060524,0.0018377079995843815,4.665497599999999,11482,9,9,
40,0.0903914827490749,0.06488051890708664,0.9770491803278688,0.9434571890145396,0.0021017235703766346,0.025894878432154655,0.005,0.0,5806872,18,5806872,5806872,0,3.2739168250009243,3.2709155150023435,0.4142917459994351,0.001863047998995171,4.665497599999999,11482,9,9,
41,0.08725611578228269,,,,0.002217744942754507,0.02729801833629608,,0.0,5806872,18,5806872,5806872,0,3.312950395000371,3.309961814000417,0.4348212910008442,0.0018584760000521783,4.665497599999999,11482,9,9,
42,0.09543917243574396,,,,0.002321333158761263,0.028550948947668076,,0.0,5806872,18,5806872,5806872,0,3.248501889000181,3.2454810839972197,0.4140151169995079,0.001873433000582736,4.665497599999999,11482,9,9,
43,0.09075943745579322,,,,0.0024325335398316383,0.02988559380173683,,0.0,5806872,18,5806872,5806872,0,3.3760345190003136,3.3729037110024365,0.41915761200107227,0.0019510570000420557,4.665497599999999,11482,9,9,
44,0.09787562620994338,,,,0.002561922650784254,0.031449999660253525,,0.0,5806872,18,5806872,5806872,0,3.462854628000059,3.4592368500034354,0.4687488420004229,0.002307414999449975,4.665497599999999,11482,9,9,
45,0.08289175480813261,0.06209439595354636,0.9767213114754099,0.9425101214574899,0.0026928302831947803,0.033021438866853714,0.00125,0.0,5806872,18,5806872,5806872,0,3.3108059810001578,3.307650079997984,0.44888392400025623,0.001976268998987507,4.665497599999999,11482,9,9,
46,0.08133071294978246,,,,0.002815301762893796,0.034482378512620926,,0.0,5806872,18,5806872,5806872,0,3.33726014199965,3.3342059219958173,0.4433288589989388,0.0018936559990834212,4.665497599999999,11482,9,9,
