split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,866,17,5,243,0.9805481874447391,0.9346153846153846,0.9798387096774194,0.9566929133858267,0.01925254813137033,0.9802930807730246,1131,248,0.5,0.9988629306250685,0.9961993621021847,0.014515974646040288,0.051036166833362186
train,fixed,1,1159,1,20,228,0.9850852272727273,0.9956331877729258,0.9193548387096774,0.9559748427672956,0.0008620689655172414,0.95924638487208,1408,248,0.5,0.9987312291434928,0.9945721744119129,0.012663037799217625,0.044798661544007516
train,fixed,2,1075,14,7,241,0.9842931937172775,0.9450980392156862,0.9717741935483871,0.9582504970178927,0.012855831037649219,0.979459181255369,1337,248,0.5,0.9986596166948074,0.9949366133496861,0.014008457991668806,0.05073567599961552
train,fixed,3,990,9,9,239,0.9855653568564555,0.9637096774193549,0.9637096774193549,0.9637096774193549,0.009009009009009009,0.9773503342051729,1247,248,0.5,0.9987689302205431,0.9955402502760049,0.01195458745166341,0.04378725224894783
train,fixed,4,922,11,6,242,0.9856054191363252,0.9565217391304348,0.9758064516129032,0.9660678642714571,0.011789924973204717,0.9820082633198493,1181,248,0.5,0.9990103032188915,0.996459312809298,0.012076783236512909,0.046103729664512025
train,fixed,5,819,16,12,236,0.974145891043398,0.9365079365079365,0.9516129032258065,0.944,0.019161676646706587,0.9662256132895499,1083,248,0.5,0.9976868842959243,0.9923724255685946,0.01711037455879372,0.058582848474112395
train,fixed,6,927,16,20,228,0.9697732997481109,0.9344262295081968,0.9193548387096774,0.926829268292683,0.016967126193001062,0.9511938562583382,1191,248,0.5,0.9954631751787364,0.9854216551951132,0.021106167129383204,0.06985118214225666
train,fixed,7,944,7,11,237,0.9849874895746455,0.9713114754098361,0.9556451612903226,0.9634146341463414,0.007360672975814932,0.9741422441572538,1199,248,0.5,0.9988806349852447,0.9958975446281011,0.013160742944385503,0.05329737106646794
train,fixed,8,1102,35,5,243,0.9711191335740073,0.8741007194244604,0.9798387096774194,0.9239543726235742,0.030782761653474055,0.9745279740119727,1385,248,0.5,0.9959961131443811,0.9818876724886585,0.024238729023073998,0.08225342054885236
train,fixed,9,1255,16,15,233,0.9795918367346939,0.9357429718875502,0.9395161290322581,0.937625754527163,0.012588512981904013,0.9634638080251771,1519,248,0.5,0.9966434862059338,0.9850249456215234,0.016897727780245085,0.05796649010082196
