epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5524046737629573,,,,6.060776769345466e-09,7.821576275546249e-08,,0.0,6452080,20,6452080,6452080,0,4.0346979619989725,4.0315436929995485,0.4507298289991013,0.0019436239999777172,5.181664,12681,10,10,
2,0.44413342379174753,,,,6.072370162257812e-09,7.82212907779467e-08,,0.0,6452080,20,6452080,6452080,0,3.8329275679989223,3.8297022029983054,0.4812008879998757,0.0019391650002944516,5.181664,12681,10,10,
3,0.3091386878324599,,,,6.198175750427026e-09,7.95996939473298e-08,,0.0,6452080,20,6452080,6452080,0,3.964115198001309,3.960612808003134,0.47001018400078465,0.0022358180012815865,5.181664,12681,10,10,
4,0.2979109661834839,,,,6.052712553383799e-09,7.77332687107446e-08,,0.0,6452080,20,6452080,6452080,0,4.222962030000417,4.21968878899861,0.5068614270003309,0.002060270999209024,5.181664,12681,10,10,
5,0.2541175842373388,0.19547853681007368,0.9331147540983606,0.8235294117647058,6.1819740437840665e-09,7.924225542410568e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.229427254000257,4.22620581099909,0.504664412999773,0.002030763000220759,5.181664,12681,10,10,
6,0.23439216749729827,,,,6.088476389720654e-09,7.789619616005439e-08,,0.0,6452080,20,6452080,6452080,0,3.7862384609998117,3.783040845000869,0.4687981690003653,0.0019509569992806064,5.181664,12681,10,10,
7,0.21018884633565818,,,,6.253803253031265e-09,7.982356464708573e-08,,0.0,6452080,20,6452080,6452080,0,3.902006058000552,3.898703882998234,0.46947478899892303,0.0020766849993378855,5.181664,12681,10,10,
8,0.1950384798336448,,,,6.147345743556798e-09,7.83205180709956e-08,,0.0,6452080,20,6452080,6452080,0,3.8756570519999514,3.872422265998466,0.46187715800078877,0.0020150010004726937,5.181664,12681,10,10,
9,0.18379932886739553,,,,6.256088092015943e-09,7.956138148301761e-08,,0.0,6452080,20,6452080,6452080,0,4.188476888999503,4.185249220001424,0.48741548799989687,0.002045320001343498,5.181664,12681,10,10,
10,0.1615989050915766,0.11406723031550828,0.9606557377049181,0.8969072164948454,6.085635995134453e-09,7.727598472229147e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.098676440000418,4.095105096996122,0.502950571000838,0.0022726070001226617,5.181664,12681,10,10,
11,0.1561501803692994,,,,6.161278598426634e-09,7.811730284856822e-08,,0.0,6452080,20,6452080,6452080,0,4.032574782999291,4.029358314997808,0.4606499569999869,0.002025083998887567,5.181664,12681,10,10,
12,0.14862169535327072,,,,6.081190218054644e-09,7.70171268982267e-08,,0.0,6452080,20,6452080,6452080,0,3.889202831000148,3.8859795499956817,0.4635987580004439,0.002021774000240839,5.181664,12681,10,10,
13,0.14383055650695592,,,,6.304273103552305e-09,7.975930316206359e-08,,0.0,6452080,20,6452080,6452080,0,3.7061596519997693,3.702862462001576,0.46569283200005884,0.002014236999457353,5.181664,12681,10,10,
14,0.14082083438219914,,,,6.254782913828194e-09,7.904608878561703e-08,,0.0,6452080,20,6452080,6452080,0,3.876802647000659,3.8735977850010386,0.4510516349982936,0.0020118129996262724,5.181664,12681,10,10,
15,0.13643017733895663,0.08699138543887822,0.9763934426229508,0.940983606557377,6.194771362544316e-09,7.822318792705119e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7799784950002504,3.7767860240001028,0.48241738499928033,0.0019996130013169022,5.181664,12681,10,10,
16,0.1370731974552734,,,,6.220747916785285e-09,7.848063887649914e-08,,0.0,6452080,20,6452080,6452080,0,3.9400957409998227,3.936960128999999,0.4793770059986855,0.0019322820007801056,5.181664,12681,10,10,
17,0.13051204014202003,,,,6.18409634611794e-09,7.796599987841546e-08,,0.0,6452080,20,6452080,6452080,0,3.7703142770005798,3.7673000100021454,0.45669338700099615,0.001861041000665864,5.181664,12681,10,10,
18,0.13545341000241878,,,,6.211585468207659e-09,7.823265946171887e-08,,0.0,6452080,20,6452080,6452080,0,3.778877863998787,3.775541917000737,0.46531128300011915,0.0019205940006941091,5.181664,12681,10,10,
19,0.12349919562310385,,,,6.271642760680152e-09,7.891974718177153e-08,,0.0,6452080,20,6452080,6452080,0,3.769448969000223,3.7662461170002643,0.47049898099976417,0.0019611579991760664,5.181664,12681,10,10,
20,0.13136530281287676,0.0881836719202683,0.9685245901639344,0.9186440677966101,6.293659815526098e-09,7.916911926031389e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.074555003999194,4.07126621200041,0.47576936400037084,0.002040384000792983,5.181664,12681,10,10,
21,0.12354217371848637,,,,6.326836388126367e-09,7.949572022880602e-08,,0.0,6452080,20,6452080,6452080,0,4.070278573999531,4.067041151000012,0.4719119649998902,0.002013827001064783,5.181664,12681,10,10,
22,0.12183935174093734,,,,6.269690544513651e-09,7.870310980706563e-08,,0.0,6452080,20,6452080,6452080,0,4.0275254040006985,4.024179356998502,0.5007727159991191,0.0020326390003901906,5.181664,12681,10,10,
23,0.11810790383269873,,,,6.222800941202422e-09,7.802763235531529e-08,,0.0,6452080,20,6452080,6452080,0,3.8999494979998417,3.8967637629993988,0.44804106399897137,0.0019941539994761115,5.181664,12681,10,10,
24,0.10709388831982647,,,,6.189883716700706e-09,7.755085817962026e-08,,0.0,6452080,20,6452080,6452080,0,3.895789270000023,3.8923517229977733,0.5009667549984442,0.002141793000191683,5.181664,12681,10,10,
25,0.11655245772081269,0.08781316837209194,0.9665573770491803,0.9126712328767124,6.387105511151958e-09,7.995705431085298e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.9500736800000595,3.9468261420006456,0.462645045001409,0.0020421850003913278,5.181664,12681,10,10,
26,0.11253741457921476,,,,6.260338913932628e-09,7.83135973847493e-08,,0.0,6452080,20,6452080,6452080,0,3.937283383000249,3.934046361999208,0.44555297499937296,0.0020477310008573113,5.181664,12681,10,10,
27,0.11475678052560793,,,,6.1946208163021765e-09,7.743915375613142e-08,,0.0,6452080,20,6452080,6452080,0,3.832729527999618,3.829448777001744,0.4657615439991787,0.002045859000645578,5.181664,12681,10,10,
28,0.11113112431630909,,,,6.265388652337833e-09,7.823643954907311e-08,,0.0,6452080,20,6452080,6452080,0,4.037004503999924,4.033562667002116,0.4668086300007417,0.002014544999838108,5.181664,12681,10,10,
29,0.1092283967984969,,,,6.202917290920595e-09,7.740016627622026e-08,,0.0,6452080,20,6452080,6452080,0,4.029671790000066,4.026437418000569,0.4520297399994888,0.0020236670006852364,5.181664,12681,10,10,
30,0.10815413203627718,0.07906748239258125,0.9727868852459016,0.9340746624305004,6.12482953243898e-09,7.635502186076337e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8200946249999106,3.816925999997693,0.46261645199956547,0.0019341269999131327,5.181664,12681,10,10,
31,0.11153843087599205,,,,6.280128417301967e-09,7.820813863190779e-08,,0.0,6452080,20,6452080,6452080,0,3.903725141000905,3.9005302869991283,0.46543391500017606,0.0019814039987977594,5.181664,12681,10,10,
32,0.10959775401505056,,,,6.397541607583435e-09,7.96047388007537e-08,,0.0,6452080,20,6452080,6452080,0,3.8602423749998707,3.8569630539968784,0.4634362679989863,0.0020266869996703463,5.181664,12681,10,10,
