split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,642,0,74,174,0.9168539325842696,1.0,0.7016129032258065,0.8246445497630331,0.0,0.8508064516129032,890,248,0.5,0.9961436036579239,0.9911983490008718,0.06639378992401453,0.23063362852973315
train,fixed,1,1372,86,0,248,0.9495896834701055,0.7425149700598802,1.0,0.852233676975945,0.05898491083676269,0.9705075445816187,1706,248,0.5,0.9961475065268375,0.9763804355793704,0.03201029911158726,0.09976336498529767
train,fixed,2,514,0,88,160,0.884514435695538,1.0,0.6451612903225806,0.7843137254901961,0.0,0.8225806451612903,762,248,0.5,0.9925866072549265,0.9868775460584711,0.09349535720975785,0.366451674021755
train,fixed,3,1737,106,0,248,0.9493065518890483,0.7005649717514124,1.0,0.8239202657807309,0.05751492132392838,0.9712425393380358,2091,248,0.5,0.9988732431344407,0.9924086392862569,0.03245874823006112,0.09591701964207235
train,fixed,4,1182,15,14,234,0.9799307958477509,0.9397590361445783,0.9435483870967742,0.9416498993963782,0.012531328320802004,0.9655085293879861,1445,248,0.5,0.9982011480313688,0.99209898545685,0.013937853896917837,0.048024793805851125
train,fixed,5,948,14,21,227,0.9710743801652892,0.941908713692946,0.9153225806451613,0.9284253578732107,0.014553014553014554,0.9503847830460734,1210,248,0.5,0.9960767218831735,0.9856212624764086,0.020949501863203143,0.06864396361081798
train,fixed,6,915,4,34,214,0.9674378748928878,0.981651376146789,0.8629032258064516,0.9184549356223176,0.004352557127312296,0.9292753343395697,1167,248,0.5,0.9973805679385025,0.9907772433460021,0.022517828861948,0.07412386018038439
train,fixed,7,1048,5,15,233,0.9846272098385856,0.9789915966386554,0.9395161290322581,0.9588477366255144,0.004748338081671415,0.9673838954752934,1301,248,0.5,0.9990196979444291,0.9960615400376553,0.012161402806935938,0.04371205799930666
train,fixed,8,759,2,45,203,0.9534192269573836,0.9902439024390244,0.8185483870967742,0.8962472406181016,0.002628120893561104,0.9079601331016065,1009,248,0.5,0.9961690899071679,0.9889092370222832,0.03380484126385407,0.10897291225228901
train,fixed,9,852,0,40,208,0.9636363636363636,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,1100,248,0.5,0.9966871119188248,0.9903544021830801,0.025708342961419606,0.08703618504221114
train,val_f1,0,642,0,58,190,0.9348314606741573,1.0,0.7661290322580645,0.867579908675799,0.0,0.8830645161290323,890,248,0.28,0.9961436036579239,0.9911983490008718,0.06639378992401453,0.23063362852973315
train,val_f1,1,1343,115,0,248,0.932590855803048,0.6831955922865014,1.0,0.8117839607201309,0.07887517146776406,0.960562414266118,1706,248,0.28,0.9961475065268375,0.9763804355793704,0.03201029911158726,0.09976336498529767
train,val_f1,2,514,0,70,178,0.9081364829396326,1.0,0.717741935483871,0.8356807511737089,0.0,0.8588709677419355,762,248,0.28,0.9925866072549265,0.9868775460584711,0.09349535720975785,0.366451674021755
train,val_f1,3,1703,140,0,248,0.9330463892874223,0.6391752577319587,1.0,0.779874213836478,0.0759631036353771,0.9620184481823115,2091,248,0.28,0.9988732431344407,0.9924086392862569,0.03245874823006112,0.09591701964207235
train,val_f1,4,1162,35,5,243,0.972318339100346,0.8741007194244604,0.9798387096774194,0.9239543726235742,0.029239766081871343,0.975299471797774,1445,248,0.28,0.9982011480313688,0.99209898545685,0.013937853896917837,0.048024793805851125
train,val_f1,5,938,24,12,236,0.9702479338842975,0.9076923076923077,0.9516129032258065,0.9291338582677166,0.02494802494802495,0.9633324391388908,1210,248,0.28,0.9960767218831735,0.9856212624764086,0.020949501863203143,0.06864396361081798
train,val_f1,6,909,10,15,233,0.9785775492716366,0.9588477366255144,0.9395161290322581,0.9490835030549898,0.01088139281828074,0.9643173681069888,1167,248,0.28,0.9973805679385025,0.9907772433460021,0.022517828861948,0.07412386018038439
train,val_f1,7,1036,17,5,243,0.9830899308224442,0.9346153846153846,0.9798387096774194,0.9566929133858267,0.016144349477682812,0.9818471800998683,1301,248,0.28,0.9990196979444291,0.9960615400376553,0.012161402806935938,0.04371205799930666
train,val_f1,8,754,7,27,221,0.9663032705649157,0.9692982456140351,0.8911290322580645,0.9285714285714286,0.009198423127463863,0.9409653045653004,1009,248,0.28,0.9961690899071679,0.9889092370222832,0.03380484126385407,0.10897291225228901
train,val_f1,9,845,7,19,229,0.9763636363636363,0.9703389830508474,0.9233870967741935,0.9462809917355371,0.008215962441314555,0.9575855671664395,1100,248,0.28,0.9966871119188248,0.9903544021830801,0.025708342961419606,0.08703618504221114
train,val_fpr02,0,642,0,64,184,0.9280898876404494,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,890,248,0.35000000000000003,0.9961436036579239,0.9911983490008718,0.06639378992401453,0.23063362852973315
train,val_fpr02,1,1353,105,0,248,0.9384525205158265,0.7025495750708215,1.0,0.8252911813643927,0.0720164609053498,0.9639917695473251,1706,248,0.35000000000000003,0.9961475065268375,0.9763804355793704,0.03201029911158726,0.09976336498529767
train,val_fpr02,2,514,0,75,173,0.9015748031496063,1.0,0.6975806451612904,0.8218527315914489,0.0,0.8487903225806452,762,248,0.35000000000000003,0.9925866072549265,0.9868775460584711,0.09349535720975785,0.366451674021755
train,val_fpr02,3,1715,128,0,248,0.9387852702056433,0.6595744680851063,1.0,0.7948717948717948,0.0694519804666305,0.9652740097666848,2091,248,0.35000000000000003,0.9988732431344407,0.9924086392862569,0.03245874823006112,0.09591701964207235
train,val_fpr02,4,1170,27,7,241,0.9764705882352941,0.8992537313432836,0.9717741935483871,0.9341085271317829,0.022556390977443608,0.9746089012854717,1445,248,0.35000000000000003,0.9982011480313688,0.99209898545685,0.013937853896917837,0.048024793805851125
train,val_fpr02,5,941,21,15,233,0.9702479338842975,0.9173228346456693,0.9395161290322581,0.9282868525896414,0.02182952182952183,0.9588433036013682,1210,248,0.35000000000000003,0.9960767218831735,0.9856212624764086,0.020949501863203143,0.06864396361081798
train,val_fpr02,6,912,7,19,229,0.9777206512425022,0.9703389830508474,0.9233870967741935,0.9462809917355371,0.007616974972796518,0.9578850609006985,1167,248,0.35000000000000003,0.9973805679385025,0.9907772433460021,0.022517828861948,0.07412386018038439
train,val_fpr02,7,1040,13,8,240,0.9838585703305149,0.9486166007905138,0.967741935483871,0.9580838323353293,0.012345679012345678,0.9776981282357626,1301,248,0.35000000000000003,0.9990196979444291,0.9960615400376553,0.012161402806935938,0.04371205799930666
train,val_fpr02,8,757,4,34,214,0.9623389494549058,0.981651376146789,0.8629032258064516,0.9184549356223176,0.005256241787122208,0.9288234920096647,1009,248,0.35000000000000003,0.9961690899071679,0.9889092370222832,0.03380484126385407,0.10897291225228901
train,val_fpr02,9,849,3,25,223,0.9745454545454545,0.9867256637168141,0.8991935483870968,0.9409282700421941,0.0035211267605633804,0.9478362108132667,1100,248,0.35000000000000003,0.9966871119188248,0.9903544021830801,0.025708342961419606,0.08703618504221114
validation,fixed,0,274,4,1,61,0.9852941176470589,0.9384615384615385,0.9838709677419355,0.9606299212598425,0.014388489208633094,0.9847412392666512,340,62,0.5,0.9993037827802275,0.9970146764775338,0.01031311598730771,0.03798334495545344
validation,fixed,1,256,10,0,62,0.9695121951219512,0.8611111111111112,1.0,0.9253731343283582,0.03759398496240601,0.981203007518797,328,62,0.5,0.9931481930633034,0.9704512732004754,0.0264172316441331,0.08207135519240293
validation,fixed,2,283,4,0,62,0.9885386819484241,0.9393939393939394,1.0,0.96875,0.013937282229965157,0.9930313588850175,349,62,0.5,1.0,1.0,0.008647716744511985,0.036573745396014636
validation,fixed,3,203,0,11,51,0.9584905660377359,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,265,62,0.5,0.9984903861433339,0.9954354093587363,0.02879399949590143,0.0917911209881093
validation,fixed,4,193,0,10,52,0.9607843137254902,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,255,62,0.5,0.9987464482700986,0.996233541731977,0.027376058376566394,0.08604027802249575
validation,fixed,5,215,0,10,52,0.9638989169675091,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,277,62,0.5,0.9975243810952739,0.9920191078027665,0.027964718165740404,0.08980056262913218
