epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,5.977896400111149e-09,7.715370031746716e-08,,0.0,6452080,20,6452080,6452080,0,3.8870242140000073,3.8839268370002173,0.4534672120000778,0.0018868089999841686,5.181664,12681,10,10,
2,0.45565050312683975,,,,6.168789479232828e-09,7.947456737156244e-08,,0.0,6452080,20,6452080,6452080,0,3.6435557720000133,3.6401930400003266,0.43720032300007006,0.002194465999991735,5.181664,12681,10,10,
3,0.3125739531387253,,,,6.268365382311458e-09,8.04663073949996e-08,,0.0,6452080,20,6452080,6452080,0,4.084353523999994,4.081175668000242,0.47785841999996137,0.0019339729999501287,5.181664,12681,10,10,
4,0.30843559207625276,,,,6.1365779124855635e-09,7.880620955802442e-08,,0.0,6452080,20,6452080,6452080,0,3.7383871979999412,3.7352446639999926,0.45221900199999254,0.0019856640000170955,5.181664,12681,10,10,
5,0.25810004746411197,0.19668649652460551,0.9354098360655738,0.830318690783807,6.220238102372377e-09,7.972727189553552e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7663777139999866,3.76319639500025,0.4344262490000119,0.0019992560000900994,5.181664,12681,10,10,
6,0.24090972318323148,,,,6.140065789139726e-09,7.858018591377913e-08,,0.0,6452080,20,6452080,6452080,0,3.9506636710000294,3.947559095000088,0.48352977299998656,0.0019290779999892038,5.181664,12681,10,10,
7,0.2178899081300579,,,,6.3138139161367235e-09,8.064547785124887e-08,,0.0,6452080,20,6452080,6452080,0,3.8676586029999953,3.860758740999813,0.4416874779999489,0.002018684000063331,5.181664,12681,10,10,
8,0.2001522788377698,,,,6.233652705134318e-09,7.943576463276258e-08,,0.0,6452080,20,6452080,6452080,0,3.876851117000001,3.8736900080000396,0.44415319300003375,0.001999858999965909,5.181664,12681,10,10,
9,0.1863052803302759,,,,6.1080465130203265e-09,7.766488607785504e-08,,0.0,6452080,20,6452080,6452080,0,3.8943003929999804,3.8912006160001056,0.45683195800006615,0.001930547000029037,5.181664,12681,10,10,
10,0.16187673804500424,0.1214878606759741,0.9613114754098361,0.9005059021922428,6.2493761276982696e-09,7.929659773253661e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8382529809999824,3.8349987409999358,0.462327633999962,0.0020561979999911273,5.181664,12681,10,10,
11,0.1560313681952567,,,,6.353523485103096e-09,8.048360911061536e-08,,0.0,6452080,20,6452080,6452080,0,4.054524767999965,4.051446315999897,0.4904371510000374,0.0019252090000918543,5.181664,12681,10,10,
12,0.15551226219679087,,,,6.303011002017911e-09,7.97633390448027e-08,,0.0,6452080,20,6452080,6452080,0,3.952025746000004,3.9486015800001724,0.4593557719999808,0.0021310619999894698,5.181664,12681,10,10,
13,0.13890545088249073,,,,6.3758434087901605e-09,8.05686184435217e-08,,0.0,6452080,20,6452080,6452080,0,3.708049388999939,3.705064173000096,0.4695127790000697,0.0018130239999436526,5.181664,12681,10,10,
14,0.13652279213565272,,,,6.18128170870591e-09,7.801270385243697e-08,,0.0,6452080,20,6452080,6452080,0,3.596368333999976,3.5931334139997944,0.41153058299994427,0.0019266809999862744,5.181664,12681,10,10,
