split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,868,15,12,236,0.9761273209549072,0.9402390438247012,0.9516129032258065,0.9458917835671342,0.01698754246885617,0.9673126803784752,1131,248,0.5,0.9981003178314398,0.993787975288707,0.015734368646352966,0.054550351138863556
train,fixed,1,1158,2,24,224,0.9815340909090909,0.9911504424778761,0.9032258064516129,0.9451476793248945,0.0017241379310344827,0.9507508342602893,1408,248,0.5,0.9984253337041157,0.9931739862374332,0.01474842665542783,0.05023613593871193
train,fixed,2,1082,7,14,234,0.9842931937172775,0.970954356846473,0.9435483870967742,0.9570552147239264,0.006427915518824609,0.9685602357889749,1337,248,0.5,0.9981338309784058,0.9930177503270932,0.014179526244471195,0.05196838220086849
train,fixed,3,995,4,15,233,0.9847634322373697,0.9831223628691983,0.9395161290322581,0.9608247422680413,0.004004004004004004,0.967756062514127,1247,248,0.5,0.9984823533210629,0.9945865327586175,0.013589715992059336,0.04920314725881493
train,fixed,4,926,7,11,237,0.9847586790855207,0.9713114754098361,0.9556451612903226,0.9634146341463414,0.007502679528403001,0.9740712408809598,1181,248,0.5,0.9986515921584898,0.995402789883123,0.013043494239202697,0.04952744749534943
train,fixed,5,821,14,19,229,0.9695290858725761,0.9423868312757202,0.9233870967741935,0.9327902240325866,0.016766467065868262,0.9533103148541626,1083,248,0.5,0.9970494494881206,0.9902299146054383,0.01937113913214826,0.06421402265176554
train,fixed,6,931,12,23,225,0.9706129303106633,0.9493670886075949,0.907258064516129,0.9278350515463918,0.012725344644750796,0.9472663599356891,1191,248,0.5,0.9950868881059076,0.9843858115981005,0.02146324100533074,0.07251118569701838
train,fixed,7,938,13,9,239,0.981651376146789,0.9484126984126984,0.9637096774193549,0.956,0.013669821240799159,0.9750199280892778,1199,248,0.5,0.9978291102744141,0.9921621127416211,0.014822802153363897,0.05302096484141069
train,fixed,8,1102,35,7,241,0.9696750902527076,0.8731884057971014,0.9717741935483871,0.9198473282442748,0.030782761653474055,0.9704957159474565,1385,248,0.5,0.9957585042698669,0.980380324044369,0.022810222942439784,0.0785875723744177
train,fixed,9,1260,11,19,229,0.9802501645819618,0.9541666666666667,0.9233870967741935,0.9385245901639344,0.00865460267505901,0.9573662470495672,1519,248,0.5,0.9967037638638614,0.9859896703449185,0.016433245323412487,0.0576157779133172
