epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,5.977896400111149e-09,7.715370031746716e-08,,0.0,6452080,20,6452080,6452080,0,3.9630556470001466,3.959558181002649,0.4633589149998443,0.0021870809996471507,5.181664,12681,10,10,
2,0.45565050312683975,,,,6.168789479232828e-09,7.947456737156244e-08,,0.0,6452080,20,6452080,6452080,0,3.682555167000828,3.6798748099972727,0.43604817199957324,0.0016509689994563814,5.181664,12681,10,10,
3,0.3125739531387253,,,,6.268365382311458e-09,8.04663073949996e-08,,0.0,6452080,20,6452080,6452080,0,3.592154051999387,3.588929397996253,0.4295158939985413,0.002057124000202748,5.181664,12681,10,10,
4,0.30843559207625276,,,,6.1365779124855635e-09,7.880620955802442e-08,,0.0,6452080,20,6452080,6452080,0,3.7075193769996986,3.704452059999312,0.42467432400007965,0.0018873509998229565,5.181664,12681,10,10,
5,0.25810004746411197,0.19668649652460551,0.9354098360655738,0.830318690783807,6.220238102372377e-09,7.972727189553552e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.486399319001066,3.4836445019955136,0.4063770659995498,0.0017311210012849187,5.181664,12681,10,10,
6,0.24090972318323148,,,,6.140065789139726e-09,7.858018591377913e-08,,0.0,6452080,20,6452080,6452080,0,3.6503804399999353,3.6472459679989697,0.41503735199876246,0.0019621479987108614,5.181664,12681,10,10,
7,0.2178899081300579,,,,6.3138139161367235e-09,8.064547785124887e-08,,0.0,6452080,20,6452080,6452080,0,3.7145848220006883,3.7111708670036023,0.4401419350015203,0.002118127000358072,5.181664,12681,10,10,
8,0.2001522788377698,,,,6.233652705134318e-09,7.943576463276258e-08,,0.0,6452080,20,6452080,6452080,0,3.604640309000388,3.601133143996776,0.3993469199995161,0.00217451299977256,5.181664,12681,10,10,
9,0.1863052803302759,,,,6.1080465130203265e-09,7.766488607785504e-08,,0.0,6452080,20,6452080,6452080,0,3.802041458000531,3.7988012349978817,0.4594975070012879,0.002051358000244363,5.181664,12681,10,10,
10,0.16187673804500424,0.1214878606759741,0.9613114754098361,0.9005059021922428,6.2493761276982696e-09,7.929659773253661e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8154893159990024,3.812317025998709,0.47910321899871633,0.002008885001487215,5.181664,12681,10,10,
