split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,862,21,3,245,0.9787798408488063,0.9210526315789473,0.9879032258064516,0.953307392996109,0.02378255945639864,0.9820603331750265,1131,248,0.5,0.9992876191867899,0.9976089206026004,0.014297312615701739,0.05178620258777964
train,fixed,1,1156,4,18,230,0.984375,0.9829059829059829,0.9274193548387096,0.9543568464730291,0.0034482758620689655,0.9619855394883203,1408,248,0.5,0.9985087597330368,0.9936934911658866,0.013097877939841013,0.047298361198884524
train,fixed,2,1072,17,11,237,0.9790575916230366,0.9330708661417323,0.9556451612903226,0.9442231075697212,0.015610651974288337,0.9700172546580171,1337,248,0.5,0.9980745875174027,0.9924485516298907,0.01578920265421258,0.05597279237798295
train,fixed,3,986,13,6,242,0.9847634322373697,0.9490196078431372,0.9758064516129032,0.9622266401590457,0.013013013013013013,0.9813967192999451,1247,248,0.5,0.9987447124543899,0.9952290137765087,0.012702341469575907,0.04634028405668026
train,fixed,4,922,11,5,243,0.9864521591871296,0.9566929133858267,0.9798387096774194,0.9681274900398407,0.011789924973204717,0.9840243923521073,1181,248,0.5,0.998997337758877,0.9962466939460267,0.012297675148418473,0.04781964569372128
train,fixed,5,817,18,14,234,0.9704524469067405,0.9285714285714286,0.9435483870967742,0.936,0.02155688622754491,0.9609957504346147,1083,248,0.5,0.9974067993046166,0.9914823513930049,0.01808931289296809,0.061743434598785826
train,fixed,6,927,16,23,225,0.9672544080604534,0.9336099585062241,0.907258064516129,0.9202453987730062,0.016967126193001062,0.945145469161564,1191,248,0.5,0.9957240105360381,0.9857425506291116,0.021142015048430683,0.06910867688661086
train,fixed,7,936,15,4,244,0.9841534612176814,0.9420849420849421,0.9838709677419355,0.9625246548323472,0.015772870662460567,0.9840490485397375,1199,248,0.5,0.9989315152131882,0.9959835866465506,0.012335246109396947,0.04614028396690879
train,fixed,8,1096,41,7,241,0.9653429602888086,0.8546099290780141,0.9717741935483871,0.909433962264151,0.03605980650835532,0.967857193520016,1385,248,0.5,0.9953684001475303,0.9797454603667886,0.02543122670120612,0.08564846071091328
train,fixed,9,1251,20,15,233,0.9769585253456221,0.9209486166007905,0.9395161290322581,0.9301397205588823,0.015735641227380016,0.961890243902439,1519,248,0.5,0.9964880332986472,0.9837499482965819,0.017885852517829613,0.06062206041145926
train,val_f1,0,855,28,1,247,0.9743589743589743,0.8981818181818182,0.9959677419354839,0.9445506692160612,0.031710079275198186,0.9821288313301428,1131,248,0.44,0.9992876191867899,0.9976089206026004,0.014297312615701739,0.05178620258777964
train,val_f1,1,1152,8,13,235,0.9850852272727273,0.9670781893004116,0.9475806451612904,0.9572301425661914,0.006896551724137931,0.9703420467185762,1408,248,0.44,0.9985087597330368,0.9936934911658866,0.013097877939841013,0.047298361198884524
train,val_f1,2,1063,26,9,239,0.9738219895287958,0.9018867924528302,0.9637096774193549,0.9317738791423001,0.023875114784205693,0.9699172813175746,1337,248,0.44,0.9980745875174027,0.9924485516298907,0.01578920265421258,0.05597279237798295
train,val_f1,3,982,17,6,242,0.9815557337610264,0.9343629343629344,0.9758064516129032,0.9546351084812623,0.01701701701701702,0.9793947172979431,1247,248,0.44,0.9987447124543899,0.9952290137765087,0.012702341469575907,0.04634028405668026
train,val_f1,4,918,15,3,245,0.9847586790855207,0.9423076923076923,0.9879032258064516,0.9645669291338582,0.01607717041800643,0.9859130276942226,1181,248,0.44,0.998997337758877,0.9962466939460267,0.012297675148418473,0.04781964569372128
train,val_f1,5,816,19,10,238,0.9732225300092336,0.9260700389105059,0.9596774193548387,0.9425742574257425,0.022754491017964073,0.9684614641684373,1083,248,0.44,0.9974067993046166,0.9914823513930049,0.01808931289296809,0.061743434598785826
train,val_f1,6,925,18,18,230,0.9697732997481109,0.9274193548387096,0.9274193548387096,0.9274193548387096,0.019088016967126194,0.9541656689357918,1191,248,0.44,0.9957240105360381,0.9857425506291116,0.021142015048430683,0.06910867688661086
train,val_f1,7,932,19,3,245,0.981651376146789,0.928030303030303,0.9879032258064516,0.95703125,0.019978969505783387,0.9839621281503341,1199,248,0.44,0.9989315152131882,0.9959835866465506,0.012335246109396947,0.04614028396690879
train,val_f1,8,1091,46,6,242,0.9624548736462094,0.8402777777777778,0.9758064516129032,0.9029850746268657,0.040457343887423045,0.96767455386274,1385,248,0.44,0.9953684001475303,0.9797454603667886,0.02543122670120612,0.08564846071091328
train,val_f1,9,1246,25,13,235,0.9749835418038183,0.9038461538461539,0.9475806451612904,0.9251968503937008,0.01966955153422502,0.9639555468135327,1519,248,0.44,0.9964880332986472,0.9837499482965819,0.017885852517829613,0.06062206041145926
train,val_fpr02,0,858,25,1,247,0.9770114942528736,0.9080882352941176,0.9959677419354839,0.95,0.028312570781426953,0.9838275855770284,1131,248,0.46,0.9992876191867899,0.9976089206026004,0.014297312615701739,0.05178620258777964
train,val_fpr02,1,1153,7,14,234,0.9850852272727273,0.970954356846473,0.9435483870967742,0.9570552147239264,0.00603448275862069,0.9687569521690768,1408,248,0.46,0.9985087597330368,0.9936934911658866,0.013097877939841013,0.047298361198884524
train,val_fpr02,2,1065,24,9,239,0.975317875841436,0.908745247148289,0.9637096774193549,0.9354207436399217,0.02203856749311295,0.9708355549631209,1337,248,0.46,0.9980745875174027,0.9924485516298907,0.01578920265421258,0.05597279237798295
train,val_fpr02,3,984,15,6,242,0.983159582999198,0.9416342412451362,0.9758064516129032,0.9584158415841584,0.015015015015015015,0.9803957182989441,1247,248,0.46,0.9987447124543899,0.9952290137765087,0.012702341469575907,0.04634028405668026
train,val_fpr02,4,918,15,4,244,0.9839119390347163,0.9420849420849421,0.9838709677419355,0.9625246548323472,0.01607717041800643,0.9838968986619645,1181,248,0.46,0.998997337758877,0.9962466939460267,0.012297675148418473,0.04781964569372128
train,val_fpr02,5,816,19,10,238,0.9732225300092336,0.9260700389105059,0.9596774193548387,0.9425742574257425,0.022754491017964073,0.9684614641684373,1083,248,0.46,0.9974067993046166,0.9914823513930049,0.01808931289296809,0.061743434598785826
train,val_fpr02,6,927,16,19,229,0.9706129303106633,0.9346938775510204,0.9233870967741935,0.9290060851926978,0.016967126193001062,0.9532099852905962,1191,248,0.46,0.9957240105360381,0.9857425506291116,0.021142015048430683,0.06910867688661086
train,val_fpr02,7,934,17,4,244,0.9824854045037531,0.9348659003831418,0.9838709677419355,0.9587426326129665,0.017875920084121977,0.9829975238289068,1199,248,0.46,0.9989315152131882,0.9959835866465506,0.012335246109396947,0.04614028396690879
train,val_fpr02,8,1093,44,6,242,0.9638989169675091,0.8461538461538461,0.9758064516129032,0.9063670411985019,0.03869832893579595,0.9685540613385537,1385,248,0.46,0.9953684001475303,0.9797454603667886,0.02543122670120612,0.08564846071091328
train,val_fpr02,9,1248,23,13,235,0.9763001974983542,0.9108527131782945,0.9475806451612904,0.9288537549407114,0.01809598741148702,0.9647423288749017,1519,248,0.46,0.9964880332986472,0.9837499482965819,0.017885852517829613,0.06062206041145926
validation,fixed,0,273,5,1,61,0.9823529411764705,0.9242424242424242,0.9838709677419355,0.953125,0.017985611510791366,0.9829426781155721,340,62,0.5,0.9992457646785797,0.9967669186855512,0.013160540336039021,0.047104935559624944
validation,fixed,1,253,13,0,62,0.9603658536585366,0.8266666666666667,1.0,0.9051094890510949,0.04887218045112782,0.9755639097744361,328,62,0.5,0.9966650497210768,0.9863880913620028,0.027873460710009915,0.08746431278486085
validation,fixed,2,285,2,1,61,0.9914040114613181,0.9682539682539683,0.9838709677419355,0.976,0.006968641114982578,0.9884511633134765,349,62,0.5,0.9998314038439923,0.9992358220603537,0.009698255805441059,0.04304131031224996
validation,fixed,3,201,2,2,60,0.9849056603773585,0.967741935483871,0.967741935483871,0.967741935483871,0.009852216748768473,0.9789448593675513,265,62,0.5,0.999523279834737,0.9985104501233533,0.011106828593729245,0.045702055712230814
validation,fixed,4,192,1,2,60,0.9882352941176471,0.9836065573770492,0.967741935483871,0.975609756097561,0.0051813471502590676,0.981280294166806,255,62,0.5,0.9996657195386929,0.9989954374449691,0.012561730828041223,0.05595923487313766
validation,fixed,5,210,5,0,62,0.9819494584837545,0.9253731343283582,1.0,0.9612403100775194,0.023255813953488372,0.9883720930232558,277,62,0.5,0.9999249812453114,0.9997439836149513,0.017014362452736922,0.06585196663236469
validation,fixed,6,256,7,2,60,0.9723076923076923,0.8955223880597015,0.967741935483871,0.9302325581395349,0.026615969581749048,0.9705629829510609,325,62,0.5,0.9982828406721452,0.993267157619591,0.016696796645516924,0.052835734567006444
