epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.6110938279818346,,,,7.319501449387644e-09,9.458535288331404e-08,,0.0,12904160,40,12904160,12904160,0,3.94438750900008,3.9383663599983265,0.29234590499982005,0.0035386690015002387,10.343328,12681,20,20,
2,0.48661662412792656,,,,7.485635222792553e-09,9.659782307380738e-08,,0.0,12904160,40,12904160,12904160,0,3.6887634439990507,3.6828836929944373,0.2927896250002959,0.0036229979996278416,10.343328,12681,20,20,
3,0.4097872425302317,,,,7.584487704548337e-09,9.766706909886125e-08,,0.0,12904160,40,12904160,12904160,0,3.8196277700008068,3.81341267300013,0.34527348799929314,0.0038735939997422975,10.343328,12681,20,20,
4,0.3261424272023386,,,,7.701927984271606e-09,9.902790765181635e-08,,0.0,12904160,40,12904160,12904160,0,3.9229357929998514,3.9170713249968685,0.30152603600072325,0.003570256998500554,10.343328,12681,20,20,
5,0.32598210622798884,0.2665586166797945,0.9019672131147541,0.7853553481694185,7.669220813966149e-09,9.856592697587985e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.88417876099993,3.878023964996828,0.29835170499973174,0.0038718280011380557,10.343328,12681,20,20,
6,0.31617286591845706,,,,7.358412101865497e-09,9.453540883441747e-08,,0.0,12904160,40,12904160,12904160,0,3.7277563810002903,3.7220042669941904,0.2923626249994413,0.0035334219992364524,10.343328,12681,20,20,
7,0.29448833187735324,,,,7.453799355516821e-09,9.570786119184049e-08,,0.0,12904160,40,12904160,12904160,0,3.6573126740004227,3.6518330780036194,0.2934321379998437,0.0032253579993266612,10.343328,12681,20,20,
8,0.28644833361624655,,,,7.597878770582156e-09,9.749722096330515e-08,,0.0,12904160,40,12904160,12904160,0,3.8853960309988906,3.879256030999386,0.3180263260001084,0.0036908999991283054,10.343328,12681,20,20,
9,0.2653282506313156,,,,7.61753149447486e-09,9.767715170028168e-08,,0.0,12904160,40,12904160,12904160,0,3.722981498000081,3.7168565389983996,0.285712760000024,0.003742291999515146,10.343328,12681,20,20,
10,0.2574932900782668,0.21079963875540456,0.9275409836065573,0.8337095560571859,7.567694026988647e-09,9.69608251466525e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.530147987001328,3.5246738589994493,0.28536843199981377,0.0033272780001425417,10.343328,12681,20,20,
11,0.24803286031783506,,,,7.663971679505721e-09,9.812097090389216e-08,,0.0,12904160,40,12904160,12904160,0,3.549342477999744,3.5434188789986365,0.2907548910006881,0.0036537590003717924,10.343328,12681,20,20,
12,0.24392090850235584,,,,7.566194781816193e-09,9.679356338665457e-08,,0.0,12904160,40,12904160,12904160,0,3.5098451279991423,3.503789173995756,0.28333446999931766,0.003730908998477389,10.343328,12681,20,20,
13,0.2285104734383206,,,,7.314199468311244e-09,9.348321583502184e-08,,0.0,12904160,40,12904160,12904160,0,4.038317368000207,4.032289288001266,0.3068832509998174,0.003688206999868271,10.343328,12681,20,20,
14,0.22188867335372678,,,,7.573583538089679e-09,9.669822276237028e-08,,0.0,12904160,40,12904160,12904160,0,3.908524522999869,3.90116500199656,0.30265889200018137,0.0036842449990217574,10.343328,12681,20,20,
15,0.21029985403610926,0.16469726189695144,0.9442622950819672,0.8667711598746082,7.410854152567481e-09,9.45299731824889e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.751132265999331,3.7451357830068446,0.3101424500000576,0.003688198999952874,10.343328,12681,20,20,
16,0.2040725119779009,,,,7.399003187913422e-09,9.427204616940799e-08,,0.0,12904160,40,12904160,12904160,0,3.6577531120001368,3.651271774999259,0.28385138399971765,0.0038633289987046737,10.343328,12681,20,20,
17,0.20274892001220932,,,,7.62040563984101e-09,9.69859783594984e-08,,0.0,12904160,40,12904160,12904160,0,3.776505318001,3.77052009000181,0.29591419999997015,0.0037046459983685054,10.343328,12681,20,20,
18,0.19210805461052227,,,,7.58572316073014e-09,9.644590193147451e-08,,0.0,12904160,40,12904160,12904160,0,3.648917413000163,3.642840422999143,0.29391736300021876,0.0037109990007593296,10.343328,12681,20,20,
19,0.18082855907784953,,,,7.515306599259475e-09,9.54381818019101e-08,,0.0,12904160,40,12904160,12904160,0,3.7689461289992323,3.762962395998329,0.3041973780000262,0.0037058840007375693,10.343328,12681,20,20,
