split,node,engines,windows,positive,positive_fraction
train,0,4,501,124,0.24750499001996007
train,1,4,630,124,0.19682539682539682
train,2,4,786,124,0.15776081424936386
train,3,4,622,124,0.19935691318327975
train,4,4,653,124,0.18989280245022971
train,5,4,684,124,0.18128654970760233
train,6,4,699,124,0.17739628040057226
train,7,4,548,124,0.22627737226277372
train,8,4,639,124,0.19405320813771518
train,9,4,542,124,0.22878228782287824
train,10,4,576,124,0.2152777777777778
train,11,4,507,124,0.2445759368836292
train,12,4,562,124,0.2206405693950178
train,13,4,629,124,0.1971383147853736
train,14,4,518,124,0.23938223938223938
train,15,4,681,124,0.18208516886930984
train,16,4,644,124,0.19254658385093168
train,17,4,741,124,0.16734143049932523
train,18,4,968,124,0.128099173553719
train,19,4,551,124,0.2250453720508167
validation,0,1,181,31,0.1712707182320442
validation,1,1,164,31,0.18902439024390244
validation,2,1,210,31,0.14761904761904762
validation,3,1,121,31,0.256198347107438
validation,4,1,109,31,0.28440366972477066
validation,5,1,168,31,0.18452380952380953
validation,6,1,143,31,0.21678321678321677
validation,7,1,164,31,0.18902439024390244
validation,8,1,244,31,0.12704918032786885
validation,9,1,86,31,0.36046511627906974
validation,10,1,159,31,0.1949685534591195
validation,11,1,164,31,0.18902439024390244
validation,12,1,139,31,0.22302158273381295
validation,13,1,144,31,0.2152777777777778
validation,14,1,146,31,0.21232876712328766
validation,15,1,109,31,0.28440366972477066
validation,16,1,182,31,0.17032967032967034
validation,17,1,153,31,0.20261437908496732
validation,18,1,160,31,0.19375
validation,19,1,104,31,0.2980769230769231
test,0,5,449,49,0.1091314031180401
test,1,5,567,23,0.04056437389770723
test,2,5,307,0,0.0
test,3,5,406,31,0.07635467980295567
test,4,5,389,10,0.02570694087403599
test,5,5,531,24,0.04519774011299435
test,6,5,396,13,0.03282828282828283
test,7,5,498,10,0.020080321285140562
test,8,5,606,33,0.054455445544554455
test,9,5,344,0,0.0
test,10,5,454,3,0.006607929515418502
test,11,5,424,34,0.08018867924528301
test,12,5,465,29,0.06236559139784946
test,13,4,331,0,0.0
test,14,4,346,18,0.05202312138728324
test,15,4,334,0,0.0
test,16,4,344,0,0.0
test,17,4,288,3,0.010416666666666666
test,18,4,291,21,0.07216494845360824
test,19,4,485,31,0.06391752577319587
