split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,373,4,5,119,0.9820359281437125,0.967479674796748,0.9596774193548387,0.9635627530364372,0.010610079575596816,0.974533669889621,501,124,0.5,0.9989090442371866,0.9966309589584039,0.01326208588903464,0.0523229495786708
train,fixed,1,481,25,3,121,0.9555555555555556,0.8287671232876712,0.9758064516129032,0.8962962962962963,0.04940711462450593,0.9631996684941986,630,124,0.5,0.9974977687109524,0.990994220543151,0.02448223040660487,0.08201233846689258
train,fixed,2,652,10,10,114,0.9745547073791349,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.015105740181268883,0.9521245492642043,786,124,0.5,0.9967595750901472,0.9854328314754177,0.017359629838087684,0.06147627481386273
train,fixed,3,481,17,9,115,0.9581993569131833,0.8712121212121212,0.9274193548387096,0.8984375,0.03413654618473896,0.9466414043269853,622,124,0.5,0.994105454074362,0.9794017678225588,0.02704456818379057,0.0853870280549208
train,fixed,4,515,14,5,119,0.9709035222052067,0.8947368421052632,0.9596774193548387,0.9260700389105059,0.026465028355387523,0.9666061954997256,653,124,0.5,0.9972406854076469,0.98940695538913,0.021230387072184997,0.07380869870536146
train,fixed,5,551,9,7,117,0.9766081871345029,0.9285714285714286,0.9435483870967742,0.936,0.01607142857142857,0.9637384792626729,684,124,0.5,0.997926267281106,0.9916221522536199,0.01757750866916858,0.06629047449115734
train,fixed,6,560,15,5,119,0.9713876967095851,0.8880597014925373,0.9596774193548387,0.9224806201550387,0.02608695652173913,0.9667952314165498,699,124,0.5,0.9967601683029452,0.9878927513839013,0.02072462413398534,0.06978344200940408
train,fixed,7,418,6,6,118,0.9781021897810219,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.014150943396226415,0.9687309799147901,548,124,0.5,0.9983072124163116,0.9945191008255849,0.016123562094325306,0.058416437890154764
train,fixed,8,506,9,6,118,0.9765258215962441,0.9291338582677166,0.9516129032258065,0.9402390438247012,0.017475728155339806,0.9670685875352334,639,124,0.5,0.9971500156592547,0.9888807729329101,0.018647682086894442,0.06820883784143573
train,fixed,9,415,3,5,119,0.985239852398524,0.9754098360655737,0.9596774193548387,0.967479674796748,0.007177033492822967,0.9762501929310079,542,124,0.5,0.998533724340176,0.9954918256941563,0.016614500560421522,0.06660157475551994
train,fixed,10,451,1,9,115,0.9826388888888888,0.9913793103448276,0.9274193548387096,0.9583333333333334,0.0022123893805309734,0.9626034827290894,576,124,0.5,0.9983763916642877,0.9948369242451945,0.016704392981856234,0.06217273530257608
train,fixed,11,367,16,8,116,0.9526627218934911,0.8787878787878788,0.9354838709677419,0.90625,0.04177545691906005,0.9468542070243409,507,124,0.5,0.9935989219236924,0.9811124161147355,0.03006373027217197,0.1007628708543871
train,fixed,12,432,6,19,105,0.9555160142348754,0.9459459459459459,0.8467741935483871,0.8936170212765957,0.0136986301369863,0.9165377817057003,562,124,0.5,0.993813521873619,0.9793409623477034,0.02774013109383064,0.09001448226050204
train,fixed,13,493,12,12,112,0.9618441971383148,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.023762376237623763,0.9397317151069946,629,124,0.5,0.9885180453529224,0.9679210095266484,0.02951046679607918,0.10575657422477198
train,fixed,14,392,2,7,117,0.9826254826254827,0.9831932773109243,0.9435483870967742,0.9629629629629629,0.005076142131979695,0.9692361224823973,518,124,0.5,0.9981783199607008,0.9948866455614348,0.015115731661719704,0.05782268485618123
train,fixed,15,544,13,1,123,0.9794419970631424,0.9044117647058824,0.9919354838709677,0.9461538461538461,0.02333931777378815,0.9842980830485898,681,124,0.5,0.9992905542364047,0.9967998220292329,0.016208695921563473,0.06260473112188596
train,fixed,16,509,11,4,120,0.9767080745341615,0.916030534351145,0.967741935483871,0.9411764705882353,0.021153846153846155,0.9732940446650125,644,124,0.5,0.9980303970223324,0.9922529583002948,0.0200645576826994,0.07386781238889774
