epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.6608285460675936,,,,7.819664915587055e-09,1.0109636860988758e-07,,0.0,25808320,80,25808320,25808320,0,3.7503881649990944,3.7396691770009056,0.1674972330001765,0.006673416999547044,20.666656,12681,40,40,
2,0.5281283989955593,,,,7.553863312637077e-09,9.756089980328397e-08,,0.0,25808320,80,25808320,25808320,0,3.8544053450004867,3.8435787719990913,0.15032090299973788,0.0066394919995218515,20.666656,12681,40,40,
3,0.4965474923662355,,,,8.11621614360547e-09,1.0477858580770771e-07,,0.0,25808320,80,25808320,25808320,0,3.978702032000001,3.967642090996378,0.17343556900050316,0.006807286999901407,20.666656,12681,40,40,
4,0.45694264339726043,,,,7.928061762640937e-09,1.0223104141005024e-07,,0.0,25808320,80,25808320,25808320,0,3.968544084998939,3.954062292001254,0.16866874100014684,0.008888739001122303,20.666656,12681,40,40,
5,0.4033397970719742,0.33146533446485527,0.861639344262295,0.4841075794621027,8.162529319122314e-09,1.0512452774946723e-07,0.0,0.0,25808320,80,25808320,25808320,0,4.045610449000378,4.032585827999355,0.16367561199876945,0.007517951000409084,20.666656,12681,40,40,
6,0.3455206340965344,,,,8.15617351435094e-09,1.0493291568991481e-07,,0.0,25808320,80,25808320,25808320,0,3.949086853999688,3.937879516999601,0.16744226999981038,0.0067458169996825745,20.666656,12681,40,40,
7,0.3277158916700936,,,,8.169632081944656e-09,1.0503918446147509e-07,,0.0,25808320,80,25808320,25808320,0,3.71467890400163,3.7030546460027836,0.16592499199941813,0.0072435259990015766,20.666656,12681,40,40,
8,0.30595737800941614,,,,8.11378964016285e-09,1.0427207541852113e-07,,0.0,25808320,80,25808320,25808320,0,3.7457860530012113,3.733503101999304,0.15351674700104923,0.007735107999906177,20.666656,12681,40,40,
9,0.32067542322449927,,,,8.118875349794052e-09,1.0431174501945861e-07,,0.0,25808320,80,25808320,25808320,0,3.956455614001243,3.9441483250011515,0.16421878100118192,0.007287158001417993,20.666656,12681,40,40,
10,0.2984599916346638,0.2288957634341431,0.921311475409836,0.7916666666666666,8.294618325521697e-09,1.065338040007191e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.72234828100045,3.7108169679959246,0.14783486799933598,0.007023474998277379,20.666656,12681,40,40,
11,0.3018657090313456,,,,8.053324229706504e-09,1.0341084788478838e-07,,0.0,25808320,80,25808320,25808320,0,3.498382022999067,3.486985346000438,0.1398679470003117,0.006958287000088603,20.666656,12681,40,40,
12,0.2876645567282857,,,,8.24588664016801e-09,1.0585004872609716e-07,,0.0,25808320,80,25808320,25808320,0,3.8555675850002444,3.84421010099868,0.16422127500118222,0.006784241000787006,20.666656,12681,40,40,
13,0.2966817303695454,,,,8.125914163770176e-09,1.0429040031567638e-07,,0.0,25808320,80,25808320,25808320,0,3.5544178719992487,3.5423357729960117,0.14119764600036433,0.007440036999469157,20.666656,12681,40,40,
14,0.26793355206365266,,,,7.979240379540897e-09,1.023684177425821e-07,,0.0,25808320,80,25808320,25808320,0,3.670494283000153,3.6589650099940627,0.14816311600043264,0.006964038999285549,20.666656,12681,40,40,
15,0.2733588493379118,0.21287681481139809,0.9252459016393443,0.822429906542056,7.850485594929069e-09,1.0068598044199462e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.847868462000406,3.835470988000452,0.15478602899929683,0.007562431999758701,20.666656,12681,40,40,
16,0.26109625762074373,,,,8.250514937913067e-09,1.0578047948683889e-07,,0.0,25808320,80,25808320,25808320,0,3.796315981000589,3.784703178005657,0.16541696199965372,0.007020742999884533,20.666656,12681,40,40,
17,0.26062436638130854,,,,8.381024763082223e-09,1.0741510436673707e-07,,0.0,25808320,80,25808320,25808320,0,3.5531047690001287,3.541364220995092,0.13620047400036128,0.0071391250003216555,20.666656,12681,40,40,
18,0.24884676932074568,,,,8.109183546878285e-09,1.038863501889864e-07,,0.0,25808320,80,25808320,25808320,0,3.7519098480006505,3.7403685620047327,0.1526215570011118,0.0070825990005687345,20.666656,12681,40,40,
19,0.25270529839553696,,,,8.027188691528409e-09,1.0280311357746541e-07,,0.0,25808320,80,25808320,25808320,0,3.703962588999275,3.6762620260014955,0.15076442399913503,0.02320619199963403,20.666656,12681,40,40,
20,0.2375941446517448,0.1852817247969253,0.9334426229508197,0.8295549958018472,8.099713788567442e-09,1.036860695080577e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.615894978000142,3.6043366710036935,0.1459090099997411,0.007080707999193692,20.666656,12681,40,40,
21,0.249560945989042,,,,8.1539806018327e-09,1.0435132224984045e-07,,0.0,25808320,80,25808320,25808320,0,3.8257426740001392,3.814272074992914,0.1521214410004177,0.007199274999948102,20.666656,12681,40,40,
22,0.22885653463871442,,,,8.158995257190327e-09,1.0437466357871017e-07,,0.0,25808320,80,25808320,25808320,0,3.4921705739998288,3.479820364000261,0.14059007200012275,0.007509267001296394,20.666656,12681,40,40,
23,0.2415032774308134,,,,7.964818138361807e-09,1.0185500798343128e-07,,0.0,25808320,80,25808320,25808320,0,3.592258029999357,3.5804501040056493,0.138035875001151,0.007142325999666355,20.666656,12681,40,40,
24,0.2250060775834652,,,,8.179782184924989e-09,1.0456169263761694e-07,,0.0,25808320,80,25808320,25808320,0,3.855888589998358,3.84427809700901,0.15260249000129988,0.0070980619984766236,20.666656,12681,40,40,
25,0.2396469162111788,0.1846853100432727,0.9318032786885246,0.842185128983308,7.98376564858927e-09,1.0201867439718626e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.651676456000132,3.6395933920011885,0.14561151800080552,0.007283126999027445,20.666656,12681,40,40,
26,0.22110420648533635,,,,8.282357022437736e-09,1.0578706621799938e-07,,0.0,25808320,80,25808320,25808320,0,3.643265976999828,3.631590345001314,0.15367455599880486,0.007130883999707294,20.666656,12681,40,40,
27,0.23450706346460154,,,,8.20421330871568e-09,1.0474652611947022e-07,,0.0,25808320,80,25808320,25808320,0,4.020934985001077,4.008963661002781,0.16978385199945478,0.007290037001439487,20.666656,12681,40,40,
28,0.20662875371454134,,,,7.993524953064934e-09,1.0200684386063585e-07,,0.0,25808320,80,25808320,25808320,0,3.68350686300073,3.672003832003611,0.1444490779995249,0.006980185999054811,20.666656,12681,40,40,
29,0.22393943121231388,,,,7.981815208779608e-09,1.0181462073433067e-07,,0.0,25808320,80,25808320,25808320,0,3.5555445320005674,3.5438912000008713,0.15116155100076867,0.007135091000236571,20.666656,12681,40,40,
30,0.20428657927005908,0.1607195011334318,0.9413114754098361,0.8455565142364107,8.070037083030002e-09,1.0289114982242609e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.650275841000621,3.638780910983769,0.1587410579995776,0.007037687000774895,20.666656,12681,40,40,
31,0.2173777333210299,,,,8.154534825166593e-09,1.0391882199201063e-07,,0.0,25808320,80,25808320,25808320,0,3.813908326999808,3.802290534998974,0.16619364399957703,0.0070921169990469934,20.666656,12681,40,40,
32,0.1957404630500846,,,,7.83860620856558e-09,9.984794502315708e-08,,0.0,25808320,80,25808320,25808320,0,3.5443302650000987,3.5322754189928673,0.15800502599995525,0.007122736000383156,20.666656,12681,40,40,
33,0.2158381346084089,,,,8.386625616196852e-09,1.0678296291644074e-07,,0.0,25808320,80,25808320,25808320,0,3.7896300520005752,3.777755924989833,0.15677303499978734,0.007294798999282648,20.666656,12681,40,40,
34,0.19944557859165765,,,,8.037624787959885e-09,1.0229018698737491e-07,,0.0,25808320,80,25808320,25808320,0,3.5963232229987625,3.5849707480010693,0.14279470300061803,0.006874708000395913,20.666656,12681,40,40,
35,0.20603334986488225,0.1523954085269441,0.9455737704918032,0.8707165109034268,8.154820818617736e-09,1.0373436509780731e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.6645184490007523,3.6525089669976296,0.14865923500110512,0.00733771299928776,20.666656,12681,40,40,
36,0.18171448394911952,,,,8.11920930487986e-09,1.0322688126507273e-07,,0.0,25808320,80,25808320,25808320,0,3.787763738000649,3.7763683989978745,0.15043132299979334,0.006973974999709753,20.666656,12681,40,40,
37,0.1968307657220011,,,,7.910660571042172e-09,1.0053319954295148e-07,,0.0,25808320,80,25808320,25808320,0,3.4097468979998666,3.3993048010015627,0.13268950300152937,0.006326411999907577,20.666656,12681,40,40,
38,0.18966093332803724,,,,8.066419532326563e-09,1.0246232307054015e-07,,0.0,25808320,80,25808320,25808320,0,3.59500286399998,3.583802962994014,0.14130975899934128,0.006787849000829738,20.666656,12681,40,40,
