split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,182,0,19,43,0.9221311475409836,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,244,62,0.5,0.9929989365473236,0.9800329569421197,0.05781216065463659,0.17842481517889186
train,fixed,1,195,0,27,35,0.8949416342412452,1.0,0.5645161290322581,0.7216494845360825,0.0,0.782258064516129,257,62,0.5,1.0,1.0,0.0735696550655364,0.21733240029795745
train,fixed,2,283,14,10,52,0.9331476323119777,0.7878787878787878,0.8387096774193549,0.8125,0.04713804713804714,0.8957858151406539,359,62,0.5,0.9827848376235473,0.9414153806967205,0.040318916216758614,0.12994544110877557
train,fixed,3,209,0,2,60,0.992619926199262,1.0,0.967741935483871,0.9836065573770492,0.0,0.9838709677419355,271,62,0.5,0.9997684827905541,0.9992358220603537,0.02372008210384168,0.09873159441552858
train,fixed,4,444,14,3,59,0.9673076923076923,0.8082191780821918,0.9516129032258065,0.8740740740740741,0.03056768558951965,0.9605226088181434,520,62,0.5,0.9944006198056063,0.9615893000546125,0.024606411354752493,0.0855192913732643
train,fixed,5,204,0,22,40,0.9172932330827067,1.0,0.6451612903225806,0.7843137254901961,0.0,0.8225806451612903,266,62,0.5,0.9950189753320684,0.9854539435082713,0.05719815181872927,0.1835295212284874
train,fixed,6,272,5,6,56,0.967551622418879,0.9180327868852459,0.9032258064516129,0.9105691056910569,0.018050541516245487,0.9425876324676836,339,62,0.5,0.9969139396762547,0.9873472978808501,0.020384850466463784,0.07598151304754552
train,fixed,7,214,7,12,50,0.9328621908127208,0.8771929824561403,0.8064516129032258,0.8403361344537815,0.03167420814479638,0.8873887023792146,283,62,0.5,0.9807327397460225,0.9469615860002919,0.05028740883664161,0.16453655184452592
train,fixed,8,242,0,6,56,0.9802631578947368,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,304,62,0.5,0.9968008531058384,0.9893909130786753,0.028438177525923838,0.10537683180167266
train,fixed,9,287,0,15,47,0.9570200573065902,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,349,62,0.5,0.9982578397212544,0.9924300062158227,0.02882438036188279,0.09192387121511546
train,fixed,10,354,4,3,59,0.9833333333333333,0.9365079365079365,0.9516129032258065,0.944,0.0111731843575419,0.9702198594341322,420,62,0.5,0.9987385114435033,0.9930316266582879,0.01696491652161616,0.072250076472854
train,fixed,11,202,0,10,52,0.9621212121212122,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,264,62,0.5,0.9928137975087831,0.9791078369153379,0.0366112229734857,0.1283680829223689
train,fixed,12,208,0,20,42,0.9259259259259259,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,270,62,0.5,0.9926333746898264,0.9778517702392626,0.054936529709085545,0.18625308990048448
train,fixed,13,354,13,0,62,0.9696969696969697,0.8266666666666667,1.0,0.9051094890510949,0.035422343324250684,0.9822888283378747,429,62,0.5,0.9988133954469545,0.9933145921364995,0.027491733363240265,0.09811270727358747
train,fixed,14,270,0,13,49,0.9608433734939759,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,332,62,0.5,0.9992831541218637,0.9970640029004477,0.02485294843292004,0.08400641873920955
train,fixed,15,154,0,25,37,0.8842592592592593,1.0,0.5967741935483871,0.7474747474747475,0.0,0.7983870967741935,216,62,0.5,1.0,1.0,0.08864743674615015,0.28559148484030944
train,fixed,16,280,2,0,62,0.9941860465116279,0.96875,1.0,0.9841269841269841,0.0070921985815602835,0.9964539007092199,344,62,0.5,0.9998856097002974,0.9994959677419355,0.025242807853340397,0.10775912053301318
train,fixed,17,233,0,18,44,0.9389830508474576,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,295,62,0.5,0.9944621348470164,0.9810176166102569,0.043972033160608125,0.14350434606364024
train,fixed,18,155,0,17,45,0.9216589861751152,1.0,0.7258064516129032,0.8411214953271028,0.0,0.8629032258064516,217,62,0.5,0.9766909469302809,0.9522353862174214,0.07138707446564356,0.25109398042952513
train,fixed,19,261,2,7,55,0.9723076923076923,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.0076045627376425855,0.9397461057279529,325,62,0.5,0.9923341101435054,0.9754539923488041,0.026951150684468465,0.10074480601743871
train,fixed,20,223,0,13,49,0.9543859649122807,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,285,62,0.5,0.9926225951106611,0.9766825019743393,0.03700972149702388,0.12151525137555831
train,fixed,21,229,0,27,35,0.9072164948453608,1.0,0.5645161290322581,0.7216494845360825,0.0,0.782258064516129,291,62,0.5,1.0,1.0,0.07002317416303884,0.21589488389827555
train,fixed,22,186,11,14,48,0.9034749034749034,0.8135593220338984,0.7741935483870968,0.7933884297520661,0.05583756345177665,0.8591779924676601,259,62,0.5,0.9787948256099558,0.9424030360303973,0.053369109863591835,0.1659826037643564
train,fixed,23,186,0,9,53,0.9637096774193549,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,248,62,0.5,0.9986125563648977,0.9960042011800558,0.029606825698956125,0.10669958724430245
train,fixed,24,262,4,9,53,0.9603658536585366,0.9298245614035088,0.8548387096774194,0.8907563025210085,0.015037593984962405,0.9199005578462285,328,62,0.5,0.9903589619209313,0.9672265391693209,0.03045555950166959,0.10450968790714527
train,fixed,25,172,0,20,42,0.9145299145299145,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,234,62,0.5,0.9963428357089272,0.9909120515368608,0.05485785436454499,0.1695694870750309
train,fixed,26,310,1,5,57,0.9839142091152815,0.9827586206896551,0.9193548387096774,0.95,0.003215434083601286,0.958069702313038,373,62,0.5,0.9989627631988383,0.9950149919596429,0.017841867186083188,0.07098510429478072
train,fixed,27,193,1,18,44,0.92578125,0.9777777777777777,0.7096774193548387,0.822429906542056,0.005154639175257732,0.8522613900897905,256,62,0.5,0.9574326571333556,0.906805944800749,0.07087617853788791,0.2924786410117447
train,fixed,28,162,0,19,43,0.9151785714285714,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,224,62,0.5,0.9966148944643569,0.9915017478131053,0.06507924678388546,0.21233890149694576
train,fixed,29,232,0,10,52,0.9659863945578231,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,294,62,0.5,0.9972886540600668,0.9909386084837626,0.026778659578747914,0.09590761160562408
train,fixed,30,312,11,8,54,0.9506493506493506,0.8307692307692308,0.8709677419354839,0.8503937007874016,0.034055727554179564,0.9184560071906522,385,62,0.5,0.992659542594627,0.9646739783686757,0.03176544370980049,0.11131236230890293
train,fixed,31,226,8,7,55,0.9493243243243243,0.873015873015873,0.8870967741935484,0.88,0.03418803418803419,0.9264543700027571,296,62,0.5,0.9889026743865454,0.9672933796016357,0.03521571382479569,0.12597169339693767
train,fixed,32,203,0,20,42,0.9245283018867925,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,265,62,0.5,0.9983314794215796,0.9949020324051618,0.04756813558657652,0.1421576897895693
