split,node,engines,windows,positive,positive_fraction
train,0,16,2539,496,0.19535250098463963
train,1,16,2584,496,0.19195046439628483
train,2,16,2264,496,0.21908127208480566
train,3,16,2390,496,0.20753138075313807
train,4,16,2904,496,0.17079889807162535
validation,0,4,617,124,0.20097244732576985
validation,1,4,653,124,0.18989280245022971
validation,2,4,666,124,0.18618618618618618
validation,3,4,669,124,0.18535127055306427
validation,4,4,445,124,0.2786516853932584
test,0,19,1768,76,0.042986425339366516
test,1,19,1731,70,0.040439052570768345
test,2,19,1558,42,0.026957637997432605
test,3,18,1634,85,0.052019583843329255
test,4,18,1564,59,0.037723785166240406
