epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,6.15980866314203e-09,7.952824887524912e-08,,0.0,6452080,20,5484268,6452080,0,3.9522413709983084,3.948938254996392,0.4929097059994092,0.001948741999513004,5.181664,12434,7,10,
2,0.42065149614714814,,,,0.0008172565721906722,0.010527154430747032,,0.0,6452080,20,5161664,6452080,0,3.864594605000093,3.8609382290051144,0.4722274039995682,0.0021219649988779565,5.181664,12434,10,10,
3,0.2813571495922605,,,,0.0008620127919130027,0.011073525995016098,,0.0,6452080,20,4839060,6452080,0,4.003616271000283,4.000556150996999,0.46306361200004176,0.0018368800010648556,5.181664,12434,8,10,
4,0.2731381210629328,,,,0.000656283285934478,0.008430510759353638,,0.0,6452080,20,5484268,6452080,0,3.706884708000871,3.7036877049959003,0.4608265120004944,0.0019680619989230763,5.181664,12434,9,10,
5,0.22608664902965336,0.22546976376332997,0.9017288444040037,0.7503852080123267,0.0007318710559047759,0.009379605762660503,0.0325,0.0,6452080,20,5161664,6452080,0,3.819259156998669,3.816095811997002,0.4240532429994346,0.0018885159988712985,5.181664,12434,8,10,
6,0.21835900510599804,,,,0.0007077747723087668,0.009056293405592442,,0.0,6452080,20,4516456,6452080,0,3.944127648999711,3.9409942859965668,0.4821194699998159,0.0018069200013997033,5.181664,12434,7,10,
7,0.2002593843281236,,,,0.000974376976955682,0.012437083758413792,,0.0,6452080,20,5161664,6452080,0,3.9444841790009377,3.9412837359977857,0.49191658400013694,0.0019236070002079941,5.181664,12434,9,10,
8,0.1873395757820598,,,,0.0005884810816496611,0.007493574172258377,,0.0,6452080,20,5806872,6452080,0,3.8636280479986453,3.8604262490043766,0.47036299600040365,0.0018764899996313034,5.181664,12434,10,10,
9,0.1778066386321346,,,,0.0006603325018659234,0.008386705070734024,,0.0,6452080,20,5484268,6452080,0,3.7531411559994012,3.74989732299764,0.4569108040013816,0.002028929000516655,5.181664,12434,9,10,
10,0.15772363012903728,0.16330698398304766,0.9335759781619655,0.835214446952596,6.2734173411627125e-09,7.950321645466829e-08,0.0,0.0,6452080,20,5161664,6452080,0,3.756999118000749,3.753959727999245,0.457884796000144,0.001807507000194164,5.181664,12434,6,10,
11,0.1443607347849457,,,,0.000769683625549078,0.009736865758895874,,0.0,6452080,20,5161664,6452080,0,3.746193700000731,3.743045790000906,0.46283934299935936,0.0019411760004004464,5.181664,12434,8,10,
12,0.14323401974737693,,,,0.0008490743348374963,0.01073131151497364,,0.0,6452080,20,5161664,6452080,0,3.812909251999372,3.8096995820051234,0.4836508580010559,0.0019147250004607486,5.181664,12434,9,10,
13,0.1498159323067343,,,,0.0009592319838702679,0.012107914313673973,,0.0,6452080,20,5161664,6452080,0,4.1030501300010656,4.099351528000625,0.5012639410015254,0.0021638520011038054,5.181664,12434,9,10,
14,0.12921380020438816,,,,6.24220763967287e-09,7.869684282013623e-08,,0.0,6452080,20,5806872,6452080,0,3.8986621019994345,3.8955739340017317,0.4803958770007739,0.0018868050010496518,5.181664,12434,8,10,
15,0.12964511879896237,0.1311538084230235,0.9457082195935699,0.857823669579031,0.00047255141544155777,0.005951315630227327,0.01,0.0,6452080,20,5161664,6452080,0,3.9161504870007775,3.912813624001501,0.45772610700078076,0.002003244999286835,5.181664,12434,7,10,
16,0.1365436655180792,,,,0.0005521163111552596,0.00694749690592289,,0.0,6452080,20,5806872,6452080,0,3.8582680669987894,3.8550860750037828,0.47257254699979967,0.00196065900126996,5.181664,12434,9,10,
17,0.1314949823266732,,,,0.0007478061597794294,0.009396267123520374,,0.0,6452080,20,5806872,6452080,0,4.112201320998793,4.108983193998938,0.5435823440002423,0.0019393080001464114,5.181664,12434,10,10,
18,0.12361437761986496,,,,0.0007868476095609367,0.009881475940346718,,0.0,6452080,20,5484268,6452080,0,3.9470255010000983,3.9439217780036415,0.4775520500006678,0.0018770049991871929,5.181664,12434,9,10,
19,0.11613848969534199,,,,0.0011030210880562663,0.013832561671733856,,0.0,6452080,20,4516456,6452080,0,3.831381017998865,3.828292894999322,0.47618261400020856,0.0018874350007536123,5.181664,12434,8,10,
20,0.1229797419702832,0.11759650010866755,0.9505611161662118,0.8717545239968528,6.0363021248122095e-09,7.562955062212495e-08,0.0,0.0,6452080,20,6129476,6452080,0,4.239373844000511,4.235945436001202,0.641947739999523,0.002088117000312195,5.181664,12434,9,10,
21,0.11610335595526933,,,,0.0004855880979448557,0.006078794598579407,,0.0,6452080,20,5806872,6452080,0,4.003203987000234,3.999474441005077,0.4836816209990502,0.0024046550006460166,5.181664,12434,9,10,
22,0.11764310883097007,,,,0.00046376240788958967,0.005799586419016123,,0.0,6452080,20,5161664,6452080,0,3.86689809499876,3.863907250997727,0.4793052050008555,0.0018094040005962597,5.181664,12434,7,10,
23,0.11036111310221705,,,,6.257433682321789e-09,7.81943114702699e-08,,0.0,6452080,20,6129476,6452080,0,4.135880229001486,4.132818087000487,0.5201666039993142,0.0018566110011306591,5.181664,12434,9,10,
24,0.1241473150765718,,,,0.0006105605862103403,0.00761821772903204,,0.0,6452080,20,4193852,6452080,0,4.071127253000668,4.068042311004319,0.5038225570006034,0.0018613459997141035,5.181664,12434,5,10,
25,0.10995151240569923,0.0991417697548125,0.9581437670609645,0.8874388254486134,0.0008442573016509414,0.010527017526328564,0.017777777777777778,0.0,6452080,20,5484268,6452080,0,3.9774895580012526,3.974202544997752,0.4586617949989886,0.0020152769993728725,5.181664,12434,10,10,
26,0.09935737255546254,,,,0.0011079221731051803,0.013799130916595459,,0.0,6452080,20,5161664,6452080,0,3.969687844000873,3.966585935006151,0.4731721160005691,0.0017555150006955955,5.181664,12434,9,10,
27,0.1124208829122387,,,,0.0010912083089351654,0.013589863665401936,,0.0,6452080,20,5161664,6452080,0,4.019118930998957,4.015913841001748,0.5391968830008409,0.0019793440005742013,5.181664,12434,8,10,
28,0.11078333511376445,,,,0.0010256506502628326,0.012761064805090427,,0.0,6452080,20,4839060,6452080,0,3.6943171820003045,3.691086136002923,0.4447293120010727,0.0019178610000381013,5.181664,12434,9,10,
29,0.10508944664139026,,,,0.00048105180030688643,0.005976119078695774,,0.0,6452080,20,5161664,6452080,0,3.9300811550001526,3.926804404001814,0.4889563500000804,0.0020295849990361603,5.181664,12434,7,10,
30,0.10223777533054938,0.09080216171979623,0.9602669093114953,0.8949478748997595,6.176045008743358e-09,7.666392320970772e-08,0.0,0.0,6452080,20,6129476,6452080,0,3.7776693970008637,3.7747552290002204,0.4701216640005441,0.0017554799997014925,5.181664,12434,9,10,
31,0.10077688496621633,,,,0.0008472251938655972,0.010506460443139076,,0.0,6452080,20,5806872,6452080,0,3.8005427759999293,3.7973076770012995,0.46764409599927603,0.001877058999525616,5.181664,12434,10,10,
32,0.09577519919719926,,,,0.0007576864445582032,0.00939207524061203,,0.0,6452080,20,5484268,6452080,0,3.854069447999791,3.850822843007336,0.4574459890009166,0.0019761799994739704,5.181664,12434,8,10,
33,0.0949946735940613,,,,0.0005293688736855984,0.00655421381816268,,0.0,6452080,20,5806872,6452080,0,3.801919010000347,3.798785119000968,0.4680100650002714,0.0018938190005428623,5.181664,12434,9,10,
34,0.09067080135845176,,,,0.0005691781407222152,0.007039531134068966,,0.0,6452080,20,5806872,6452080,0,3.8182794010008365,3.8151217290032946,0.4548440770013258,0.001902641000924632,5.181664,12434,9,10,
35,0.08685497625243317,0.12533359201163405,0.9517743403093721,0.8743083003952569,0.0010186138097196817,0.012587091885507107,0.020694444444444446,0.0,6452080,20,4516456,6452080,0,3.858489082000233,3.855627018998348,0.4783068809992983,0.0017268100000364939,5.181664,12434,7,10,
36,0.08758483560062814,,,,0.0009245849214494228,0.011415109969675541,,0.0,6452080,20,4516456,6452080,0,3.8303920700000162,3.8275025249968166,0.45672621300036553,0.0017421869997633621,5.181664,12434,7,10,
37,0.09171244746784202,,,,0.0007465082453563809,0.009207156486809254,,0.0,6452080,20,5484268,6452080,0,3.83897513500051,3.835755205995156,0.4701824559997476,0.0019706579987541772,5.181664,12434,8,10,
38,0.0900376393420657,,,,0.0004688474000431597,0.00577543256804347,,0.0,6452080,20,5806872,6452080,0,3.9570616930013784,3.9538911979980185,0.4815989039998385,0.0019378769993636524,5.181664,12434,9,10,
39,0.09156637239838164,,,,0.0010363325709477067,0.012754554860293865,,0.0,6452080,20,4516456,6452080,0,4.134753254998941,4.1316205829989485,0.5121951850014739,0.0018857020004361402,5.181664,12434,8,10,
40,0.09259718926861554,0.08260393584149592,0.9693660903851987,0.9168724279835391,0.000593848992139101,0.007305214647203684,0.00625,0.0,6452080,20,5161664,6452080,0,4.121123128001273,4.117551831997844,0.4882232809995912,0.002275178998388583,5.181664,12434,7,10,
41,0.08323930765985646,,,,0.001102227601222694,0.01355141680687666,,0.0,6452080,20,5484268,6452080,0,4.073448580000331,4.070391205998021,0.5078536439996242,0.001837035999415093,5.181664,12434,10,10,
42,0.08761178301564411,,,,0.0006698562065139413,0.008227931335568428,,0.0,6452080,20,6129476,6452080,0,3.9164951450002263,3.9133684049993462,0.47127737600021646,0.001961768999535707,5.181664,12434,10,10,
43,0.08077259518814875,,,,0.0011504440335556865,0.014115458354353905,,0.0,6452080,20,5161664,6452080,0,3.8905064219998167,3.8873607570003514,0.4426775930005533,0.0019005029989784816,5.181664,12434,9,10,
44,0.09436641153012967,,,,0.001007020240649581,0.012353243306279182,,0.0,6452080,20,4516456,6452080,0,3.8874601449988404,3.8843713739988743,0.45769890599876817,0.0018731529999058694,5.181664,12434,7,10,
45,0.08471561501961411,0.08905330139571106,0.9651198058841371,0.9064279902359642,0.0008498257957398891,0.010408113710582256,0.012222222222222223,0.0,6452080,20,5484268,6452080,0,4.001047904001098,3.997303596997881,0.4891711660002329,0.002512032999220537,5.181664,12434,9,10,
46,0.08843319261454692,,,,0.0005654919077642262,0.006919069215655327,,0.0,6452080,20,5806872,6452080,0,4.16555534500003,4.162329615000999,0.5049652420002531,0.001924129001054098,5.181664,12434,9,10,
47,0.08783980737005712,,,,0.0007389209931716323,0.009035301394760609,,0.0,6452080,20,5161664,6452080,0,4.027137641000081,4.024004376999073,0.5168308110005455,0.0018947610005852766,5.181664,12434,8,10,
48,0.08532354059826408,,,,6.363180204971286e-09,7.774095678314552e-08,,0.0,6452080,20,5484268,6452080,0,3.912265818000378,3.9092564490019868,0.4780602179998823,0.0018516250001994194,5.181664,12434,7,10,
49,0.08154712401656435,,,,0.0007785320049151778,0.009499730542302132,,0.0,6452080,20,4839060,6452080,0,4.127871308000977,4.12450921099844,0.5025352259999636,0.0020573069996316917,5.181664,12434,7,10,
50,0.0819530016203204,0.0878861112943103,0.9623900515620261,0.9040247678018576,6.4661818122147e-09,7.882636765543793e-08,0.0,0.0,6452080,20,6129476,6452080,0,3.9601748539989785,3.957294079993517,0.4842262080001092,0.0017133380006271182,5.181664,12434,9,10,
