split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,991,38,4,244,0.9671104150352389,0.8652482269503546,0.9838709677419355,0.9207547169811321,0.0369290573372206,0.9734709552023575,1277,248,0.5,0.9953995423054014,0.9798061863121883,0.024298622776732656,0.0857483159191834
train,fixed,1,857,17,20,228,0.9670231729055259,0.9306122448979591,0.9193548387096774,0.9249492900608519,0.019450800915331808,0.9499520188971728,1122,248,0.5,0.9959492876651657,0.9866370943240673,0.02191890868248047,0.06975985569505153
train,fixed,2,861,13,17,231,0.9732620320855615,0.9467213114754098,0.9314516129032258,0.9390243902439024,0.014874141876430207,0.9582887355133978,1122,248,0.5,0.9970057946408799,0.9899991279774298,0.018553032634113488,0.06078325202684326
train,fixed,3,1222,53,5,243,0.9619172685489166,0.8209459459459459,0.9798387096774194,0.8933823529411765,0.04156862745098039,0.9691350411132195,1523,248,0.5,0.9965338393421885,0.9850723705017539,0.027977175180029245,0.08949019350407524
train,fixed,4,999,11,10,238,0.9833068362480127,0.9558232931726908,0.9596774193548387,0.9577464788732394,0.01089108910891089,0.9743931651229639,1258,248,0.5,0.9980637176620888,0.9919970385992558,0.013982807661058676,0.048380082818687
train,fixed,5,877,21,5,243,0.9773123909249564,0.9204545454545454,0.9798387096774194,0.94921875,0.02338530066815145,0.978226704504634,1146,248,0.5,0.9983341116459516,0.9946137623328616,0.016175252703676923,0.05493293053905502
train,fixed,6,972,32,3,245,0.9720447284345048,0.8844765342960289,0.9879032258064516,0.9333333333333333,0.03187250996015936,0.9780153579231461,1252,248,0.5,0.9987348991132246,0.9952378492760087,0.018031104805288918,0.05953427442560852
train,fixed,7,992,40,13,235,0.95859375,0.8545454545454545,0.9475806451612904,0.8986615678776291,0.03875968992248062,0.9544104776194049,1280,248,0.5,0.9940219429857464,0.97989227903301,0.028264631022121102,0.08804671465209198
train,fixed,8,975,6,23,225,0.9764035801464606,0.974025974025974,0.907258064516129,0.9394572025052192,0.0061162079510703364,0.9505709282825293,1229,248,0.5,0.9971350827003387,0.9898401523953801,0.017408575219891476,0.059232571654885435
train,fixed,9,936,41,11,237,0.9575510204081633,0.8525179856115108,0.9556451612903226,0.9011406844106464,0.04196519959058342,0.9568399808498695,1225,248,0.5,0.9957861458711659,0.9853241374030784,0.028722382541841503,0.08919383602649905
train,val_f1,0,1011,18,13,235,0.975724353954581,0.9288537549407114,0.9475806451612904,0.93812375249501,0.01749271137026239,0.965043966895514,1277,248,0.7100000000000001,0.9953995423054014,0.9798061863121883,0.024298622776732656,0.0857483159191834
train,val_f1,1,867,7,29,219,0.9679144385026738,0.9690265486725663,0.8830645161290323,0.9240506329113924,0.008009153318077803,0.9375276814054772,1122,248,0.7100000000000001,0.9959492876651657,0.9866370943240673,0.02191890868248047,0.06975985569505153
train,val_f1,2,869,5,28,220,0.9705882352941176,0.9777777777777777,0.8870967741935484,0.9302325581395349,0.005720823798627002,0.9406879751974606,1122,248,0.7100000000000001,0.9970057946408799,0.9899991279774298,0.018553032634113488,0.06078325202684326
train,val_f1,3,1242,33,8,240,0.9730794484569928,0.8791208791208791,0.967741935483871,0.9213051823416507,0.02588235294117647,0.9709297912713473,1523,248,0.7100000000000001,0.9965338393421885,0.9850723705017539,0.027977175180029245,0.08949019350407524
train,val_f1,4,1003,7,26,222,0.9737678855325914,0.9694323144104804,0.8951612903225806,0.9308176100628931,0.006930693069306931,0.9441152986266368,1258,248,0.7100000000000001,0.9980637176620888,0.9919970385992558,0.013982807661058676,0.048380082818687
train,val_f1,5,890,8,12,236,0.9825479930191972,0.9672131147540983,0.9516129032258065,0.959349593495935,0.008908685968819599,0.9713521086284935,1146,248,0.7100000000000001,0.9983341116459516,0.9946137623328616,0.016175252703676923,0.05493293053905502
