epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,5.820830928371379e-09,7.51573381307935e-08,,0.0,6452080,20,6452080,6452080,0,4.056909502000053,4.053620203999799,0.5150610119999328,0.0019731079996745393,5.181664,12434,10,10,
2,0.41743685010838105,,,,6.1220650771076635e-09,7.884367647648105e-08,,0.0,6452080,20,6452080,6452080,0,3.9600966160001008,3.957061378000162,0.4956775039995591,0.0019153099997311074,5.181664,12434,10,10,
3,0.2803316581799713,,,,6.140125741183056e-09,7.888624509178044e-08,,0.0,6452080,20,6452080,6452080,0,3.922113868999986,3.919264280000334,0.45502812600034304,0.0017902959998536971,5.181664,12434,10,10,
4,0.2738980081688586,,,,6.093856974587197e-09,7.826581338576943e-08,,0.0,6452080,20,6452080,6452080,0,3.9635910590000094,3.960119016999215,0.4739915749996726,0.0021562189999713155,5.181664,12434,10,10,
5,0.23744185355201247,0.2182572028983276,0.9074916590840157,0.763014763014763,6.163626498079111e-09,7.899195253457947e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.882161521999933,3.879138776000673,0.446412815000258,0.0019338040001457557,5.181664,12434,10,10,
6,0.22681088546201997,,,,6.144752262571274e-09,7.86326950219518e-08,,0.0,6452080,20,6452080,6452080,0,4.010548074000326,4.007455494999704,0.49797520999982225,0.001973740999801521,5.181664,12434,10,10,
7,0.19942829367016476,,,,6.062546464846719e-09,7.736856133533365e-08,,0.0,6452080,20,6452080,6452080,0,3.890928064000036,3.8877856999997675,0.4589951840002868,0.0019983470001534442,5.181664,12434,10,10,
8,0.19148007116595345,,,,6.1310601040531765e-09,7.806401214338621e-08,,0.0,6452080,20,6452080,6452080,0,3.808052059000147,3.8047060800004147,0.5048928379997051,0.002151522000076511,5.181664,12434,10,10,
9,0.176727861382602,,,,6.068966662553521e-09,7.706573512678005e-08,,0.0,6452080,20,6452080,6452080,0,3.8439070960002937,3.8401732170004834,0.48052278100021795,0.0023968499999682535,5.181664,12434,10,10,
10,0.16646440090006245,0.15205944001474433,0.9402487109493479,0.841000807102502,6.177026889986337e-09,7.828192849501647e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7910931330002313,3.7879851699995015,0.46157459299956827,0.0019933940002374584,5.181664,12434,10,10,
11,0.15273637034571622,,,,6.2572538261918e-09,7.916344912928253e-08,,0.0,6452080,20,6452080,6452080,0,4.107488639999701,4.104412550000234,0.48301979899997605,0.001966621000065061,5.181664,12434,10,10,
12,0.1374384246256829,,,,6.318304546226727e-09,7.981279992463897e-08,,0.0,6452080,20,6452080,6452080,0,4.151660500000162,4.1485560419996546,0.5007244189996527,0.001957541999672685,5.181664,12434,10,10,
13,0.1465382500497103,,,,6.21895779318038e-09,7.84455878033441e-08,,0.0,6452080,20,6452080,6452080,0,3.683134520999829,3.6799520539989317,0.4428920929999549,0.0020302359998822794,5.181664,12434,10,10,
14,0.12786213339483204,,,,6.131062324499226e-09,7.727257411715982e-08,,0.0,6452080,20,6452080,6452080,0,3.692815810999946,3.6899072140008684,0.4739808700001049,0.001823211000100855,5.181664,12434,10,10,
15,0.12809726274195188,0.13979936484644187,0.9423718531998787,0.8556231003039514,6.148744180478616e-09,7.73884281102255e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.725774171000012,3.7225906760004364,0.4309405690000858,0.0020041860002493195,5.181664,12434,10,10,
16,0.13619623060303576,,,,6.257747209303943e-09,7.870027474154995e-08,,0.0,6452080,20,6452080,6452080,0,3.8460644080000748,3.8429851439987033,0.4521493859997463,0.0018854579998333065,5.181664,12434,10,10,
17,0.12342329519465638,,,,6.146597453238201e-09,7.721039452235345e-08,,0.0,6452080,20,6452080,6452080,0,3.7447362519997114,3.741524133999519,0.4767482559996097,0.0020126620001974516,5.181664,12434,10,10,
18,0.12105170161515719,,,,6.277431463530547e-09,7.879651775510865e-08,,0.0,6452080,20,6452080,6452080,0,3.8311035920000904,3.8278393890004736,0.46448278200023196,0.0020683979996647395,5.181664,12434,10,10,
19,0.12428522650393399,,,,6.1443854448839375e-09,7.70386634485476e-08,,0.0,6452080,20,6452080,6452080,0,3.835201003000293,3.8320881800004827,0.46520519500018054,0.001991173000078561,5.181664,12434,10,10,
20,0.11564983545523874,0.12003857302050969,0.9505611161662118,0.8694955964771818,6.126774643178123e-09,7.67364056741826e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.973523725999712,3.9703465989996403,0.4488866950000556,0.002049023999916244,5.181664,12434,10,10,
21,0.11101691855630007,,,,6.2969731651207894e-09,7.87639820032382e-08,,0.0,6452080,20,6452080,6452080,0,4.081661418999829,4.07856370699983,0.5379283950001081,0.001968369999758579,5.181664,12434,10,10,
22,0.1163969094985279,,,,6.1619491731335074e-09,7.704495175175907e-08,,0.0,6452080,20,6452080,6452080,0,3.7591015150001112,3.7560210579999875,0.46337225299976126,0.0019488879997879849,5.181664,12434,10,10,
23,0.10822684129307347,,,,6.149520004328224e-09,7.67721530792187e-08,,0.0,6452080,20,6452080,6452080,0,3.881363502000113,3.878047055001389,0.48920507899993027,0.0020259889997760183,5.181664,12434,10,10,
