epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,5.820830928371379e-09,7.51573381307935e-08,,0.0,6452080,20,6452080,6452080,0,4.095270575999166,4.091941810997014,0.4770730939999339,0.0020405659997777548,5.181664,12434,10,10,
2,0.41743685010838105,,,,6.1220650771076635e-09,7.884367647648105e-08,,0.0,6452080,20,6452080,6452080,0,3.940510665999682,3.9373780690020794,0.4846016410010634,0.0019580749994929647,5.181664,12434,10,10,
3,0.2803316581799713,,,,6.140125741183056e-09,7.888624509178044e-08,,0.0,6452080,20,6452080,6452080,0,3.9985522580009274,3.9955664700028137,0.5156261419997463,0.0018297740007255925,5.181664,12434,10,10,
4,0.2738980081688586,,,,6.093856974587197e-09,7.826581338576943e-08,,0.0,6452080,20,6452080,6452080,0,4.052630993999628,4.0495982020020165,0.49974061400098435,0.0019025720011995872,5.181664,12434,10,10,
5,0.23744185355201247,0.2182572028983276,0.9074916590840157,0.763014763014763,6.163626498079111e-09,7.899195253457947e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.9471482190001552,3.9441680849977274,0.48098567000124604,0.001847716999691329,5.181664,12434,10,10,
6,0.22681088546201997,,,,6.144752262571274e-09,7.86326950219518e-08,,0.0,6452080,20,6452080,6452080,0,3.861946433000412,3.8586209930035693,0.4841367139997601,0.0021284189988364233,5.181664,12434,10,10,
7,0.19942829367016476,,,,6.062546464846719e-09,7.736856133533365e-08,,0.0,6452080,20,6452080,6452080,0,3.8646245960007946,3.8608669490022294,0.46590547900086676,0.0020542189995467197,5.181664,12434,10,10,
8,0.19148007116595345,,,,6.1310601040531765e-09,7.806401214338621e-08,,0.0,6452080,20,6452080,6452080,0,3.903436132999559,3.9002825999996276,0.47147735500038834,0.001951846001247759,5.181664,12434,10,10,
9,0.176727861382602,,,,6.068966662553521e-09,7.706573512678005e-08,,0.0,6452080,20,6452080,6452080,0,3.793864866000149,3.7906024109979626,0.42623295500015956,0.0020718470004794654,5.181664,12434,10,10,
10,0.16646440090006245,0.15205944001474433,0.9402487109493479,0.841000807102502,6.177026889986337e-09,7.828192849501647e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.78685274199961,3.783464627993453,0.4874934449999273,0.0021483269993041176,5.181664,12434,10,10,
