split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1000,29,10,238,0.9694596711041503,0.8913857677902621,0.9596774193548387,0.9242718446601942,0.028182701652089408,0.9657473588513747,1277,248,0.5,0.9960931377159159,0.9837766671635175,0.021029478312291985,0.07019367594466437
train,fixed,1,861,13,23,225,0.9679144385026738,0.9453781512605042,0.907258064516129,0.9259259259259259,0.014874141876430207,0.9461919613198494,1122,248,0.5,0.995916992692109,0.9864775647644615,0.022536090200359224,0.0716582182039661
train,fixed,2,866,8,20,228,0.9750445632798574,0.9661016949152542,0.9193548387096774,0.9421487603305785,0.009153318077803204,0.9551007603159372,1122,248,0.5,0.997264154425334,0.990780830263317,0.018207164084905008,0.05998934390227934
train,fixed,3,1241,34,5,243,0.9743926460932371,0.8772563176895307,0.9798387096774194,0.9257142857142857,0.02666666666666667,0.9765860215053763,1523,248,0.5,0.9979506641366224,0.9916961253891265,0.01772590303471358,0.05784998667651716
train,fixed,4,1001,9,15,233,0.9809220985691574,0.9628099173553719,0.9395161290322581,0.9510204081632653,0.00891089108910891,0.9653026189715745,1258,248,0.5,0.9981834877036091,0.9924471996518262,0.014038206488540372,0.04739504561405865
train,fixed,5,880,18,8,240,0.9773123909249564,0.9302325581395349,0.967741935483871,0.9486166007905138,0.0200445434298441,0.9738486960270134,1146,248,0.5,0.998163481571952,0.9941080544997741,0.015371524929807525,0.05295716632303607
train,fixed,6,984,20,4,244,0.9808306709265175,0.9242424242424242,0.9838709677419355,0.953125,0.0199203187250996,0.981975324508418,1252,248,0.5,0.9989557897442488,0.9960133497591347,0.014242391328920042,0.05029699552810539
train,fixed,7,998,34,15,233,0.96171875,0.8726591760299626,0.9395161290322581,0.9048543689320389,0.03294573643410853,0.9532851962990748,1280,248,0.5,0.9946470992748186,0.9822022098863783,0.02455626256205609,0.07903002422106889
train,fixed,8,975,6,27,221,0.9731489015459723,0.973568281938326,0.8911290322580645,0.9305263157894736,0.0061162079510703364,0.9425064121534971,1229,248,0.5,0.9970199927657756,0.9893534049338051,0.018664312855394674,0.06210959019731333
train,fixed,9,945,32,12,236,0.9640816326530612,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.032753326509723645,0.9594297883580414,1225,248,0.5,0.9962690263149206,0.9869677819316323,0.02347044408700524,0.07274176350414341
