epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5343262961198139,,,,6.065941526856022e-09,7.832408499552912e-08,,0.0,6452080,20,6452080,6452080,0,3.8822747109988995,3.8786803710008826,0.6772542079997947,0.0021998350002832012,5.181664,12434,10,10,
2,0.4300184960135609,,,,6.239227356985566e-09,8.033761389469873e-08,,0.0,6452080,20,6452080,6452080,0,3.916652552999949,3.913191759000256,0.6732184770007734,0.0022175520007294836,5.181664,12434,10,10,
3,0.29240760685056544,,,,6.213688674705509e-09,7.982592364896846e-08,,0.0,6452080,20,6452080,6452080,0,3.683964690000721,3.680677498998193,0.6476226670001779,0.0020084900006622775,5.181664,12434,10,10,
4,0.2803215913613862,,,,6.0292824066721096e-09,7.739611618262643e-08,,0.0,6452080,20,6452080,6452080,0,3.728109031999338,3.7247481320009683,0.6513844909986801,0.002006119000725448,5.181664,12434,10,10,
5,0.24288913920032132,0.21337357352602931,0.910828025477707,0.7562189054726368,6.176668509993988e-09,7.912665012099751e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.5274544469994,3.524067592999927,0.6318310400001792,0.002085182999508106,5.181664,12434,10,10,
6,0.22547524627029078,,,,6.194039947615693e-09,7.919298639080807e-08,,0.0,6452080,20,6452080,6452080,0,3.7200761969997984,3.71669319999819,0.6295853720002924,0.0021078469999338267,5.181664,12434,10,10,
7,0.2187863273018019,,,,6.3056275756423474e-09,8.047000932265291e-08,,0.0,6452080,20,6452080,6452080,0,3.8679234880000877,3.8644296530037536,0.6674490360001073,0.0021166360002098372,5.181664,12434,10,10,
8,0.19766506352692514,,,,6.150387754644271e-09,7.830848147705183e-08,,0.0,6452080,20,6452080,6452080,0,4.078730729001109,4.075440905002324,0.6622889190002752,0.0020554379989334848,5.181664,12434,10,10,
9,0.18847361735429327,,,,6.1905236492521e-09,7.86391467499925e-08,,0.0,6452080,20,6452080,6452080,0,3.9237478830000327,3.920341429004111,0.6844779700004437,0.002086255999529385,5.181664,12434,10,10,
10,0.17863904714513504,0.17239509266540615,0.9241734910524719,0.8031496062992126,6.2243756815405504e-09,7.889689612738948e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7466811270005564,3.7431966660042235,0.6384389310005645,0.0021015690017520683,5.181664,12434,10,10,
11,0.1616981851915669,,,,6.122448326095764e-09,7.745044428020265e-08,,0.0,6452080,20,6452080,6452080,0,3.8863742889989226,3.8830378909951833,0.8087284979992546,0.002085703999910038,5.181664,12434,10,10,
12,0.14829566220384688,,,,6.175666644736566e-09,7.801309465094164e-08,,0.0,6452080,20,6452080,6452080,0,3.814025722000224,3.8107531480018224,0.6717323289994965,0.0019980779998149956,5.181664,12434,10,10,
13,0.14841967264428882,,,,6.2607616868604055e-09,7.896672116203263e-08,,0.0,6452080,20,6452080,6452080,0,3.6988018239990197,3.694887893003397,0.6145663879997301,0.002570867000031285,5.181664,12434,10,10,
