split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1029,11,11,237,0.9829192546583851,0.9556451612903226,0.9556451612903226,0.9556451612903226,0.010576923076923078,0.9725341191066998,1288,248,0.5,0.9984375,0.9934868550843814,0.014376452891972796,0.0527335296376499
train,fixed,1,921,5,29,219,0.9710391822827938,0.9776785714285714,0.8830645161290323,0.9279661016949152,0.005399568034557235,0.9388324740472376,1174,248,0.5,0.9978314638054762,0.9922623933842182,0.020484532840165576,0.07017720335133533
train,fixed,2,791,1,35,213,0.9653846153846154,0.9953271028037384,0.8588709677419355,0.922077922077922,0.0012626262626262627,0.9288041707396546,1040,248,0.5,0.9976325757575757,0.9928697509653693,0.02640829144610447,0.0862737140964938
train,fixed,3,520,0,88,160,0.8854166666666666,1.0,0.6451612903225806,0.7843137254901961,0.0,0.8225806451612903,768,248,0.5,0.9967431761786602,0.993181161753327,0.08830573135692266,0.29239805560306753
train,fixed,4,1096,18,2,246,0.9853157121879589,0.9318181818181818,0.9919354838709677,0.9609375,0.01615798922800718,0.9878887473214804,1362,248,0.5,0.9994063821161753,0.9973698636563157,0.01356521076493203,0.051858343550967946
train,fixed,5,875,0,30,218,0.9732858414959928,1.0,0.8790322580645161,0.9356223175965666,0.0,0.939516129032258,1123,248,0.5,0.9988018433179723,0.9960956814250627,0.019505397852458358,0.06695593734052166
train,fixed,6,1706,87,0,248,0.9573738363547281,0.7402985074626866,1.0,0.8507718696397941,0.04852203011712214,0.9757389849414388,2041,248,0.5,0.9981986398719033,0.9879077449468247,0.0273047745035942,0.08409244718563132
train,fixed,7,647,0,62,186,0.9307262569832402,1.0,0.75,0.8571428571428571,0.0,0.875,895,248,0.5,0.998766016851972,0.9968670169375531,0.04363865992131265,0.1287528272088509
train,fixed,8,958,7,20,228,0.9777411376751854,0.9702127659574468,0.9193548387096774,0.9440993788819876,0.007253886010362694,0.9560504763496573,1213,248,0.5,0.9980528163128866,0.9925768532248758,0.016708800219804327,0.05827797106788533
train,fixed,9,1249,33,2,246,0.9771241830065359,0.8817204301075269,0.9919354838709677,0.9335863377609108,0.02574102964118565,0.983097227114891,1530,248,0.5,0.99824178451009,0.99106340101398,0.016993956732017406,0.05836353709060493
train,val_f1,0,1035,5,29,219,0.9736024844720497,0.9776785714285714,0.8830645161290323,0.9279661016949152,0.004807692307692308,0.93912841191067,1288,248,0.64,0.9984375,0.9934868550843814,0.014376452891972796,0.0527335296376499
train,val_f1,1,924,2,48,200,0.9574105621805792,0.9900990099009901,0.8064516129032258,0.8888888888888888,0.0021598272138228943,0.9021458928447015,1174,248,0.64,0.9978314638054762,0.9922623933842182,0.020484532840165576,0.07017720335133533
train,val_f1,2,792,0,52,196,0.95,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,1040,248,0.64,0.9976325757575757,0.9928697509653693,0.02640829144610447,0.0862737140964938
train,val_f1,3,520,0,98,150,0.8723958333333334,1.0,0.6048387096774194,0.7537688442211056,0.0,0.8024193548387097,768,248,0.64,0.9967431761786602,0.993181161753327,0.08830573135692266,0.29239805560306753
train,val_f1,4,1109,5,13,235,0.986784140969163,0.9791666666666666,0.9475806451612904,0.9631147540983607,0.004488330341113106,0.9715461574100887,1362,248,0.64,0.9994063821161753,0.9973698636563157,0.01356521076493203,0.051858343550967946
train,val_f1,5,875,0,51,197,0.9545859305431879,1.0,0.7943548387096774,0.8853932584269663,0.0,0.8971774193548387,1123,248,0.64,0.9988018433179723,0.9960956814250627,0.019505397852458358,0.06695593734052166
train,val_f1,6,1729,64,1,247,0.9681528662420382,0.7942122186495176,0.9959677419354839,0.8837209302325582,0.03569436698271054,0.9801366874763866,2041,248,0.64,0.9981986398719033,0.9879077449468247,0.0273047745035942,0.08409244718563132
train,val_f1,7,647,0,76,172,0.9150837988826815,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,895,248,0.64,0.998766016851972,0.9968670169375531,0.04363865992131265,0.1287528272088509
train,val_f1,8,962,3,33,215,0.9703215169002474,0.9862385321100917,0.8669354838709677,0.9227467811158798,0.0031088082901554403,0.9319133377904061,1213,248,0.64,0.9980528163128866,0.9925768532248758,0.016708800219804327,0.05827797106788533
train,val_f1,9,1265,17,8,240,0.9836601307189542,0.933852140077821,0.967741935483871,0.9504950495049505,0.01326053042121685,0.977240702531327,1530,248,0.64,0.99824178451009,0.99106340101398,0.016993956732017406,0.05836353709060493
train,val_fpr02,0,1030,10,17,231,0.9790372670807453,0.9585062240663901,0.9314516129032258,0.9447852760736196,0.009615384615384616,0.9609181141439206,1288,248,0.55,0.9984375,0.9934868550843814,0.014376452891972796,0.0527335296376499
train,val_fpr02,1,922,4,35,213,0.9667802385008518,0.9815668202764977,0.8588709677419355,0.9161290322580645,0.004319654427645789,0.9272756566571448,1174,248,0.55,0.9978314638054762,0.9922623933842182,0.020484532840165576,0.07017720335133533
train,val_fpr02,2,792,0,39,209,0.9625,1.0,0.842741935483871,0.9146608315098468,0.0,0.9213709677419355,1040,248,0.55,0.9976325757575757,0.9928697509653693,0.02640829144610447,0.0862737140964938
train,val_fpr02,3,520,0,92,156,0.8802083333333334,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,768,248,0.55,0.9967431761786602,0.993181161753327,0.08830573135692266,0.29239805560306753
train,val_fpr02,4,1103,11,3,245,0.9897209985315712,0.95703125,0.9879032258064516,0.9722222222222222,0.009874326750448833,0.9890144495280013,1362,248,0.55,0.9994063821161753,0.9973698636563157,0.01356521076493203,0.051858343550967946
