split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1000,29,10,238,0.9694596711041503,0.8913857677902621,0.9596774193548387,0.9242718446601942,0.028182701652089408,0.9657473588513747,1277,248,0.5,0.9960265212075614,0.9839154763013811,0.021339063689132482,0.06992420875288524
train,fixed,1,859,15,22,226,0.9670231729055259,0.9377593360995851,0.9112903225806451,0.9243353783231084,0.017162471395881007,0.9470639255923821,1122,248,0.5,0.9958477891784159,0.9863324312256379,0.023029558306199356,0.07289840401395091
train,fixed,2,868,6,22,226,0.9750445632798574,0.9741379310344828,0.9112903225806451,0.9416666666666667,0.006864988558352402,0.9522126670111464,1122,248,0.5,0.9971395881006865,0.9904704712243132,0.019137307204234545,0.06273289743875475
train,fixed,3,1245,30,5,243,0.9770190413657256,0.8901098901098901,0.9798387096774194,0.9328214971209213,0.023529411764705882,0.9781546489563567,1523,248,0.5,0.9979222011385199,0.9909740529436702,0.01725936380355494,0.05615238957714344
train,fixed,4,1003,7,17,231,0.9809220985691574,0.9705882352941176,0.9314516129032258,0.9506172839506173,0.006930693069306931,0.9622604599169594,1258,248,0.5,0.9984310124560843,0.9934696431024983,0.013787899522585523,0.04604387690428436
train,fixed,5,881,17,8,240,0.9781849912739965,0.933852140077821,0.967741935483871,0.9504950495049505,0.01893095768374165,0.9744054889000646,1146,248,0.5,0.9979075364609526,0.9932519807435077,0.016196559061993517,0.054869718214471445
train,fixed,6,987,17,2,246,0.9848242811501597,0.935361216730038,0.9919354838709677,0.9628180039138943,0.01693227091633466,0.9875016064773166,1252,248,0.5,0.9993413443002185,0.9974243278757702,0.012243250122451173,0.04470886383654785
train,fixed,7,1000,32,30,218,0.9515625,0.872,0.8790322580645161,0.8755020080321285,0.031007751937984496,0.9240122530632657,1280,248,0.5,0.9881454738684672,0.9609448869329715,0.03378052295456624,0.11399904674337577
train,fixed,8,975,6,26,222,0.9739625711960944,0.9736842105263158,0.8951612903225806,0.9327731092436975,0.0061162079510703364,0.9445225411857552,1229,248,0.5,0.9965349708986879,0.9878644089432876,0.01956760747548899,0.06666422867369173
train,fixed,9,948,29,13,235,0.9657142857142857,0.8901515151515151,0.9475806451612904,0.91796875,0.02968270214943705,0.9589489715059267,1225,248,0.5,0.9966611087265164,0.9882933905923088,0.02213665412776422,0.06828983876144651
train,val_f1,0,1006,23,14,234,0.971025841816758,0.9105058365758755,0.9435483870967742,0.9267326732673268,0.022351797862001945,0.9605982946173861,1277,248,0.5800000000000001,0.9960265212075614,0.9839154763013811,0.021339063689132482,0.06992420875288524
train,val_f1,1,863,11,26,222,0.9670231729055259,0.9527896995708155,0.8951612903225806,0.9230769230769231,0.012585812356979404,0.9412877389828006,1122,248,0.5800000000000001,0.9958477891784159,0.9863324312256379,0.023029558306199356,0.07289840401395091
train,val_f1,2,869,5,26,222,0.9723707664884136,0.9779735682819384,0.8951612903225806,0.9347368421052632,0.005720823798627002,0.9447202332619768,1122,248,0.5800000000000001,0.9971395881006865,0.9904704712243132,0.019137307204234545,0.06273289743875475
train,val_f1,3,1249,26,7,241,0.9783322390019698,0.9026217228464419,0.9717741935483871,0.9359223300970874,0.0203921568627451,0.975691018342821,1523,248,0.5800000000000001,0.9979222011385199,0.9909740529436702,0.01725936380355494,0.05615238957714344
train,val_f1,4,1003,7,23,225,0.9761526232114467,0.9698275862068966,0.907258064516129,0.9375,0.006930693069306931,0.950163685723411,1258,248,0.5800000000000001,0.9984310124560843,0.9934696431024983,0.013787899522585523,0.04604387690428436
train,val_f1,5,883,15,11,237,0.9773123909249564,0.9404761904761905,0.9556451612903226,0.948,0.01670378619153675,0.9694706875493929,1146,248,0.5800000000000001,0.9979075364609526,0.9932519807435077,0.016196559061993517,0.054869718214471445
train,val_f1,6,993,11,4,244,0.9880191693290735,0.9568627450980393,0.9838709677419355,0.9701789264413518,0.010956175298804782,0.9864573962215654,1252,248,0.5800000000000001,0.9993413443002185,0.9974243278757702,0.012243250122451173,0.04470886383654785
train,val_f1,7,1005,27,35,213,0.9515625,0.8875,0.8588709677419355,0.8729508196721312,0.02616279069767442,0.9163540885221305,1280,248,0.5800000000000001,0.9881454738684672,0.9609448869329715,0.03378052295456624,0.11399904674337577
train,val_f1,8,976,5,33,215,0.9690805532953621,0.9772727272727273,0.8669354838709677,0.9188034188034188,0.0050968399592252805,0.9309193219558712,1229,248,0.5800000000000001,0.9965349708986879,0.9878644089432876,0.01956760747548899,0.06666422867369173
train,val_f1,9,954,23,13,235,0.9706122448979592,0.9108527131782945,0.9475806451612904,0.9288537549407114,0.02354145342886387,0.9620195958662132,1225,248,0.5800000000000001,0.9966611087265164,0.9882933905923088,0.02213665412776422,0.06828983876144651
train,val_fpr02,0,1004,25,13,235,0.9702427564604542,0.9038461538461539,0.9475806451612904,0.9251968503937008,0.024295432458697766,0.9616426063512963,1277,248,0.56,0.9960265212075614,0.9839154763013811,0.021339063689132482,0.06992420875288524
train,val_fpr02,1,861,13,26,222,0.9652406417112299,0.9446808510638298,0.8951612903225806,0.9192546583850931,0.014874141876430207,0.9401435742230753,1122,248,0.56,0.9958477891784159,0.9863324312256379,0.023029558306199356,0.07289840401395091
train,val_fpr02,2,868,6,25,223,0.9723707664884136,0.9737991266375546,0.8991935483870968,0.9350104821802935,0.006864988558352402,0.9461642799143721,1122,248,0.56,0.9971395881006865,0.9904704712243132,0.019137307204234545,0.06273289743875475
train,val_fpr02,3,1248,27,6,242,0.9783322390019698,0.8996282527881041,0.9758064516129032,0.9361702127659575,0.021176470588235293,0.977314990512334,1523,248,0.56,0.9979222011385199,0.9909740529436702,0.01725936380355494,0.05615238957714344
train,val_fpr02,4,1003,7,21,227,0.9777424483306836,0.9700854700854701,0.9153225806451613,0.941908713692946,0.006930693069306931,0.9541959437879272,1258,248,0.56,0.9984310124560843,0.9934696431024983,0.013787899522585523,0.04604387690428436
train,val_fpr02,5,882,16,10,238,0.9773123909249564,0.937007874015748,0.9596774193548387,0.9482071713147411,0.017817371937639197,0.9709300237085998,1146,248,0.56,0.9979075364609526,0.9932519807435077,0.016196559061993517,0.054869718214471445
train,val_fpr02,6,991,13,3,245,0.987220447284345,0.9496124031007752,0.9879032258064516,0.9683794466403162,0.012948207171314742,0.9874775093175685,1252,248,0.56,0.9993413443002185,0.9974243278757702,0.012243250122451173,0.04470886383654785
train,val_fpr02,7,1004,28,31,217,0.95390625,0.8857142857142857,0.875,0.8803245436105477,0.027131782945736434,0.9239341085271318,1280,248,0.56,0.9881454738684672,0.9609448869329715,0.03378052295456624,0.11399904674337577
train,val_fpr02,8,976,5,33,215,0.9690805532953621,0.9772727272727273,0.8669354838709677,0.9188034188034188,0.0050968399592252805,0.9309193219558712,1229,248,0.56,0.9965349708986879,0.9878644089432876,0.01956760747548899,0.06666422867369173
train,val_fpr02,9,952,25,13,235,0.9689795918367347,0.9038461538461539,0.9475806451612904,0.9251968503937008,0.0255885363357216,0.9609960544127845,1225,248,0.56,0.9966611087265164,0.9882933905923088,0.02213665412776422,0.06828983876144651
validation,fixed,0,311,5,6,56,0.9708994708994709,0.9180327868852459,0.9032258064516129,0.9105691056910569,0.015822784810126583,0.9437015108207432,378,62,0.5,0.9966823193140057,0.984711838375878,0.017897754595650524,0.05776810176284803
validation,fixed,1,265,15,7,55,0.935672514619883,0.7857142857142857,0.8870967741935484,0.8333333333333334,0.05357142857142857,0.9167626728110598,342,62,0.5,0.9870391705069124,0.9518551835329566,0.054116346641447696,0.20542291880143632
validation,fixed,2,328,15,0,62,0.9629629629629629,0.8051948051948052,1.0,0.8920863309352518,0.043731778425655975,0.9781341107871719,405,62,0.5,0.9988714379761121,0.994422683432919,0.022590421616008313,0.06889494224747028
validation,fixed,3,224,2,2,60,0.9861111111111112,0.967741935483871,0.967741935483871,0.967741935483871,0.008849557522123894,0.9794461889808735,288,62,0.5,0.9993576934056523,0.9977104261719897,0.011419879475905738,0.04485082456468327
validation,fixed,4,138,0,10,52,0.95,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,200,62,0.5,0.9978962131837307,0.9956049397360356,0.031958427285046984,0.09985801314940676
validation,fixed,5,203,0,10,52,0.9622641509433962,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,265,62,0.5,0.9972985857301764,0.9921130568381263,0.02411961800058617,0.07686442086489152
validation,fixed,6,377,6,0,62,0.9865168539325843,0.9117647058823529,1.0,0.9538461538461539,0.015665796344647518,0.9921671018276763,445,62,0.5,0.9998736629327044,0.9992358220603537,0.008803735306625024,0.032980519338650295
validation,fixed,7,220,7,6,56,0.9550173010380623,0.8888888888888888,0.9032258064516129,0.896,0.030837004405286344,0.9361944010231633,289,62,0.5,0.9937473355122921,0.979734737918911,0.028364237091462383,0.08986979570303673
validation,fixed,8,255,10,5,57,0.9541284403669725,0.8507462686567164,0.9193548387096774,0.8837209302325582,0.03773584905660377,0.9408094948265369,327,62,0.5,0.9923311016433354,0.9736697681561906,0.034596926549847036,0.1008095924982697
validation,fixed,9,294,2,7,55,0.9748603351955307,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.006756756756756757,0.9401700087183957,358,62,0.5,0.9973299912816042,0.9881221462941674,0.017681025475882677,0.058876239813448784
validation,val_f1,0,313,3,7,55,0.9735449735449735,0.9482758620689655,0.8870967741935484,0.9166666666666666,0.00949367088607595,0.9388015516537362,378,62,0.5800000000000001,0.9966823193140057,0.984711838375878,0.017897754595650524,0.05776810176284803
validation,val_f1,1,266,14,7,55,0.9385964912280702,0.7971014492753623,0.8870967741935484,0.8396946564885496,0.05,0.9185483870967741,342,62,0.5800000000000001,0.9870391705069124,0.9518551835329566,0.054116346641447696,0.20542291880143632
validation,val_f1,2,331,12,0,62,0.9703703703703703,0.8378378378378378,1.0,0.9117647058823529,0.03498542274052478,0.9825072886297377,405,62,0.5800000000000001,0.9988714379761121,0.994422683432919,0.022590421616008313,0.06889494224747028
validation,val_f1,3,225,1,3,59,0.9861111111111112,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.004424778761061947,0.9735940622323722,288,62,0.5800000000000001,0.9993576934056523,0.9977104261719897,0.011419879475905738,0.04485082456468327
validation,val_f1,4,138,0,12,50,0.94,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,200,62,0.5800000000000001,0.9978962131837307,0.9956049397360356,0.031958427285046984,0.09985801314940676
validation,val_f1,5,203,0,11,51,0.9584905660377359,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,265,62,0.5800000000000001,0.9972985857301764,0.9921130568381263,0.02411961800058617,0.07686442086489152
validation,val_f1,6,379,4,0,62,0.9910112359550561,0.9393939393939394,1.0,0.96875,0.010443864229765013,0.9947780678851175,445,62,0.5800000000000001,0.9998736629327044,0.9992358220603537,0.008803735306625024,0.032980519338650295
validation,val_f1,7,222,5,7,55,0.9584775086505191,0.9166666666666666,0.8870967741935484,0.9016393442622951,0.022026431718061675,0.9325351712377434,289,62,0.5800000000000001,0.9937473355122921,0.979734737918911,0.028364237091462383,0.08986979570303673
validation,val_f1,8,257,8,5,57,0.9602446483180428,0.8769230769230769,0.9193548387096774,0.8976377952755905,0.03018867924528302,0.9445830797321972,327,62,0.5800000000000001,0.9923311016433354,0.9736697681561906,0.034596926549847036,0.1008095924982697
validation,val_f1,9,295,1,8,54,0.9748603351955307,0.9818181818181818,0.8709677419354839,0.9230769230769231,0.0033783783783783786,0.9337946817785527,358,62,0.5800000000000001,0.9973299912816042,0.9881221462941674,0.017681025475882677,0.058876239813448784
