epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5282098681527075,,,,6.152521159208391e-09,7.94418966165722e-08,,0.0,6452080,20,6452080,6452080,0,4.026613717000146,4.023441562996595,0.47134523400018224,0.0019557629984774394,5.181664,12434,10,10,
2,0.4222449958828949,,,,6.196914981160262e-09,7.981601868323196e-08,,0.0,6452080,20,6452080,6452080,0,3.937879031000193,3.9347308979995432,0.49535364899929846,0.0019620080001914175,5.181664,12434,10,10,
3,0.2871300820822039,,,,6.226871906989118e-09,8.000522200291016e-08,,0.0,6452080,20,6452080,6452080,0,3.9138397549995716,3.910655711999425,0.49857754900040163,0.0019818359996861545,5.181664,12434,10,10,
4,0.26950045062641753,,,,6.141037456330878e-09,7.884809605229748e-08,,0.0,6452080,20,6452080,6452080,0,3.8764715180004714,3.8729769319998013,0.47539581900127814,0.002185187000577571,5.181664,12434,10,10,
5,0.23344884338002408,0.1983770685942182,0.9223536548377312,0.7880794701986755,6.23509999186922e-09,7.987500794115476e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.908347431000948,3.905143787002089,0.4468137990006653,0.0019391440000617877,5.181664,12434,10,10,
6,0.2189752817040084,,,,6.008054054262857e-09,7.680381486352417e-08,,0.0,6452080,20,6452080,6452080,0,4.1297182950002025,4.124937911001325,0.5293565250012762,0.0024486120000801748,5.181664,12434,10,10,
7,0.18991084821357918,,,,6.1966884956632384e-09,7.898542264683783e-08,,0.0,6452080,20,6452080,6452080,0,3.981849764000799,3.9785939039993536,0.4540503799998987,0.0020317419985076413,5.181664,12434,10,10,
8,0.17242740244583846,,,,6.155316700784397e-09,7.826842818303703e-08,,0.0,6452080,20,6452080,6452080,0,3.871176672000729,3.868159920997641,0.46861164499932784,0.0018566620001365663,5.181664,12434,10,10,
9,0.16785650673775257,,,,6.225749249466617e-09,7.900367648971951e-08,,0.0,6452080,20,6452080,6452080,0,3.7812572439997894,3.7776174579994404,0.45728537700051675,0.002216758999566082,5.181664,12434,10,10,
10,0.15265013863269833,0.13355507772558015,0.9493478920230513,0.8654311039484287,6.083322734440344e-09,7.706590565703664e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.753476875999695,3.750116841001727,0.4729050570003892,0.002093490998959169,5.181664,12434,10,10,
11,0.14434168989676702,,,,6.17100370803314e-09,7.805946466987734e-08,,0.0,6452080,20,6452080,6452080,0,3.953184821999457,3.9498889979986416,0.503563516000213,0.0020401920010044705,5.181664,12434,10,10,
12,0.13490677698743608,,,,6.236593907971155e-09,7.880122865344674e-08,,0.0,6452080,20,6452080,6452080,0,3.9114133519997267,3.9081846520020918,0.4816905939987919,0.0020503380001173355,5.181664,12434,10,10,
13,0.14156544575545474,,,,6.266444696478857e-09,7.906606214191925e-08,,0.0,6452080,20,6452080,6452080,0,3.752639068001372,3.7495541059997777,0.48276867700042203,0.0018555580008978723,5.181664,12434,10,10,
14,0.11734703302560637,,,,6.2985754389899284e-09,7.937411794500804e-08,,0.0,6452080,20,6452080,6452080,0,3.659471050999855,3.6562999349989695,0.45842624499891826,0.0019938450004701735,5.181664,12434,10,10,
