split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,532,15,0,124,0.977645305514158,0.8920863309352518,1.0,0.9429657794676806,0.027422303473491772,0.9862888482632541,671,124,0.5,0.9988795187828036,0.9951071759618464,0.01702343843612014,0.05969437188755252
train,fixed,1,459,23,7,117,0.9504950495049505,0.8357142857142857,0.9435483870967742,0.8863636363636364,0.04771784232365145,0.9479152723865614,606,124,0.5,0.9917012448132779,0.9702635874682354,0.03683634269949206,0.12256104599767302
train,fixed,2,361,9,22,102,0.937246963562753,0.918918918918919,0.8225806451612904,0.8680851063829788,0.024324324324324326,0.8991281604184831,494,124,0.5,0.9890584132519616,0.967853282959098,0.043054163055374586,0.13463063826213065
train,fixed,3,496,8,7,117,0.9761146496815286,0.936,0.9435483870967742,0.9397590361445783,0.015873015873015872,0.9638376856118791,628,124,0.5,0.997183819764465,0.9904490324544883,0.01643987056743693,0.059233102698820705
train,fixed,4,394,3,16,108,0.963531669865643,0.972972972972973,0.8709677419354839,0.9191489361702128,0.007556675062972292,0.9317055334362558,521,124,0.5,0.9966076216787195,0.9894631891608727,0.024698675625809033,0.07967485270515572
train,fixed,5,468,9,11,113,0.9667221297836939,0.9262295081967213,0.9112903225806451,0.9186991869918699,0.018867924528301886,0.9462111990261717,601,124,0.5,0.9926286603097315,0.9760214352233856,0.026457767328165373,0.09010738064961435
train,fixed,6,599,33,8,116,0.9457671957671958,0.7785234899328859,0.9354838709677419,0.8498168498168498,0.05221518987341772,0.9416343405471621,756,124,0.5,0.9898300326663945,0.9618141667173751,0.04110991947869832,0.13369271876246078
train,fixed,7,602,41,0,124,0.9465449804432855,0.7515151515151515,1.0,0.8581314878892734,0.06376360808709176,0.9681181959564541,767,124,0.5,0.9940801685646917,0.9714988971724815,0.04412819975300835,0.1439137244344972
train,fixed,8,524,13,8,116,0.9682299546142209,0.8992248062015504,0.9354838709677419,0.9169960474308301,0.024208566108007448,0.9556376524298672,661,124,0.5,0.9946086381930678,0.9762762702862179,0.023846608062532672,0.08137635587221118
train,fixed,9,473,0,18,106,0.9698492462311558,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,597,124,0.5,0.9992327627361386,0.9972031829856414,0.01906100604662648,0.06240411167369522
train,fixed,10,331,0,9,115,0.9802197802197802,1.0,0.9274193548387096,0.9623430962343096,0.0,0.9637096774193548,455,124,0.5,0.998270149108274,0.9957838508307034,0.018442873359396903,0.06815651288932663
train,fixed,11,549,18,0,124,0.9739507959479016,0.8732394366197183,1.0,0.9323308270676691,0.031746031746031744,0.9841269841269842,691,124,0.5,0.9995448597599136,0.998023613458481,0.018001232534120094,0.06203723035083496
train,fixed,12,548,11,4,120,0.9780380673499268,0.916030534351145,0.967741935483871,0.9411764705882353,0.01967799642218247,0.9740319695308443,683,124,0.5,0.9986727451093543,0.9946530483021556,0.014001417417081701,0.050819996613309236
train,fixed,13,424,21,1,123,0.961335676625659,0.8541666666666666,0.9919354838709677,0.917910447761194,0.04719101123595506,0.9723722363175064,569,124,0.5,0.9968466835810076,0.9892238181995769,0.027175952607570046,0.08873711734604371
train,fixed,14,562,38,4,120,0.9419889502762431,0.759493670886076,0.967741935483871,0.851063829787234,0.06333333333333334,0.9522043010752688,724,124,0.5,0.9927419354838709,0.9676540563892775,0.039239130453872985,0.1208339943556224
train,fixed,15,425,7,16,108,0.9586330935251799,0.9391304347826087,0.8709677419354839,0.9037656903765691,0.016203703703703703,0.9273820191158901,556,124,0.5,0.9896953405017921,0.9715219379287845,0.031833327335665566,0.11748005415014193
train,fixed,16,529,13,19,105,0.9519519519519519,0.8898305084745762,0.8467741935483871,0.8677685950413223,0.023985239852398525,0.9113944768479942,666,124,0.5,0.9917718128794191,0.969039527182145,0.03210734658308614,0.10812721730237032
train,fixed,17,439,0,15,109,0.9733570159857904,1.0,0.8790322580645161,0.9356223175965666,0.0,0.939516129032258,563,124,0.5,0.9997244470570946,0.9990112135069497,0.01632432102626482,0.056249415101015734
train,fixed,18,473,21,4,120,0.959546925566343,0.851063829787234,0.967741935483871,0.9056603773584906,0.04251012145748988,0.9626159070131906,618,124,0.5,0.9964901397414131,0.9875771069668312,0.027173887088812364,0.08927847314953614
train,fixed,19,459,24,12,112,0.9406919275123559,0.8235294117647058,0.9032258064516129,0.8615384615384616,0.049689440993788817,0.926768182728912,607,124,0.5,0.9892974019902491,0.9651906297628586,0.04148862555831258,0.1276355591436617
train,val_f1,0,542,5,5,119,0.9850968703427719,0.9596774193548387,0.9596774193548387,0.9596774193548387,0.009140767824497258,0.9752683257651708,671,124,0.74,0.9988795187828036,0.9951071759618464,0.01702343843612014,0.05969437188755252
train,val_f1,1,466,16,13,111,0.9521452145214522,0.8740157480314961,0.8951612903225806,0.8844621513944223,0.03319502074688797,0.9309831347878463,606,124,0.74,0.9917012448132779,0.9702635874682354,0.03683634269949206,0.12256104599767302
train,val_f1,2,364,6,33,91,0.9210526315789473,0.9381443298969072,0.7338709677419355,0.8235294117647058,0.016216216216216217,0.8588273757628597,494,124,0.74,0.9890584132519616,0.967853282959098,0.043054163055374586,0.13463063826213065
train,val_f1,3,504,0,12,112,0.9808917197452229,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,628,124,0.74,0.997183819764465,0.9904490324544883,0.01643987056743693,0.059233102698820705
train,val_f1,4,397,0,25,99,0.9520153550863724,1.0,0.7983870967741935,0.8878923766816144,0.0,0.8991935483870968,521,124,0.74,0.9966076216787195,0.9894631891608727,0.024698675625809033,0.07967485270515572
train,val_f1,5,472,5,22,102,0.9550748752079867,0.9532710280373832,0.8225806451612904,0.8831168831168831,0.010482180293501049,0.9060492324338947,601,124,0.74,0.9926286603097315,0.9760214352233856,0.026457767328165373,0.09010738064961435
train,val_f1,6,608,24,11,113,0.9537037037037037,0.8248175182481752,0.9112903225806451,0.8659003831417624,0.0379746835443038,0.9366578195181707,756,124,0.74,0.9898300326663945,0.9618141667173751,0.04110991947869832,0.13369271876246078
train,val_f1,7,616,27,3,121,0.9608865710560626,0.8175675675675675,0.9758064516129032,0.8897058823529411,0.041990668740279936,0.9669078914363116,767,124,0.74,0.9940801685646917,0.9714988971724815,0.04412819975300835,0.1439137244344972
train,val_f1,8,527,10,16,108,0.9606656580937972,0.9152542372881356,0.8709677419354839,0.8925619834710744,0.0186219739292365,0.9261728840031237,661,124,0.74,0.9946086381930678,0.9762762702862179,0.023846608062532672,0.08137635587221118
train,val_f1,9,473,0,30,94,0.949748743718593,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,597,124,0.74,0.9992327627361386,0.9972031829856414,0.01906100604662648,0.06240411167369522
train,val_f1,10,331,0,20,104,0.9560439560439561,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,455,124,0.74,0.998270149108274,0.9957838508307034,0.018442873359396903,0.06815651288932663
train,val_f1,11,559,8,2,122,0.9855282199710564,0.9384615384615385,0.9838709677419355,0.9606299212598425,0.014109347442680775,0.9848808101496274,691,124,0.74,0.9995448597599136,0.998023613458481,0.018001232534120094,0.06203723035083496
train,val_f1,12,557,2,9,115,0.9838945827232797,0.9829059829059829,0.9274193548387096,0.9543568464730291,0.0035778175313059034,0.9619207686537019,683,124,0.74,0.9986727451093543,0.9946530483021556,0.014001417417081701,0.050819996613309236
train,val_f1,13,437,8,8,116,0.9718804920913884,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.017977528089887642,0.9587531714389271,569,124,0.74,0.9968466835810076,0.9892238181995769,0.027175952607570046,0.08873711734604371
train,val_f1,14,575,25,6,118,0.9571823204419889,0.8251748251748252,0.9516129032258065,0.8838951310861424,0.041666666666666664,0.95497311827957,724,124,0.74,0.9927419354838709,0.9676540563892775,0.039239130453872985,0.1208339943556224
train,val_f1,15,431,1,24,100,0.9550359712230215,0.9900990099009901,0.8064516129032258,0.8888888888888888,0.0023148148148148147,0.9020683990442055,556,124,0.74,0.9896953405017921,0.9715219379287845,0.031833327335665566,0.11748005415014193
train,val_f1,16,540,2,25,99,0.9594594594594594,0.9801980198019802,0.7983870967741935,0.88,0.0036900369003690036,0.8973485299369123,666,124,0.74,0.9917718128794191,0.969039527182145,0.03210734658308614,0.10812721730237032
train,val_f1,17,439,0,26,98,0.9538188277087034,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,563,124,0.74,0.9997244470570946,0.9990112135069497,0.01632432102626482,0.056249415101015734
train,val_f1,18,483,11,8,116,0.9692556634304207,0.9133858267716536,0.9354838709677419,0.9243027888446215,0.022267206477732792,0.9566083322450045,618,124,0.74,0.9964901397414131,0.9875771069668312,0.027173887088812364,0.08927847314953614
train,val_f1,19,468,15,17,107,0.9472817133443163,0.8770491803278688,0.8629032258064516,0.8699186991869918,0.031055900621118012,0.9159236625926668,607,124,0.74,0.9892974019902491,0.9651906297628586,0.04148862555831258,0.1276355591436617
train,val_fpr02,0,545,2,12,112,0.9791356184798807,0.9824561403508771,0.9032258064516129,0.9411764705882353,0.003656307129798903,0.949784749660907,671,124,0.8200000000000001,0.9988795187828036,0.9951071759618464,0.01702343843612014,0.05969437188755252
train,val_fpr02,1,469,13,16,108,0.9521452145214522,0.8925619834710744,0.8709677419354839,0.8816326530612245,0.026970954356846474,0.9219983937893187,606,124,0.8200000000000001,0.9917012448132779,0.9702635874682354,0.03683634269949206,0.12256104599767302
train,val_fpr02,2,366,4,38,86,0.9149797570850202,0.9555555555555556,0.6935483870967742,0.8037383177570093,0.010810810810810811,0.8413687881429817,494,124,0.8200000000000001,0.9890584132519616,0.967853282959098,0.043054163055374586,0.13463063826213065
train,val_fpr02,3,504,0,18,106,0.9713375796178344,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,628,124,0.8200000000000001,0.997183819764465,0.9904490324544883,0.01643987056743693,0.059233102698820705
train,val_fpr02,4,397,0,29,95,0.944337811900192,1.0,0.7661290322580645,0.867579908675799,0.0,0.8830645161290323,521,124,0.8200000000000001,0.9966076216787195,0.9894631891608727,0.024698675625809033,0.07967485270515572
train,val_fpr02,5,474,3,27,97,0.9500831946755408,0.97,0.782258064516129,0.8660714285714286,0.006289308176100629,0.8879843781700142,601,124,0.8200000000000001,0.9926286603097315,0.9760214352233856,0.026457767328165373,0.09010738064961435
train,val_fpr02,6,612,20,13,111,0.9563492063492064,0.8473282442748091,0.8951612903225806,0.8705882352941177,0.03164556962025317,0.9317578603511638,756,124,0.8200000000000001,0.9898300326663945,0.9618141667173751,0.04110991947869832,0.13369271876246078
train,val_fpr02,7,620,23,7,117,0.9608865710560626,0.8357142857142857,0.9435483870967742,0.8863636363636364,0.03576982892690513,0.9538892790849345,767,124,0.8200000000000001,0.9940801685646917,0.9714988971724815,0.04412819975300835,0.1439137244344972
train,val_fpr02,8,529,8,21,103,0.9561270801815431,0.9279279279279279,0.8306451612903226,0.8765957446808511,0.0148975791433892,0.9078737910734667,661,124,0.8200000000000001,0.9946086381930678,0.9762762702862179,0.023846608062532672,0.08137635587221118
train,val_fpr02,9,473,0,34,90,0.9430485762144054,1.0,0.7258064516129032,0.8411214953271028,0.0,0.8629032258064516,597,124,0.8200000000000001,0.9992327627361386,0.9972031829856414,0.01906100604662648,0.06240411167369522
train,val_fpr02,10,331,0,25,99,0.945054945054945,1.0,0.7983870967741935,0.8878923766816144,0.0,0.8991935483870968,455,124,0.8200000000000001,0.998270149108274,0.9957838508307034,0.018442873359396903,0.06815651288932663
train,val_fpr02,11,565,2,5,119,0.9898697539797395,0.9834710743801653,0.9596774193548387,0.9714285714285714,0.003527336860670194,0.9780750412470842,691,124,0.8200000000000001,0.9995448597599136,0.998023613458481,0.018001232534120094,0.06203723035083496
train,val_fpr02,12,559,0,16,108,0.9765739385065886,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,683,124,0.8200000000000001,0.9986727451093543,0.9946530483021556,0.014001417417081701,0.050819996613309236
train,val_fpr02,13,441,4,14,110,0.968365553602812,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.008988764044943821,0.9390540050743023,569,124,0.8200000000000001,0.9968466835810076,0.9892238181995769,0.027175952607570046,0.08873711734604371
train,val_fpr02,14,581,19,10,114,0.9599447513812155,0.8571428571428571,0.9193548387096774,0.8871595330739299,0.03166666666666667,0.9438440860215054,724,124,0.8200000000000001,0.9927419354838709,0.9676540563892775,0.039239130453872985,0.1208339943556224
train,val_fpr02,15,432,0,30,94,0.9460431654676259,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,556,124,0.8200000000000001,0.9896953405017921,0.9715219379287845,0.031833327335665566,0.11748005415014193
train,val_fpr02,16,542,0,31,93,0.9534534534534534,1.0,0.75,0.8571428571428571,0.0,0.875,666,124,0.8200000000000001,0.9917718128794191,0.969039527182145,0.03210734658308614,0.10812721730237032
train,val_fpr02,17,439,0,31,93,0.9449378330373002,1.0,0.75,0.8571428571428571,0.0,0.875,563,124,0.8200000000000001,0.9997244470570946,0.9990112135069497,0.01632432102626482,0.056249415101015734
train,val_fpr02,18,487,7,10,114,0.9724919093851133,0.9421487603305785,0.9193548387096774,0.9306122448979591,0.01417004048582996,0.9525923991119237,618,124,0.8200000000000001,0.9964901397414131,0.9875771069668312,0.027173887088812364,0.08927847314953614
train,val_fpr02,19,472,11,18,106,0.9522240527182867,0.905982905982906,0.8548387096774194,0.8796680497925311,0.022774327122153208,0.916032191277633,607,124,0.8200000000000001,0.9892974019902491,0.9651906297628586,0.04148862555831258,0.1276355591436617
validation,fixed,0,83,0,6,25,0.9473684210526315,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,114,31,0.5,1.0,1.0,0.029542712881781178,0.09763386439961758
validation,fixed,1,85,0,9,22,0.9224137931034483,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,116,31,0.5,1.0,0.9999999999999999,0.06454009187081644,0.24495821249788605
validation,fixed,2,145,9,0,31,0.9513513513513514,0.775,1.0,0.8732394366197183,0.05844155844155844,0.9707792207792207,185,31,0.5,1.0,1.0,0.031817784923383795,0.09815242869253808
validation,fixed,3,104,7,0,31,0.9507042253521126,0.8157894736842105,1.0,0.8985507246376812,0.06306306306306306,0.9684684684684685,142,31,0.5,1.0,0.9999999999999998,0.0323758812496335,0.10118019879397418
validation,fixed,4,83,0,6,25,0.9473684210526315,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,114,31,0.5,1.0,1.0,0.033580020273983074,0.10365910726710895
validation,fixed,5,136,0,6,25,0.9640718562874252,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,167,31,0.5,1.0,0.9999999999999998,0.02452010917762304,0.07941765863797236
validation,fixed,6,173,3,0,31,0.9855072463768116,0.9117647058823529,1.0,0.9538461538461539,0.017045454545454544,0.9914772727272727,207,31,0.5,1.0,0.9999999999999998,0.01014523150603932,0.04172712152474184
validation,fixed,7,94,0,6,25,0.952,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,125,31,0.5,1.0,0.9999999999999999,0.031159790934017526,0.09862549025977457
validation,fixed,8,164,23,0,31,0.8944954128440367,0.5740740740740741,1.0,0.7294117647058823,0.12299465240641712,0.9385026737967914,218,31,0.5,1.0,1.0,0.0857539884982361,0.2932435916398149
validation,fixed,9,189,9,0,31,0.9606986899563319,0.775,1.0,0.8732394366197183,0.045454545454545456,0.9772727272727273,229,31,0.5,1.0,0.9999999999999999,0.02940879743154893,0.09423652753515327
