epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.6194229157795956,,,,7.630792886459403e-09,9.867509476180203e-08,,0.0,25808320,80,25808320,25808320,0,3.722220578001725,3.7102816089955013,0.12851003499963554,0.007352329999775975,20.666656,12434,40,40,
2,0.5084310596592486,,,,7.773929056043016e-09,1.0043223852562733e-07,,0.0,25808320,80,25808320,25808320,0,3.7579189610005415,3.746272462007255,0.1347749920005299,0.006877407000501989,20.666656,12434,40,40,
3,0.4781703384937847,,,,7.786518096963846e-09,1.0056221810827992e-07,,0.0,25808320,80,25808320,25808320,0,3.6523480500000005,3.640415522004332,0.13362149600106932,0.007297723999727168,20.666656,12434,40,40,
4,0.42882895334973836,,,,8.098606230078076e-09,1.0446748888170987e-07,,0.0,25808320,80,25808320,25808320,0,3.3232682010002463,3.312017571999604,0.12602497700027016,0.006806606999816722,20.666656,12434,40,40,
5,0.3730550391428219,0.3063580654961499,0.8962693357597816,0.6466942148760331,8.057303269026761e-09,1.0382792225982485e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.5833702939999057,3.571562860997801,0.12764282699936302,0.007224435999887646,20.666656,12434,40,40,
6,0.3216753359810982,,,,7.964819026540226e-09,1.0252781379449516e-07,,0.0,25808320,80,25808320,25808320,0,3.5154751909994957,3.504069634995176,0.12488033499903395,0.007093898000675836,20.666656,12434,40,40,
7,0.31127898967933904,,,,8.014473529271982e-09,1.0312336229389985e-07,,0.0,25808320,80,25808320,25808320,0,3.340485634998913,3.3291795090008236,0.1251839150008891,0.006875380000565201,20.666656,12434,40,40,
8,0.3056582491757468,,,,8.164660059151174e-09,1.0500485103648316e-07,,0.0,25808320,80,25808320,25808320,0,3.5195947760003037,3.508091900999716,0.13241369599927566,0.007001043000855134,20.666656,12434,40,40,
9,0.3054506370497568,,,,7.754752395783271e-09,9.972360004439906e-08,,0.0,25808320,80,25808320,25808320,0,3.251230187999681,3.239016620998882,0.12969894500020018,0.007651193000128842,20.666656,12434,40,40,
10,0.29061825611011793,0.24509278122358472,0.9005156202608432,0.7167530224525043,8.22799872679525e-09,1.0575675446489186e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.579273078999904,3.567714827002419,0.1316856440007541,0.006942255999092595,20.666656,12434,40,40,
11,0.29594834210904686,,,,8.202518664290892e-09,1.0542382966605146e-07,,0.0,25808320,80,25808320,25808320,0,3.2218399880002835,3.210693087994514,0.1229470369999035,0.006824497000707197,20.666656,12434,40,40,
12,0.27419218188936084,,,,8.168386855800236e-09,1.0493381097376187e-07,,0.0,25808320,80,25808320,25808320,0,3.500996168999336,3.4890917950033327,0.12501371899998048,0.007164258000557311,20.666656,12434,40,40,
13,0.2816852383596138,,,,8.20826873138003e-09,1.0543898554260522e-07,,0.0,25808320,80,25808320,25808320,0,3.212468023999463,3.2003653290066723,0.11789627100006328,0.007335300999329775,20.666656,12434,40,40,
14,0.2572266598664638,,,,8.023105735333047e-09,1.0299902442056919e-07,,0.0,25808320,80,25808320,25808320,0,3.5365100589988288,3.5248576019985194,0.125430244999734,0.007115618000170798,20.666656,12434,40,40,
15,0.27993383459217347,0.2874138874602288,0.8653321201091901,0.7157490396927016,7.956293401889525e-09,1.021364468556385e-07,0.0,0.0,25808320,80,25808320,25808320,0,3.2729199529985635,3.261286385009953,0.11893845700069505,0.007101596998836612,20.666656,12434,40,40,
16,0.2551550761670599,,,,7.99664867656702e-09,1.025990314929004e-07,,0.0,25808320,80,25808320,25808320,0,3.650769959000172,3.635263988002407,0.12818752900057007,0.008843196001180331,20.666656,12434,40,40,
17,0.25336579273941673,,,,7.78727837769111e-09,9.988781357606058e-08,,0.0,25808320,80,25808320,25808320,0,3.303467403999093,3.291745213999093,0.12389458500001638,0.007168071999331005,20.666656,12434,40,40,
18,0.24305125428347313,,,,8.139654283922937e-09,1.0435417152621085e-07,,0.0,25808320,80,25808320,25808320,0,3.736619620998681,3.7237823190007475,0.14144245799980126,0.008231833000536426,20.666656,12434,40,40,
19,0.2480597676858832,,,,7.872944962628026e-09,1.0091095958841834e-07,,0.0,25808320,80,25808320,25808320,0,3.2557115479994536,3.2440063600060967,0.12156959300045855,0.007130140998924617,20.666656,12434,40,40,
