split,node,engines,windows,positive,positive_fraction
train,0,2,294,62,0.2108843537414966
train,1,2,377,62,0.16445623342175067
train,2,2,374,62,0.1657754010695187
train,3,2,232,62,0.2672413793103448
train,4,2,203,62,0.3054187192118227
train,5,2,291,62,0.21305841924398625
train,6,2,318,62,0.1949685534591195
train,7,2,310,62,0.2
train,8,2,270,62,0.22962962962962963
train,9,2,251,62,0.24701195219123506
train,10,2,238,62,0.2605042016806723
train,11,2,363,62,0.17079889807162535
train,12,2,311,62,0.19935691318327975
train,13,2,445,62,0.1393258426966292
train,14,2,473,62,0.13107822410147993
train,15,2,294,62,0.2108843537414966
train,16,2,238,62,0.2605042016806723
train,17,2,423,62,0.14657210401891252
train,18,2,297,62,0.20875420875420875
train,19,2,300,62,0.20666666666666667
train,20,2,189,62,0.328042328042328
train,21,2,266,62,0.23308270676691728
train,22,2,376,62,0.16489361702127658
train,23,2,315,62,0.19682539682539682
train,24,2,373,62,0.16621983914209115
train,25,2,310,62,0.2
train,26,2,259,62,0.23938223938223938
train,27,2,310,62,0.2
train,28,2,282,62,0.2198581560283688
train,29,2,442,62,0.14027149321266968
train,30,2,304,62,0.20394736842105263
train,31,2,252,62,0.24603174603174602
train,32,2,318,62,0.1949685534591195
train,33,2,348,62,0.1781609195402299
train,34,2,265,62,0.2339622641509434
train,35,2,298,62,0.2080536912751678
train,36,2,299,62,0.20735785953177258
train,37,2,319,62,0.19435736677115986
train,38,2,291,62,0.21305841924398625
train,39,2,316,62,0.1962025316455696
validation,0,1,114,31,0.2719298245614035
validation,1,1,116,31,0.2672413793103448
validation,2,1,185,31,0.16756756756756758
validation,3,1,142,31,0.21830985915492956
validation,4,1,114,31,0.2719298245614035
validation,5,1,167,31,0.18562874251497005
validation,6,1,207,31,0.1497584541062802
validation,7,1,125,31,0.248
validation,8,1,218,31,0.14220183486238533
validation,9,1,229,31,0.13537117903930132
validation,10,1,264,31,0.11742424242424243
validation,11,1,226,31,0.13716814159292035
validation,12,1,220,31,0.1409090909090909
validation,13,1,146,31,0.21232876712328766
validation,14,1,86,31,0.36046511627906974
validation,15,1,98,31,0.3163265306122449
validation,16,1,238,31,0.13025210084033614
validation,17,1,164,31,0.18902439024390244
validation,18,1,109,31,0.28440366972477066
validation,19,1,129,31,0.24031007751937986
test,0,3,240,38,0.15833333333333333
test,1,3,265,23,0.08679245283018867
test,2,3,159,0,0.0
test,3,3,214,0,0.0
test,4,3,312,35,0.11217948717948718
test,5,3,331,0,0.0
test,6,3,194,0,0.0
test,7,3,145,0,0.0
test,8,3,339,15,0.04424778761061947
test,9,3,231,21,0.09090909090909091
test,10,3,348,2,0.005747126436781609
test,11,3,272,0,0.0
test,12,3,429,20,0.046620046620046623
test,13,2,69,0,0.0
test,14,2,285,46,0.16140350877192983
test,15,2,199,0,0.0
test,16,2,216,0,0.0
test,17,2,79,0,0.0
test,18,2,118,0,0.0
test,19,2,265,3,0.011320754716981131
test,20,2,183,0,0.0
test,21,2,267,10,0.03745318352059925
test,22,2,85,3,0.03529411764705882
test,23,2,151,0,0.0
test,24,2,192,17,0.08854166666666667
test,25,2,234,8,0.03418803418803419
test,26,2,182,10,0.054945054945054944
test,27,2,202,0,0.0
test,28,2,365,10,0.0273972602739726
test,29,2,118,3,0.025423728813559324
test,30,2,96,0,0.0
test,31,2,163,21,0.12883435582822086
test,32,2,210,0,0.0
test,33,2,255,0,0.0
test,34,2,189,23,0.12169312169312169
test,35,2,80,0,0.0
test,36,2,181,0,0.0
test,37,2,54,0,0.0
test,38,2,235,24,0.10212765957446808
test,39,2,103,0,0.0
