split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,232,0,6,56,0.9795918367346939,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,294,62,0.5,0.9994438264738598,0.997954441788989,0.02060391063874481,0.0821756216814819
train,fixed,1,306,9,3,59,0.9681697612732095,0.8676470588235294,0.9516129032258065,0.9076923076923077,0.02857142857142857,0.961520737327189,377,62,0.5,0.9953917050691244,0.9775817940858607,0.02254595012594995,0.07761339431734515
train,fixed,2,301,11,0,62,0.9705882352941176,0.8493150684931506,1.0,0.9185185185185185,0.035256410256410256,0.9823717948717949,374,62,0.5,0.9982423490488006,0.9915017478131052,0.026408541212698308,0.1007895592441034
train,fixed,3,161,9,11,51,0.9137931034482759,0.85,0.8225806451612904,0.8360655737704918,0.052941176470588235,0.884819734345351,232,62,0.5,0.9833965844402277,0.9555264559437595,0.050758252057175345,0.17067085127522919
train,fixed,4,141,0,25,37,0.8768472906403941,1.0,0.5967741935483871,0.7474747474747475,0.0,0.7983870967741935,203,62,0.5,0.9963395104095173,0.9925133034184997,0.07306338118058485,0.21189492660016696
train,fixed,5,220,9,12,50,0.9278350515463918,0.847457627118644,0.8064516129032258,0.8264462809917356,0.039301310043668124,0.8835751514297788,291,62,0.5,0.9785885335962812,0.9401023257921373,0.051268553838009503,0.17217178966749694
train,fixed,6,256,0,12,50,0.9622641509433962,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,318,62,0.5,0.9946446572580645,0.9802813942228121,0.03286909539999353,0.11722782852074823
train,fixed,7,243,5,0,62,0.9838709677419355,0.9253731343283582,1.0,0.9612403100775194,0.020161290322580645,0.9899193548387097,310,62,0.5,1.0,1.0,0.017764115127437256,0.07359910861110178
train,fixed,8,206,2,6,56,0.9703703703703703,0.9655172413793104,0.9032258064516129,0.9333333333333333,0.009615384615384616,0.9468052109181142,270,62,0.5,0.9956575682382134,0.9870929745006474,0.027731293686451868,0.10910080139588982
train,fixed,9,189,0,23,39,0.9083665338645418,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,251,62,0.5,0.9994879672299027,0.9984791399915671,0.06719805925182233,0.20848589703983889
train,fixed,10,176,0,15,47,0.9369747899159664,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,238,62,0.5,0.9728739002932552,0.9458422212951147,0.05521140965441285,0.19450023397757857
train,fixed,11,289,12,8,54,0.9449035812672176,0.8181818181818182,0.8709677419354839,0.84375,0.03986710963455149,0.9155503161504661,363,62,0.5,0.9912656735612475,0.9628772211171492,0.031946163442652095,0.10248256691563817
