epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4894915599369716,,,,1.7829611120845357e-09,2.298807189049512e-08,,0.0,3226040,10,3226040,3226040,0,3.8600668010003574,3.8583719079997536,0.7882604950009409,0.0010479730008228216,2.6008319999999996,12434,5,5,
2,0.28212803192937586,,,,1.7412701280861143e-09,2.233206153334777e-08,,0.0,3226040,10,3226040,3226040,0,3.750004618001185,3.7481421280008362,0.8116529559993069,0.0011875700001837686,2.6008319999999996,12434,5,5,
3,0.236779649750902,,,,1.7820322995021343e-09,2.2801000199024202e-08,,0.0,3226040,10,3226040,3226040,0,3.932712382998943,3.930895542000144,0.8059621920001518,0.0011353270001563942,2.6008319999999996,12434,5,5,
4,0.1949070435745504,,,,1.7938303065179184e-09,2.2846064595682947e-08,,0.0,3226040,10,3226040,3226040,0,3.9021014790014306,3.9002615450008307,0.8194926300002408,0.0011898409993591486,2.6008319999999996,12434,5,5,
5,0.16875247033925483,0.16556564002418672,0.9275098574461632,0.8233555062823356,1.7928555307022975e-09,2.273279697817543e-08,0.0,0.0,3226040,10,3226040,3226040,0,3.767345108999507,3.7649217809994298,0.8002980599994771,0.0016779670004325453,2.6008319999999996,12434,5,5,
6,0.14993415672107988,,,,1.770673274670287e-09,2.2378257469313212e-08,,0.0,3226040,10,3226040,3226040,0,4.138413218999631,4.136638845999187,0.880646469999192,0.0010883450013352558,2.6008319999999996,12434,5,5,
7,0.13194847208743393,,,,1.7287161702128628e-09,2.1800159899498794e-08,,0.0,3226040,10,3226040,3226040,0,3.9429528870005015,3.9410376519990677,0.8112392170005478,0.0012148890000389656,2.6008319999999996,12434,5,5,
8,0.1323263822816914,,,,1.8089186815117841e-09,2.2782568720458585e-08,,0.0,3226040,10,3226040,3226040,0,4.06306997899992,4.061261960001502,0.8588758790010615,0.0011106969996035332,2.6008319999999996,12434,5,5,
9,0.11089802364707413,,,,1.7849252076374e-09,2.2405409083603445e-08,,0.0,3226040,10,3226040,3226040,0,3.9877975010003865,3.986038601002292,0.8419996660013567,0.0011191060002602171,2.6008319999999996,12434,5,5,
10,0.12125848935918468,0.10965129092974196,0.954200788595693,0.8837567359507313,1.6911837485977799e-09,2.1210215805922417e-08,0.0,0.0,3226040,10,3226040,3226040,0,4.067217488998722,4.065478626998811,0.8858460060000652,0.001135260999944876,2.6008319999999996,12434,5,5,
