split,node,engines,windows,positive,positive_fraction
train,0,16,2399,496,0.20675281367236348
train,1,16,2645,496,0.18752362948960302
train,2,16,2404,496,0.20632279534109818
train,3,16,2532,496,0.19589257503949448
train,4,16,2454,496,0.20211898940505296
validation,0,4,643,124,0.19284603421461896
validation,1,4,787,124,0.15756035578144853
validation,2,4,694,124,0.1786743515850144
validation,3,4,615,124,0.2016260162601626
validation,4,4,558,124,0.2222222222222222
test,0,19,1711,48,0.028053769725306838
test,1,19,1740,64,0.0367816091954023
test,2,19,1363,23,0.016874541452677916
test,3,18,1746,49,0.028064146620847653
test,4,18,1695,148,0.08731563421828908
