split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1862,41,37,459,0.9674864526886202,0.918,0.9254032258064516,0.9216867469879518,0.021544929059379925,0.9519291483735359,2399,496,0.5,0.9964052938484227,0.9873126524051905,0.02010060142886623,0.06239923121167724
train,fixed,1,2139,10,17,479,0.9897920604914934,0.9795501022494888,0.9657258064516129,0.9725888324873097,0.004653327128897162,0.9805362396613578,2645,496,0.5,0.999177224215314,0.9966361743858564,0.00995626837496091,0.037300641233643524
train,fixed,2,1872,36,18,478,0.9775374376039934,0.9299610894941635,0.9637096774193549,0.9465346534653465,0.018867924528301886,0.9724208764455264,2404,496,0.5,0.9968278724555353,0.9899102176714817,0.0166003169507977,0.05846047035815181
train,fixed,3,2008,28,20,476,0.981042654028436,0.9444444444444444,0.9596774193548387,0.952,0.0137524557956778,0.9729624817795804,2532,496,0.5,0.9983056990303568,0.9933306404371566,0.013900647954824166,0.04773355050322733
train,fixed,4,1939,19,27,469,0.9812550937245313,0.9610655737704918,0.9455645161290323,0.9532520325203252,0.009703779366700716,0.9679303683811658,2454,496,0.5,0.9978005865102639,0.9922423627130461,0.01473860179156741,0.05019571209894939
train,val_f1,0,1841,62,24,472,0.9641517298874531,0.8838951310861424,0.9516129032258065,0.916504854368932,0.0325801366263794,0.9595163832997136,2399,496,0.36000000000000004,0.9964052938484227,0.9873126524051905,0.02010060142886623,0.06239923121167724
train,val_f1,1,2120,29,8,488,0.9860113421550094,0.9439071566731141,0.9838709677419355,0.9634748272458046,0.013494648673801768,0.9851881595340668,2645,496,0.36000000000000004,0.999177224215314,0.9966361743858564,0.00995626837496091,0.037300641233643524
train,val_f1,2,1851,57,11,485,0.9717138103161398,0.8948339483394834,0.9778225806451613,0.9344894026974951,0.029874213836477988,0.9739741834043416,2404,496,0.36000000000000004,0.9968278724555353,0.9899102176714817,0.0166003169507977,0.05846047035815181
train,val_f1,3,1990,46,10,486,0.9778830963665087,0.9135338345864662,0.9798387096774194,0.9455252918287937,0.022593320235756387,0.9786226947208315,2532,496,0.36000000000000004,0.9983056990303568,0.9933306404371566,0.013900647954824166,0.04773355050322733
train,val_f1,4,1915,43,14,482,0.9767726161369193,0.9180952380952381,0.9717741935483871,0.9441723800195886,0.021961184882533197,0.974906504332927,2454,496,0.36000000000000004,0.9978005865102639,0.9922423627130461,0.01473860179156741,0.05019571209894939
train,val_fpr02,0,1839,64,22,474,0.9641517298874531,0.8810408921933085,0.9556451612903226,0.9168278529980658,0.033631108775617445,0.9610070262573526,2399,496,0.35000000000000003,0.9964052938484227,0.9873126524051905,0.02010060142886623,0.06239923121167724
