epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,6.169941446643179e-09,7.963294734736337e-08,,0.0,6452080,20,6452080,6452080,0,3.9072542139983852,3.903347200999633,0.49828918500134023,0.002100738000081037,5.181664,12690,10,10,
2,0.3836645294618477,,,,6.0944516100391866e-09,7.841114069151445e-08,,0.0,6452080,20,6452080,6452080,0,3.9534426079990226,3.950199387001703,0.44641469799898914,0.0020309470000938745,5.181664,12690,10,10,
3,0.29441353756919064,,,,6.150374876057185e-09,7.90641081493959e-08,,0.0,6452080,20,6452080,6452080,0,3.932734457999686,3.9292464930022106,0.45891043200026616,0.0022143990008771652,5.181664,12690,10,10,
4,0.26117111400848925,,,,6.1811054052896e-09,7.933006429539091e-08,,0.0,6452080,20,6452080,6452080,0,3.9615917329992953,3.958382636001261,0.4565771039997344,0.001995039998291759,5.181664,12690,10,10,
5,0.22376939393360978,0.18246056768295982,0.9256823413350871,0.7883895131086143,6.07773564809122e-09,7.784066013982738e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7417429220004124,3.7385067679988424,0.40671334699982253,0.0019516709999152226,5.181664,12690,10,10,
6,0.21213666991537417,,,,6.135348229463489e-09,7.843732419132721e-08,,0.0,6452080,20,6452080,6452080,0,3.791533168998285,3.788360869004464,0.43098312899928715,0.0019826830030069686,5.181664,12690,10,10,
7,0.18560565997711587,,,,6.171486877093457e-09,7.869375195923567e-08,,0.0,6452080,20,6452080,6452080,0,3.8545182140005636,3.8513295110024046,0.4452239729980647,0.001961281999683706,5.181664,12690,10,10,
8,0.1770814285665005,,,,6.244188277548801e-09,7.95040691059512e-08,,0.0,6452080,20,6452080,6452080,0,3.734317826998449,3.731048681005632,0.42972574200030067,0.002075104999676114,5.181664,12690,10,10,
9,0.15041516696795448,,,,6.178600742146045e-09,7.852435857103046e-08,,0.0,6452080,20,6452080,6452080,0,3.712013049000234,3.7088044230004016,0.41156079999927897,0.002033993001532508,5.181664,12690,10,10,
10,0.1576382636106809,0.12432438891811952,0.9463992107859257,0.8543342269883825,6.125715046323421e-09,7.779605937230372e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.6957216069968126,3.6924812589968496,0.42209303799972986,0.0020685709969257005,5.181664,12690,10,10,
11,0.14487097688081801,,,,6.027087273707821e-09,7.64477761094895e-08,,0.0,6452080,20,6452080,6452080,0,3.8365099680013373,3.833226985003421,0.43126854399815784,0.002049173999694176,5.181664,12690,10,10,
12,0.15113000172832886,,,,6.285254094962056e-09,7.966329462760768e-08,,0.0,6452080,20,6452080,6452080,0,3.874650935998943,3.8716526070056716,0.43398631300078705,0.0018727959977695718,5.181664,12690,10,10,
13,0.1447615044204798,,,,6.295251431254201e-09,7.972802507083543e-08,,0.0,6452080,20,6452080,6452080,0,3.946192477000295,3.943077355001151,0.45656321500064223,0.0019930980015487876,5.181664,12690,10,10,
14,0.13373690344944678,,,,6.152676146342628e-09,7.785757105693847e-08,,0.0,6452080,20,6452080,6452080,0,4.061114542000723,4.057636907993583,0.5218663559971901,0.002114332000928698,5.181664,12690,10,10,
15,0.12825412841795722,0.09363156118698783,0.9618546530746465,0.9008547008547009,6.182685918787456e-09,7.814652747129003e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.149458651001623,4.146244031006063,0.47317088300042087,0.0019279879998066463,5.181664,12690,10,10,
16,0.1312124909974528,,,,6.28340535158145e-09,7.933375201218951e-08,,0.0,6452080,20,6452080,6452080,0,3.965303089000372,3.9620467410059064,0.46492390200000955,0.0020552699970721733,5.181664,12690,10,10,
17,0.1308195209687924,,,,6.2321827698497145e-09,7.863592799139951e-08,,0.0,6452080,20,6452080,6452080,0,3.9314665630008676,3.9281004539989226,0.4415657089994056,0.002029853996646125,5.181664,12690,10,10,
18,0.12585449155948797,,,,6.257184548275063e-09,7.887464903433283e-08,,0.0,6452080,20,6452080,6452080,0,4.2099499750002,4.206699924994609,0.47959326099953614,0.0019514630002959166,5.181664,12690,10,10,
19,0.12320687244154456,,,,6.120354001382111e-09,7.706267979301629e-08,,0.0,6452080,20,6452080,6452080,0,4.143363520001003,4.139989355997386,0.46563854399937554,0.0020448820032470394,5.181664,12690,10,10,
20,0.11781769072196464,0.08605276907392963,0.96514304505097,0.9107744107744108,6.228840554456383e-09,7.837545723532457e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8918152170008398,3.8884663989992987,0.45321866299855174,0.002124974002072122,5.181664,12690,10,10,
21,0.12104223718038451,,,,6.231163141023899e-09,7.835246407239538e-08,,0.0,6452080,20,6452080,6452080,0,3.7603316900022037,3.7569828590021643,0.43473635299960733,0.0021454250017995946,5.181664,12690,10,10,
22,0.11152808312642588,,,,6.42438902076492e-09,8.067305401482372e-08,,0.0,6452080,20,6452080,6452080,0,3.9572462440009986,3.9539868840074632,0.4253597010028898,0.002077954999549547,5.181664,12690,10,10,
23,0.12312574271642532,,,,6.204811775489816e-09,7.786236722040485e-08,,0.0,6452080,20,6452080,6452080,0,4.024933546999819,4.021563067992247,0.45735661999788135,0.0021323030014173128,5.181664,12690,10,10,
24,0.11722104875972042,,,,6.244513350850411e-09,7.829703463357873e-08,,0.0,6452080,20,6452080,6452080,0,3.961965885002428,3.9552079579989368,0.47418238099999144,0.005529283000214491,5.181664,12690,10,10,
25,0.11041427505665471,0.07898196504580232,0.9690891154225584,0.9200680272108843,6.257883100602157e-09,7.837276427835604e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.613508480997552,4.610226180993777,0.599287433000427,0.0019908529975509737,5.181664,12690,10,10,
26,0.11654927939945564,,,,0.0001872004067990929,0.002343342872336507,,0.0,5806872,18,5806872,5806872,0,3.604943275000551,3.6017585530025826,0.44430782799827284,0.001954946001205826,4.665497599999999,11327,9,9,
27,0.10944901333420885,,,,0.00033454937511123717,0.004184081219136715,,0.0,5806872,18,5806872,5806872,0,3.6232031259969517,3.6200323839984776,0.4568236249979236,0.0019293889999971725,4.665497599999999,11327,9,9,
28,0.10120910139238563,,,,0.00047248846385627985,0.005902402102947235,,0.0,5806872,18,5806872,5806872,0,3.5253011280001374,3.5217827550040965,0.45708902000114904,0.0021149979984329548,4.665497599999999,11327,9,9,
29,0.10270875262063311,,,,0.0006033717654645443,0.007532054092735052,,0.0,5806872,18,5806872,5806872,0,3.4115514340010122,3.4082939050022105,0.4416426930001762,0.001974172002519481,4.665497599999999,11327,9,9,
30,0.102136381226313,0.0707614005939257,0.9704044722130878,0.9253731343283582,0.0007457775645889342,0.009301222860813141,0.00125,0.0,5806872,18,5806872,5806872,0,3.363928496000881,3.3607471479990636,0.4181125200011593,0.0019970989997091237,4.665497599999999,11327,9,9,
31,0.10246540756716499,,,,0.000858053273987025,0.010696228593587875,,0.0,5806872,18,5806872,5806872,0,3.3500201829992875,3.3469638349997695,0.4202479999985371,0.001879272997030057,4.665497599999999,11327,9,9,
32,0.10086418861301204,,,,0.0009864498861134052,0.012286067940294743,,0.0,5806872,18,5806872,5806872,0,3.45500557899868,3.4513712039988604,0.44461129599949345,0.0022634069973719306,4.665497599999999,11327,9,9,
33,0.1076813648755906,,,,0.0011042330879718065,0.013744011521339417,,0.0,5806872,18,5806872,5806872,0,3.4271478119990206,3.4241266020035255,0.46669333899990306,0.001843310998083325,4.665497599999999,11327,9,9,
34,0.09968708048011915,,,,0.0012378445826470852,0.015394849702715874,,0.0,5806872,18,5806872,5806872,0,3.4336035099986475,3.430270463002671,0.43657396599883214,0.001982709000003524,4.665497599999999,11327,9,9,
35,0.09911044575357235,0.0683731556766693,0.9707333114107202,0.9267489711934156,0.0013953495072200894,0.017333008348941803,0.00125,0.0,5806872,18,5806872,5806872,0,3.2236240540005383,3.220611574008217,0.39714020900282776,0.0018348829980823211,4.665497599999999,11327,9,9,
36,0.09213541806782902,,,,0.0015074345283210278,0.01870971918106079,,0.0,5806872,18,5806872,5806872,0,3.3835249379990273,3.3803708809937234,0.43924364099802915,0.0018934030013042502,4.665497599999999,11327,9,9,
37,0.094310052546679,,,,0.0016630897298455238,0.020618898794054985,,0.0,5806872,18,5806872,5806872,0,3.451088901998446,3.4474546309975267,0.4299226629991608,0.0019882270025846083,4.665497599999999,11327,9,9,
